"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Kuala Kapuas","Kantor Pos",3.7,36,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/data=!4m7!3m6!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9!19sChIJNwAAAARv5C0RMkfJjUN_YLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/@-3.0135245,114.3862107,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9?authuser=0&hl=id&entry=ttu","114.3862107","-3.0135245","Alamat","Jl. Tambun Bungai Kks No.51, Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516"
"Kantorpos Kuala Kapuas","Kantor Pos",3.7,36,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/data=!4m7!3m6!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9!19sChIJNwAAAARv5C0RMkfJjUN_YLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/@-3.0135245,114.3862107,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9?authuser=0&hl=id&entry=ttu","114.3862107","-3.0135245","Situs Web","posindonesia.co.id"
"Kantorpos Kuala Kapuas","Kantor Pos",3.7,36,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/data=!4m7!3m6!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9!19sChIJNwAAAARv5C0RMkfJjUN_YLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/@-3.0135245,114.3862107,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9?authuser=0&hl=id&entry=ttu","114.3862107","-3.0135245","Telepon","(0513) 21102"
"Kantorpos Kuala Kapuas","Kantor Pos",3.7,36,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/data=!4m7!3m6!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9!19sChIJNwAAAARv5C0RMkfJjUN_YLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Kuala+Kapuas/@-3.0135245,114.3862107,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46f0400000037:0xbc607f438dc94732!8m2!3d-3.0135245!4d114.3862107!16s%2Fg%2F11b5wdghh9?authuser=0&hl=id&entry=ttu","114.3862107","-3.0135245","Plus Codes","X9PP+HF Selat Hilir, Kabupaten Kapuas, Kalimantan Tengah"
"KANTOR POS INDONESIA Kapuas Hilir","Kantor Pos",5,4,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/KANTOR+POS+INDONESIA+Kapuas+Hilir/data=!4m7!3m6!1s0x2de46e990d1389d9:0x2a11a651ca62c113!8m2!3d-3.0320548!4d114.3987777!16s%2Fg%2F11hcd3j87j!19sChIJ2YkTDZlu5C0RE8FiylGmESo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+INDONESIA+Kapuas+Hilir/@-3.0320548,114.3987777,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46e990d1389d9:0x2a11a651ca62c113!8m2!3d-3.0320548!4d114.3987777!16s%2Fg%2F11hcd3j87j?authuser=0&hl=id&entry=ttu","114.3987777","-3.0320548","Alamat","X99X+5GC, Mambulau, Kec. Kapuas Hilir, Kabupaten Kapuas, Kalimantan Tengah 73581"
"KANTOR POS INDONESIA Kapuas Hilir","Kantor Pos",5,4,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/KANTOR+POS+INDONESIA+Kapuas+Hilir/data=!4m7!3m6!1s0x2de46e990d1389d9:0x2a11a651ca62c113!8m2!3d-3.0320548!4d114.3987777!16s%2Fg%2F11hcd3j87j!19sChIJ2YkTDZlu5C0RE8FiylGmESo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+INDONESIA+Kapuas+Hilir/@-3.0320548,114.3987777,17z/data=!3m1!4b1!4m6!3m5!1s0x2de46e990d1389d9:0x2a11a651ca62c113!8m2!3d-3.0320548!4d114.3987777!16s%2Fg%2F11hcd3j87j?authuser=0&hl=id&entry=ttu","114.3987777","-3.0320548","Situs Web","posindonesia.co.id"
"Kantorpos Palingkau","Kantor Pos",3.3,3,"unknown","https://www.google.com/maps/place/Kantorpos+Palingkau/data=!4m7!3m6!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29!19sChIJc1VVVZX05C0RwS7coByhHog?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palingkau/@-2.76348,114.548023,17z/data=!3m1!4b1!4m6!3m5!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29?authuser=0&hl=id&entry=ttu","114.548023","-2.76348","Alamat","Upt Dadahup G5, Kec. Kapuas Murung, Kabupaten Kapuas, Kalimantan Tengah 73592"
"Kantorpos Palingkau","Kantor Pos",3.3,3,"unknown","https://www.google.com/maps/place/Kantorpos+Palingkau/data=!4m7!3m6!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29!19sChIJc1VVVZX05C0RwS7coByhHog?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palingkau/@-2.76348,114.548023,17z/data=!3m1!4b1!4m6!3m5!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29?authuser=0&hl=id&entry=ttu","114.548023","-2.76348","Situs Web","posindonesia.co.id"
"Kantorpos Palingkau","Kantor Pos",3.3,3,"unknown","https://www.google.com/maps/place/Kantorpos+Palingkau/data=!4m7!3m6!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29!19sChIJc1VVVZX05C0RwS7coByhHog?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palingkau/@-2.76348,114.548023,17z/data=!3m1!4b1!4m6!3m5!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29?authuser=0&hl=id&entry=ttu","114.548023","-2.76348","Telepon","(0513) 21102"
"Kantorpos Palingkau","Kantor Pos",3.3,3,"unknown","https://www.google.com/maps/place/Kantorpos+Palingkau/data=!4m7!3m6!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29!19sChIJc1VVVZX05C0RwS7coByhHog?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palingkau/@-2.76348,114.548023,17z/data=!3m1!4b1!4m6!3m5!1s0x2de4f49555555573:0x881ea11ca0dc2ec1!8m2!3d-2.76348!4d114.548023!16s%2Fg%2F11b5wcsq29?authuser=0&hl=id&entry=ttu","114.548023","-2.76348","Plus Codes","6GPX+J6 Upt Dadahup G5, Kabupaten Kapuas, Kalimantan Tengah"
