"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Bintuhan","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Bintuhan/data=!4m7!3m6!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp!19sChIJ6____97kNy4RHxe8Dg4lDjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bintuhan/@-4.7938769,103.3474497,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp?authuser=0&hl=id&entry=ttu","103.3474497","-4.7938769","Alamat","Jl, Bandar, Kec. Kaur Sel., Kabupaten Kaur, Bengkulu 38563"
"Kantorpos Bintuhan","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Bintuhan/data=!4m7!3m6!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp!19sChIJ6____97kNy4RHxe8Dg4lDjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bintuhan/@-4.7938769,103.3474497,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp?authuser=0&hl=id&entry=ttu","103.3474497","-4.7938769","Situs Web","posindonesia.co.id"
"Kantorpos Bintuhan","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Bintuhan/data=!4m7!3m6!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp!19sChIJ6____97kNy4RHxe8Dg4lDjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bintuhan/@-4.7938769,103.3474497,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp?authuser=0&hl=id&entry=ttu","103.3474497","-4.7938769","Telepon","(0739) 61022"
"Kantorpos Bintuhan","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Bintuhan/data=!4m7!3m6!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp!19sChIJ6____97kNy4RHxe8Dg4lDjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bintuhan/@-4.7938769,103.3474497,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e4deffffffeb:0x340e250e0ebc171f!8m2!3d-4.7938769!4d103.3474497!16s%2Fg%2F1pzv748yp?authuser=0&hl=id&entry=ttu","103.3474497","-4.7938769","Plus Codes","684W+CX Bandar, Kabupaten Kaur, Bengkulu"
"POS AL Linau","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/POS+AL+Linau/data=!4m7!3m6!1s0x2e37fc7811470abf:0x5c92201d2f687576!8m2!3d-4.8425562!4d103.4154391!16s%2Fg%2F11gbp95259!19sChIJvwpHEXj8Ny4RdnVoLx0gklw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+AL+Linau/@-4.8425562,103.4154391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37fc7811470abf:0x5c92201d2f687576!8m2!3d-4.8425562!4d103.4154391!16s%2Fg%2F11gbp95259?authuser=0&hl=id&entry=ttu","103.4154391","-4.8425562","Alamat","Jl. Lintas Barat Sumatera No.12, Linau, Kec. Maje, Kabupaten Kaur, Bengkulu 38963"
"POS AL Linau","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/POS+AL+Linau/data=!4m7!3m6!1s0x2e37fc7811470abf:0x5c92201d2f687576!8m2!3d-4.8425562!4d103.4154391!16s%2Fg%2F11gbp95259!19sChIJvwpHEXj8Ny4RdnVoLx0gklw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+AL+Linau/@-4.8425562,103.4154391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37fc7811470abf:0x5c92201d2f687576!8m2!3d-4.8425562!4d103.4154391!16s%2Fg%2F11gbp95259?authuser=0&hl=id&entry=ttu","103.4154391","-4.8425562","Plus Codes","5C48+X5 Linau, Kabupaten Kaur, Bengkulu"
"Kantorpos Tanjung Iman","Kantor Pos",3.2,5,"unknown","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/data=!4m7!3m6!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1!19sChIJt___v-vuNy4RhETPFo8rE58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/@-4.7066736,103.2940383,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1?authuser=0&hl=id&entry=ttu","103.2940383","-4.7066736","Alamat","Tj. Iman, Kec. Kaur Tengah, Kabupaten Kaur, Bengkulu 38000"
"Kantorpos Tanjung Iman","Kantor Pos",3.2,5,"unknown","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/data=!4m7!3m6!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1!19sChIJt___v-vuNy4RhETPFo8rE58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/@-4.7066736,103.2940383,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1?authuser=0&hl=id&entry=ttu","103.2940383","-4.7066736","Situs Web","posindonesia.co.id"
"Kantorpos Tanjung Iman","Kantor Pos",3.2,5,"unknown","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/data=!4m7!3m6!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1!19sChIJt___v-vuNy4RhETPFo8rE58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/@-4.7066736,103.2940383,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1?authuser=0&hl=id&entry=ttu","103.2940383","-4.7066736","Telepon","(0736) 22951"
"Kantorpos Tanjung Iman","Kantor Pos",3.2,5,"unknown","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/data=!4m7!3m6!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1!19sChIJt___v-vuNy4RhETPFo8rE58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tanjung+Iman/@-4.7066736,103.2940383,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37eeebbfffffb7:0x9f132b8f16cf4484!8m2!3d-4.7066736!4d103.2940383!16s%2Fg%2F11b5plw9b1?authuser=0&hl=id&entry=ttu","103.2940383","-4.7066736","Plus Codes","77VV+8J Tj. Iman, Kabupaten Kaur, Bengkulu"
