"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor POS Tuapeijat","Kantor Pos",4,8,"","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/data=!4m7!3m6!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1!19sChIJTXI4iCxH0i8RU0Uc0rzqZq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/@-2.0353285,99.5831942,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1?authuser=0&hl=id&entry=ttu","99.5831942","-2.0353285","Alamat","Jl. Raya Tuapejat No.KM. 2, Sipora Jaya, Sipora Utara, Kabupaten Kepulauan Mentawai, Sumatera Barat 25932"
"Kantor POS Tuapeijat","Kantor Pos",4,8,"","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/data=!4m7!3m6!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1!19sChIJTXI4iCxH0i8RU0Uc0rzqZq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/@-2.0353285,99.5831942,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1?authuser=0&hl=id&entry=ttu","99.5831942","-2.0353285","Terletak di","TPI - Pasar Ikan"
"Kantor POS Tuapeijat","Kantor Pos",4,8,"","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/data=!4m7!3m6!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1!19sChIJTXI4iCxH0i8RU0Uc0rzqZq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/@-2.0353285,99.5831942,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1?authuser=0&hl=id&entry=ttu","99.5831942","-2.0353285","Situs Web","posindonesia.co.id"
"Kantor POS Tuapeijat","Kantor Pos",4,8,"","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/data=!4m7!3m6!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1!19sChIJTXI4iCxH0i8RU0Uc0rzqZq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Tuapeijat/@-2.0353285,99.5831942,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd2472c8838724d:0xad66eabcd21c4553!8m2!3d-2.0353285!4d99.5831942!16s%2Fg%2F11gbml0bx1?authuser=0&hl=id&entry=ttu","99.5831942","-2.0353285","Plus Codes","XH7M+V7 Sipora Jaya, Kabupaten Kepulauan Mentawai, Sumatera Barat"
"Kantorpos Sioban","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantorpos+Sioban/data=!4m7!3m6!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8!19sChIJJVVVVbFo0i8ROCZTXhFGtyA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sioban/@-2.1930972,99.7242949,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8?authuser=0&hl=id&entry=ttu","99.7242949","-2.1930972","Alamat","Sioban, Kec. Sipora Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25932"
"Kantorpos Sioban","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantorpos+Sioban/data=!4m7!3m6!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8!19sChIJJVVVVbFo0i8ROCZTXhFGtyA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sioban/@-2.1930972,99.7242949,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8?authuser=0&hl=id&entry=ttu","99.7242949","-2.1930972","Situs Web","posindonesia.co.id"
"Kantorpos Sioban","Kantor Pos",3.7,9,"unknown","https://www.google.com/maps/place/Kantorpos+Sioban/data=!4m7!3m6!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8!19sChIJJVVVVbFo0i8ROCZTXhFGtyA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sioban/@-2.1930972,99.7242949,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd268b155555525:0x20b746115e532638!8m2!3d-2.1930972!4d99.7242949!16s%2Fg%2F11b5wkzdr8?authuser=0&hl=id&entry=ttu","99.7242949","-2.1930972","Plus Codes","RP4F+QP Sioban, Kabupaten Kepulauan Mentawai, Sumatera Barat"
"Kantorpos Muara Siberut","Kantor Pos",3.8,5,"unknown","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/data=!4m7!3m6!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw!19sChIJx____49i0S8Rr1moLCD7QEA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/@-1.5973771,99.2138252,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw?authuser=0&hl=id&entry=ttu","99.2138252","-1.5973771","Alamat","Siberut, Siberut Selatan, Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25393"
"Kantorpos Muara Siberut","Kantor Pos",3.8,5,"unknown","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/data=!4m7!3m6!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw!19sChIJx____49i0S8Rr1moLCD7QEA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/@-1.5973771,99.2138252,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw?authuser=0&hl=id&entry=ttu","99.2138252","-1.5973771","Situs Web","posindonesia.co.id"
"Kantorpos Muara Siberut","Kantor Pos",3.8,5,"unknown","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/data=!4m7!3m6!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw!19sChIJx____49i0S8Rr1moLCD7QEA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Siberut/@-1.5973771,99.2138252,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd1628fffffffc7:0x4040fb202ca859af!8m2!3d-1.5973771!4d99.2138252!16s%2Fg%2F1q6jzbqtw?authuser=0&hl=id&entry=ttu","99.2138252","-1.5973771","Telepon","(0751) 810548"
