"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"POS BANTUAN HUKUM . POSBAKUMADIN KONAWE SELATAN","Kantor Perusahaan",5,3,"unknown","https://www.google.com/maps/place/POS+BANTUAN+HUKUM+.+POSBAKUMADIN+KONAWE+SELATAN/data=!4m7!3m6!1s0x2da281276f23a453:0x8e0c5c80ef91d46f!8m2!3d-4.3499909!4d122.330139!16s%2Fg%2F11fs8sy8__!19sChIJU6QjbyeBoi0Rb9SR74BcDI4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+BANTUAN+HUKUM+.+POSBAKUMADIN+KONAWE+SELATAN/@-4.3499909,122.330139,17z/data=!3m1!4b1!4m6!3m5!1s0x2da281276f23a453:0x8e0c5c80ef91d46f!8m2!3d-4.3499909!4d122.330139!16s%2Fg%2F11fs8sy8__?authuser=0&hl=id&entry=ttu","122.330139","-4.3499909","Alamat","M82J+232, Potoro, Kec. Andoolo, Kabupaten Konawe Selatan, Sulawesi Tenggara 93819"
"POS BANTUAN HUKUM . POSBAKUMADIN KONAWE SELATAN","Kantor Perusahaan",5,3,"unknown","https://www.google.com/maps/place/POS+BANTUAN+HUKUM+.+POSBAKUMADIN+KONAWE+SELATAN/data=!4m7!3m6!1s0x2da281276f23a453:0x8e0c5c80ef91d46f!8m2!3d-4.3499909!4d122.330139!16s%2Fg%2F11fs8sy8__!19sChIJU6QjbyeBoi0Rb9SR74BcDI4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+BANTUAN+HUKUM+.+POSBAKUMADIN+KONAWE+SELATAN/@-4.3499909,122.330139,17z/data=!3m1!4b1!4m6!3m5!1s0x2da281276f23a453:0x8e0c5c80ef91d46f!8m2!3d-4.3499909!4d122.330139!16s%2Fg%2F11fs8sy8__?authuser=0&hl=id&entry=ttu","122.330139","-4.3499909","Telepon","0823-3300-0383"
"Pos Penjualan Astra Motor Konsel (Buke)","Kantor Perusahaan",NA,NA,"Buka ⋅ Tutup Kam pukul 05.00","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+%28Buke%29/data=!4m7!3m6!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03!19sChIJpR7HBZl5mC0RiS00_pW7-00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+(Buke)/@-4.2820605,122.2070995,17z/data=!3m1!4b1!4m6!3m5!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03?authuser=0&hl=id&entry=ttu","122.2070995","-4.2820605","Alamat","Ranooha Lestari, Kec. Buke, Kabupaten Konawe Selatan, Sulawesi Tenggara 93813"
"Pos Penjualan Astra Motor Konsel (Buke)","Kantor Perusahaan",NA,NA,"Buka ⋅ Tutup Kam pukul 05.00","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+%28Buke%29/data=!4m7!3m6!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03!19sChIJpR7HBZl5mC0RiS00_pW7-00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+(Buke)/@-4.2820605,122.2070995,17z/data=!3m1!4b1!4m6!3m5!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03?authuser=0&hl=id&entry=ttu","122.2070995","-4.2820605","Telepon","0853-9541-4414"
"Pos Penjualan Astra Motor Konsel (Buke)","Kantor Perusahaan",NA,NA,"Buka ⋅ Tutup Kam pukul 05.00","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+%28Buke%29/data=!4m7!3m6!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03!19sChIJpR7HBZl5mC0RiS00_pW7-00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Penjualan+Astra+Motor+Konsel+(Buke)/@-4.2820605,122.2070995,17z/data=!3m1!4b1!4m6!3m5!1s0x2d98799905c71ea5:0x4dfbbb95fe342d89!8m2!3d-4.2820605!4d122.2070995!16s%2Fg%2F11fsb8zm03?authuser=0&hl=id&entry=ttu","122.2070995","-4.2820605","Plus Codes","P694+5R Ranooha Lestari, Kabupaten Konawe Selatan, Sulawesi Tenggara"
"Pos Wisata BNP","Situs reka ulang sejarah",3.3,3,"unknown","https://www.google.com/maps/place/Pos+Wisata+BNP/data=!4m7!3m6!1s0x2da2992afc12db0d:0x20923d38545249fd!8m2!3d-4.4007377!4d122.0469304!16s%2Fg%2F11fr328177!19sChIJDdsS_CqZoi0R_UlSVDg9kiA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Wisata+BNP/@-4.4007377,122.0469304,17z/data=!3m1!4b1!4m6!3m5!1s0x2da2992afc12db0d:0x20923d38545249fd!8m2!3d-4.4007377!4d122.0469304!16s%2Fg%2F11fr328177?authuser=0&hl=id&entry=ttu","122.0469304","-4.4007377","Alamat","H2XW+PQ3, Potuho Jaya, Lalembuu, Kabupaten Konawe Selatan, Sulawesi Tenggara 93885"
"Pos LLAJ Puasana","Kantor Pajak",NA,NA,"unknown","https://www.google.com/maps/place/Pos+LLAJ+Puasana/data=!4m7!3m6!1s0x2d9895a1f0020945:0x184c48dc0345525a!8m2!3d-4.0091668!4d122.651479!16s%2Fg%2F11j9dsd39f!19sChIJRQkC8KGVmC0RWlJFA9xITBg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+LLAJ+Puasana/@-4.0091668,122.651479,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9895a1f0020945:0x184c48dc0345525a!8m2!3d-4.0091668!4d122.651479!16s%2Fg%2F11j9dsd39f?authuser=0&hl=id&entry=ttu","122.651479","-4.0091668","Alamat","XMR2+8HQ, Puasana, Kec. Moramo Utara, Kabupaten Konawe Selatan, Sulawesi Tenggara 93238"
"Pos Polisi","Polisi Lalu Lintas",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Polisi/data=!4m7!3m6!1s0x2da279344cd2f0f5:0xd8de1f5705c47d84!8m2!3d-4.3030668!4d122.4730604!16s%2Fg%2F11tnhstwsd!19sChIJ9fDSTDR5oi0RhH3EBVcf3tg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polisi/@-4.3030668,122.4730604,17z/data=!3m1!4b1!4m6!3m5!1s0x2da279344cd2f0f5:0xd8de1f5705c47d84!8m2!3d-4.3030668!4d122.4730604!16s%2Fg%2F11tnhstwsd?authuser=0&hl=id&entry=ttu","122.4730604","-4.3030668","Alamat","MFWF+R6P, Punggaluku, Kec. Laeya, Kabupaten Konawe Selatan, Sulawesi Tenggara 93395"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x2da271e5b5850793:0x6d19d72b3bb08a24!8m2!3d-4.3936369!4d122.5754514!16s%2Fg%2F11t9_gr7g7!19sChIJkweFteVxoi0RJIqwOyvXGW0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@-4.3936369,122.5754514,17z/data=!3m1!4b1!4m6!3m5!1s0x2da271e5b5850793:0x6d19d72b3bb08a24!8m2!3d-4.3936369!4d122.5754514!16s%2Fg%2F11t9_gr7g7?authuser=0&hl=id&entry=ttu","122.5754514","-4.3936369","Alamat","Dusun V No.RT 5, Pamandati, Kec. Lainea, Kabupaten Konawe Selatan, Sulawesi Tenggara"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x2da271e5b5850793:0x6d19d72b3bb08a24!8m2!3d-4.3936369!4d122.5754514!16s%2Fg%2F11t9_gr7g7!19sChIJkweFteVxoi0RJIqwOyvXGW0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@-4.3936369,122.5754514,17z/data=!3m1!4b1!4m6!3m5!1s0x2da271e5b5850793:0x6d19d72b3bb08a24!8m2!3d-4.3936369!4d122.5754514!16s%2Fg%2F11t9_gr7g7?authuser=0&hl=id&entry=ttu","122.5754514","-4.3936369","Telepon","0822-3742-2176"
