"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos","Kantor Pos",4,4,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x302cf93279a6215d:0x9ece30aff6711efc!8m2!3d1.7246089!4d99.9579242!16s%2Fg%2F11bzrk4ggc!19sChIJXSGmeTL5LDAR_B5x9q8wzp4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.7246089,99.9579242,17z/data=!3m1!4b1!4m6!3m5!1s0x302cf93279a6215d:0x9ece30aff6711efc!8m2!3d1.7246089!4d99.9579242!16s%2Fg%2F11bzrk4ggc?authuser=0&hl=id&entry=ttu","99.9579242","1.7246089","Alamat","PXF5+R5V, Jl. Kota Pinang - Gunung Tua, Langga Payung, Kec. Sungai Kanan, Kab. Labuhanbatu Selatan, Sumatera Utara 21465"
"Kantor Pos","Kantor Pos",4,4,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x302cf93279a6215d:0x9ece30aff6711efc!8m2!3d1.7246089!4d99.9579242!16s%2Fg%2F11bzrk4ggc!19sChIJXSGmeTL5LDAR_B5x9q8wzp4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.7246089,99.9579242,17z/data=!3m1!4b1!4m6!3m5!1s0x302cf93279a6215d:0x9ece30aff6711efc!8m2!3d1.7246089!4d99.9579242!16s%2Fg%2F11bzrk4ggc?authuser=0&hl=id&entry=ttu","99.9579242","1.7246089","Situs Web","posindonesia.co.id"
"Kantor Pos Tanjung Medan","Konsultan Pemasaran",3.8,4,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+Tanjung+Medan/data=!4m7!3m6!1s0x302d13b99e44009f:0xf00bd1901ccb29d!8m2!3d2.0573731!4d100.1394472!16s%2Fg%2F11f04mqlxt!19sChIJnwBEnrkTLTARnbLMARm9AA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tanjung+Medan/@2.0573731,100.1394472,17z/data=!3m1!4b1!4m6!3m5!1s0x302d13b99e44009f:0xf00bd1901ccb29d!8m2!3d2.0573731!4d100.1394472!16s%2Fg%2F11f04mqlxt?authuser=0&hl=id&entry=ttu","100.1394472","2.0573731","Alamat","344Q+WQW, Tj. Medan, Kec. Kp. Rakyat, Kab. Labuhanbatu Selatan, Sumatera Utara 21463"
"Kantor Pos Tanjung Medan","Konsultan Pemasaran",3.8,4,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+Tanjung+Medan/data=!4m7!3m6!1s0x302d13b99e44009f:0xf00bd1901ccb29d!8m2!3d2.0573731!4d100.1394472!16s%2Fg%2F11f04mqlxt!19sChIJnwBEnrkTLTARnbLMARm9AA8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tanjung+Medan/@2.0573731,100.1394472,17z/data=!3m1!4b1!4m6!3m5!1s0x302d13b99e44009f:0xf00bd1901ccb29d!8m2!3d2.0573731!4d100.1394472!16s%2Fg%2F11f04mqlxt?authuser=0&hl=id&entry=ttu","100.1394472","2.0573731","Situs Web","posindonesia.co.id"
"Kantor Pos Kampung Rakyat","Kantor Pos",NA,NA,"Segera tutup ⋅ 13.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Kampung+Rakyat/data=!4m7!3m6!1s0x302d13b99c5e861b:0x2313a5ae601cd093!8m2!3d2.0577548!4d100.1390495!16s%2Fg%2F11fz2wg8zm!19sChIJG4ZenLkTLTARk9AcYK6lEyM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kampung+Rakyat/@2.0577548,100.1390495,17z/data=!3m1!4b1!4m6!3m5!1s0x302d13b99c5e861b:0x2313a5ae601cd093!8m2!3d2.0577548!4d100.1390495!16s%2Fg%2F11fz2wg8zm?authuser=0&hl=id&entry=ttu","100.1390495","2.0577548","Alamat","345Q+4J3, Tj. Medan, Kec. Kp. Rakyat, Kab. Labuhanbatu Selatan, Sumatera Utara 21463"
"Kantor Pos Silangkitang 21461","Kantor Perusahaan",NA,NA,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Silangkitang+21461/data=!4m7!3m6!1s0x302d01a75730e749:0x8f6a13d707adf7a2!8m2!3d1.8588346!4d99.9071236!16s%2Fg%2F11hz6rqmg1!19sChIJSecwV6cBLTARovetB9cTao8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Silangkitang+21461/@1.8588346,99.9071236,17z/data=!3m1!4b1!4m6!3m5!1s0x302d01a75730e749:0x8f6a13d707adf7a2!8m2!3d1.8588346!4d99.9071236!16s%2Fg%2F11hz6rqmg1?authuser=0&hl=id&entry=ttu","99.9071236","1.8588346","Alamat","VW54+GRQ, Unnamed Road, Ulu Mahuam, Kec. Silangkitang, Kab. Labuhanbatu Selatan, Sumatera Utara 21461"
"Kantor Pos Silangkitang 21461","Kantor Perusahaan",NA,NA,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Silangkitang+21461/data=!4m7!3m6!1s0x302d01a75730e749:0x8f6a13d707adf7a2!8m2!3d1.8588346!4d99.9071236!16s%2Fg%2F11hz6rqmg1!19sChIJSecwV6cBLTARovetB9cTao8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Silangkitang+21461/@1.8588346,99.9071236,17z/data=!3m1!4b1!4m6!3m5!1s0x302d01a75730e749:0x8f6a13d707adf7a2!8m2!3d1.8588346!4d99.9071236!16s%2Fg%2F11hz6rqmg1?authuser=0&hl=id&entry=ttu","99.9071236","1.8588346","Telepon","(0624) 21675"
"Agenpos Iwan Ponsel","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/data=!4m7!3m6!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b!19sChIJ0US3-6wELTARgfTkWkzXWZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/@1.887273,100.078387,17z/data=!3m1!4b1!4m6!3m5!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b?authuser=0&hl=id&entry=ttu","100.078387","1.887273","Alamat","Kota Pinang, Kec. Kota Pinang, Kab. Labuhanbatu Selatan, Sumatera Utara 21464"
"Agenpos Iwan Ponsel","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/data=!4m7!3m6!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b!19sChIJ0US3-6wELTARgfTkWkzXWZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/@1.887273,100.078387,17z/data=!3m1!4b1!4m6!3m5!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b?authuser=0&hl=id&entry=ttu","100.078387","1.887273","Situs Web","posindonesia.co.id"
"Agenpos Iwan Ponsel","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/data=!4m7!3m6!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b!19sChIJ0US3-6wELTARgfTkWkzXWZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agenpos+Iwan+Ponsel/@1.887273,100.078387,17z/data=!3m1!4b1!4m6!3m5!1s0x302d04acfbb744d1:0x9f59d74c5ae4f481!8m2!3d1.887273!4d100.078387!16s%2Fg%2F11b5wjls9b?authuser=0&hl=id&entry=ttu","100.078387","1.887273","Telepon","(022) 4207081"
