"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Suli Luwu","Kantor Pos",5,1,"unknown","https://www.google.com/maps/place/Kantor+Pos+Suli+Luwu/data=!4m7!3m6!1s0x2d96bd595e824a1b:0x897282e57ed18870!8m2!3d-3.4556102!4d120.36582!16s%2Fg%2F11trxfn5h4!19sChIJG0qCXlm9li0RcIjRfuWCcok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Suli+Luwu/@-3.4556102,120.36582,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bd595e824a1b:0x897282e57ed18870!8m2!3d-3.4556102!4d120.36582!16s%2Fg%2F11trxfn5h4?authuser=0&hl=id&entry=ttu","120.36582","-3.4556102","Alamat","G9V8+Q84, Suli, Kec. Suli, Kabupaten Luwu, Sulawesi Selatan"
"Kantorpos","Kantor Pos",4,3,"unknown","https://www.google.com/maps/place/Kantorpos/data=!4m7!3m6!1s0x2d96a56395eb5a0d:0xc66cf72b983fe0ea!8m2!3d-3.3768924!4d120.3129841!16s%2Fg%2F11ddww9nlj!19sChIJDVrrlWOlli0R6uA_mCv3bMY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos/@-3.3768924,120.3129841,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96a56395eb5a0d:0xc66cf72b983fe0ea!8m2!3d-3.3768924!4d120.3129841!16s%2Fg%2F11ddww9nlj?authuser=0&hl=id&entry=ttu","120.3129841","-3.3768924","Alamat","J8F7+65X, Jl. Tugu Pahlawan, Bajo, Kec. Bajo, Kabupaten Luwu, Sulawesi Selatan 91995"
"Kantorpos","Kantor Pos",4,3,"unknown","https://www.google.com/maps/place/Kantorpos/data=!4m7!3m6!1s0x2d96a56395eb5a0d:0xc66cf72b983fe0ea!8m2!3d-3.3768924!4d120.3129841!16s%2Fg%2F11ddww9nlj!19sChIJDVrrlWOlli0R6uA_mCv3bMY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos/@-3.3768924,120.3129841,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96a56395eb5a0d:0xc66cf72b983fe0ea!8m2!3d-3.3768924!4d120.3129841!16s%2Fg%2F11ddww9nlj?authuser=0&hl=id&entry=ttu","120.3129841","-3.3768924","Situs Web","posindonesia.co.id"
"Kantorpos Belopa","Kantor Pos",3.9,20,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Belopa/data=!4m7!3m6!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x!19sChIJ7aqqqsa6li0Ry3LSVRhxU8s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Belopa/@-3.3776032,120.3676181,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x?authuser=0&hl=id&entry=ttu","120.3676181","-3.3776032","Alamat","Jl. Jend. Sudirman, Belopa, Tampumia Radda, Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994"
"Kantorpos Belopa","Kantor Pos",3.9,20,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Belopa/data=!4m7!3m6!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x!19sChIJ7aqqqsa6li0Ry3LSVRhxU8s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Belopa/@-3.3776032,120.3676181,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x?authuser=0&hl=id&entry=ttu","120.3676181","-3.3776032","Situs Web","posindonesia.co.id"
"Kantorpos Belopa","Kantor Pos",3.9,20,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Belopa/data=!4m7!3m6!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x!19sChIJ7aqqqsa6li0Ry3LSVRhxU8s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Belopa/@-3.3776032,120.3676181,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x?authuser=0&hl=id&entry=ttu","120.3676181","-3.3776032","Telepon","(0471) 3314192"
"Kantorpos Belopa","Kantor Pos",3.9,20,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Belopa/data=!4m7!3m6!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x!19sChIJ7aqqqsa6li0Ry3LSVRhxU8s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Belopa/@-3.3776032,120.3676181,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bac6aaaaaaed:0xcb53711855d272cb!8m2!3d-3.3776032!4d120.3676181!16s%2Fg%2F1pzq5_k6x?authuser=0&hl=id&entry=ttu","120.3676181","-3.3776032","Plus Codes","J9C9+X2 Tampumia Radda, Kabupaten Luwu, Sulawesi Selatan"
"Kantorpos Padangsappa","Kantor Pos",4.5,15,"unknown","https://www.google.com/maps/place/Kantorpos+Padangsappa/data=!4m7!3m6!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j!19sChIJJQAAACtTkS0RhIeXmQmJ7M0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padangsappa/@-3.2329835,120.3018054,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j?authuser=0&hl=id&entry=ttu","120.3018054","-3.2329835","Alamat","Jalan Poros Makassar, Padang Sappa, Ponrang, Padang Sappa, Kec. Ponrang, Kabupaten Luwu, Sulawesi Selatan 91993"
"Kantorpos Padangsappa","Kantor Pos",4.5,15,"unknown","https://www.google.com/maps/place/Kantorpos+Padangsappa/data=!4m7!3m6!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j!19sChIJJQAAACtTkS0RhIeXmQmJ7M0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padangsappa/@-3.2329835,120.3018054,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j?authuser=0&hl=id&entry=ttu","120.3018054","-3.2329835","Situs Web","posindonesia.co.id"
"Kantorpos Padangsappa","Kantor Pos",4.5,15,"unknown","https://www.google.com/maps/place/Kantorpos+Padangsappa/data=!4m7!3m6!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j!19sChIJJQAAACtTkS0RhIeXmQmJ7M0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padangsappa/@-3.2329835,120.3018054,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91532b00000025:0xcdec890999978784!8m2!3d-3.2329835!4d120.3018054!16s%2Fg%2F11b5pl922j?authuser=0&hl=id&entry=ttu","120.3018054","-3.2329835","Plus Codes","Q882+RP Padang Sappa, Kabupaten Luwu, Sulawesi Selatan"
"POS JAGA KEJARI LUWU","Kantor Pemerintah",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/POS+JAGA+KEJARI+LUWU/data=!4m7!3m6!1s0x2d96bb318ac692bb:0x15e584a6f6c3ff02!8m2!3d-3.4059825!4d120.3684013!16s%2Fg%2F11sv9l0n4k!19sChIJu5LGijG7li0RAv_D9qaE5RU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+JAGA+KEJARI+LUWU/@-3.4059825,120.3684013,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96bb318ac692bb:0x15e584a6f6c3ff02!8m2!3d-3.4059825!4d120.3684013!16s%2Fg%2F11sv9l0n4k?authuser=0&hl=id&entry=ttu","120.3684013","-3.4059825","Alamat","Jl. Pahlawan, Senga Sel., Kec. Belopa, Kabupaten Luwu, Sulawesi Selatan 91994"
"Kantorpos Sabbang, Luwu Utara","Kantor Pos",3.4,5,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/data=!4m7!3m6!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv!19sChIJN1VVVSWEkS0RPKLcOAVSc2g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/@-2.5965857,120.2535558,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv?authuser=0&hl=id&entry=ttu","120.2535558","-2.5965857","Alamat","Baebunta, Kec. Baebunta, Kabupaten Luwu Utara, Sulawesi Selatan 92965"
"Kantorpos Sabbang, Luwu Utara","Kantor Pos",3.4,5,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/data=!4m7!3m6!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv!19sChIJN1VVVSWEkS0RPKLcOAVSc2g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/@-2.5965857,120.2535558,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv?authuser=0&hl=id&entry=ttu","120.2535558","-2.5965857","Situs Web","posindonesia.co.id"
"Kantorpos Sabbang, Luwu Utara","Kantor Pos",3.4,5,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/data=!4m7!3m6!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv!19sChIJN1VVVSWEkS0RPKLcOAVSc2g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/@-2.5965857,120.2535558,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv?authuser=0&hl=id&entry=ttu","120.2535558","-2.5965857","Telepon","(0471) 21016"
"Kantorpos Sabbang, Luwu Utara","Kantor Pos",3.4,5,"Segera tutup ⋅ 15.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/data=!4m7!3m6!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv!19sChIJN1VVVSWEkS0RPKLcOAVSc2g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sabbang,+Luwu+Utara/@-2.5965857,120.2535558,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91842555555537:0x6873520538dca23c!8m2!3d-2.5965857!4d120.2535558!16s%2Fg%2F1q6bfjdvv?authuser=0&hl=id&entry=ttu","120.2535558","-2.5965857","Plus Codes","C733+9C Baebunta, Kabupaten Luwu Utara, Sulawesi Selatan"
"Kantor POS Indonesia","Kantor Pos",3,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Indonesia/data=!4m7!3m6!1s0x2d91aeaed1885997:0x4dbdd5f690dcb31c!8m2!3d-2.5866211!4d120.7979316!16s%2Fg%2F11b_2qdmwq!19sChIJl1mI0a6ukS0RHLPckPbVvU0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Indonesia/@-2.5866211,120.7979316,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91aeaed1885997:0x4dbdd5f690dcb31c!8m2!3d-2.5866211!4d120.7979316!16s%2Fg%2F11b_2qdmwq?authuser=0&hl=id&entry=ttu","120.7979316","-2.5866211","Alamat","CQ7X+953, Bawalipu, Kec. Wotu, Kabupaten Luwu Timur, Sulawesi Selatan 92971"
"Kantor POS Indonesia","Kantor Pos",3,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Indonesia/data=!4m7!3m6!1s0x2d91aeaed1885997:0x4dbdd5f690dcb31c!8m2!3d-2.5866211!4d120.7979316!16s%2Fg%2F11b_2qdmwq!19sChIJl1mI0a6ukS0RHLPckPbVvU0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Indonesia/@-2.5866211,120.7979316,17z/data=!3m1!4b1!4m6!3m5!1s0x2d91aeaed1885997:0x4dbdd5f690dcb31c!8m2!3d-2.5866211!4d120.7979316!16s%2Fg%2F11b_2qdmwq?authuser=0&hl=id&entry=ttu","120.7979316","-2.5866211","Situs Web","posindonesia.co.id"
