"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Indonesia Makassar","Kantor Pos",3.9,138,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/data=!4m7!3m6!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz!19sChIJ8_4y5K8Cvy0RxEA8RxzK57s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/@-5.1348866,119.4069197,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz?authuser=0&hl=id&entry=ttu","119.4069197","-5.1348866","Alamat","Jl. Selamet Riyadi No.10, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90111"
"Kantor Pos Indonesia Makassar","Kantor Pos",3.9,138,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/data=!4m7!3m6!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz!19sChIJ8_4y5K8Cvy0RxEA8RxzK57s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/@-5.1348866,119.4069197,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz?authuser=0&hl=id&entry=ttu","119.4069197","-5.1348866","Situs Web","posindonesia.co.id"
"Kantor Pos Indonesia Makassar","Kantor Pos",3.9,138,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/data=!4m7!3m6!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz!19sChIJ8_4y5K8Cvy0RxEA8RxzK57s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/@-5.1348866,119.4069197,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz?authuser=0&hl=id&entry=ttu","119.4069197","-5.1348866","Telepon","(0411) 3615219"
"Kantor Pos Indonesia Makassar","Kantor Pos",3.9,138,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/data=!4m7!3m6!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz!19sChIJ8_4y5K8Cvy0RxEA8RxzK57s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Makassar/@-5.1348866,119.4069197,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afe432fef3:0xbbe7ca1c473c40c4!8m2!3d-5.1348866!4d119.4069197!16s%2Fg%2F11b76c4mpz?authuser=0&hl=id&entry=ttu","119.4069197","-5.1348866","Plus Codes","VC84+2Q Bulo Gading, Kota Makassar, Sulawesi Selatan"
"Kantor Pos Mail Processing Centre Makassar","Kantor Pos",4.1,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/data=!4m7!3m6!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf!19sChIJPcQ-faUCvy0RLuOWC-EshXk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/@-5.1336759,119.408572,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf?authuser=0&hl=id&entry=ttu","119.408572","-5.1336759","Alamat","Jalan Balaikota No.5, Ujung Pandang, Baru, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90111"
"Kantor Pos Mail Processing Centre Makassar","Kantor Pos",4.1,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/data=!4m7!3m6!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf!19sChIJPcQ-faUCvy0RLuOWC-EshXk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/@-5.1336759,119.408572,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf?authuser=0&hl=id&entry=ttu","119.408572","-5.1336759","Situs Web","posindonesia.co.id"
"Kantor Pos Mail Processing Centre Makassar","Kantor Pos",4.1,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/data=!4m7!3m6!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf!19sChIJPcQ-faUCvy0RLuOWC-EshXk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mail+Processing+Centre+Makassar/@-5.1336759,119.408572,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02a57d3ec43d:0x79852ce10b96e32e!8m2!3d-5.1336759!4d119.408572!16s%2Fg%2F11b76dbxvf?authuser=0&hl=id&entry=ttu","119.408572","-5.1336759","Plus Codes","VC85+GC Baru, Kota Makassar, Sulawesi Selatan"
"Soto Banjar Kantor Pos","Restoran soto",4.4,240,"","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/data=!4m7!3m6!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9!19sChIJsc4R268Cvy0RppIBKIQgtzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/@-5.1353709,119.406913,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9?authuser=0&hl=id&entry=ttu","119.406913","-5.1353709","Alamat","Jl. WR. Supratman No.3, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90171"
"Soto Banjar Kantor Pos","Restoran soto",4.4,240,"","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/data=!4m7!3m6!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9!19sChIJsc4R268Cvy0RppIBKIQgtzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/@-5.1353709,119.406913,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9?authuser=0&hl=id&entry=ttu","119.406913","-5.1353709","Situs Web","business.site"
"Soto Banjar Kantor Pos","Restoran soto",4.4,240,"","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/data=!4m7!3m6!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9!19sChIJsc4R268Cvy0RppIBKIQgtzU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Soto+Banjar+Kantor+Pos/@-5.1353709,119.406913,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf02afdb11ceb1:0x35b72084280192a6!8m2!3d-5.1353709!4d119.406913!16s%2Fg%2F1hm22vnb9?authuser=0&hl=id&entry=ttu","119.406913","-5.1353709","Telepon","0878-4084-3747"
