"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Mamasa","Kantor Pos",3.6,5,"Tutup ⋅ Buka Kam pukul 09.01","https://www.google.com/maps/place/Kantorpos+Mamasa/data=!4m7!3m6!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx!19sChIJZVVVVVUIky0RJJMbLJhF7L8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mamasa/@-2.9431798,119.3767159,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx?authuser=0&hl=id&entry=ttu","119.3767159","-2.9431798","Alamat","Jl. Jend. Sudirman, Mamasa, Kec. Mamasa, Kabupaten Mamasa, Sulawesi Barat 91365"
"Kantorpos Mamasa","Kantor Pos",3.6,5,"Tutup ⋅ Buka Kam pukul 09.01","https://www.google.com/maps/place/Kantorpos+Mamasa/data=!4m7!3m6!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx!19sChIJZVVVVVUIky0RJJMbLJhF7L8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mamasa/@-2.9431798,119.3767159,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx?authuser=0&hl=id&entry=ttu","119.3767159","-2.9431798","Situs Web","posindonesia.co.id"
"Kantorpos Mamasa","Kantor Pos",3.6,5,"Tutup ⋅ Buka Kam pukul 09.01","https://www.google.com/maps/place/Kantorpos+Mamasa/data=!4m7!3m6!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx!19sChIJZVVVVVUIky0RJJMbLJhF7L8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mamasa/@-2.9431798,119.3767159,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx?authuser=0&hl=id&entry=ttu","119.3767159","-2.9431798","Telepon","(0422) 21006"
"Kantorpos Mamasa","Kantor Pos",3.6,5,"Tutup ⋅ Buka Kam pukul 09.01","https://www.google.com/maps/place/Kantorpos+Mamasa/data=!4m7!3m6!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx!19sChIJZVVVVVUIky0RJJMbLJhF7L8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mamasa/@-2.9431798,119.3767159,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93085555555565:0xbfec45982c1b9324!8m2!3d-2.9431798!4d119.3767159!16s%2Fg%2F11b5ytbygx?authuser=0&hl=id&entry=ttu","119.3767159","-2.9431798","Plus Codes","394G+PM Mamasa, Kabupaten Mamasa, Sulawesi Barat"
"Kantor Pos Mambi","Kantor Pos",4.5,6,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mambi/data=!4m7!3m6!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh!19sChIJHwAAAKcTky0Rb4S6qzt0WDg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mambi/@-2.9481381,119.1754704,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh?authuser=0&hl=id&entry=ttu","119.1754704","-2.9481381","Alamat","Mambi, Kec. Mambi, Kabupaten Mamasa, Sulawesi Barat 91371"
"Kantor Pos Mambi","Kantor Pos",4.5,6,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mambi/data=!4m7!3m6!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh!19sChIJHwAAAKcTky0Rb4S6qzt0WDg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mambi/@-2.9481381,119.1754704,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh?authuser=0&hl=id&entry=ttu","119.1754704","-2.9481381","Situs Web","posindonesia.co.id"
"Kantor Pos Mambi","Kantor Pos",4.5,6,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mambi/data=!4m7!3m6!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh!19sChIJHwAAAKcTky0Rb4S6qzt0WDg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mambi/@-2.9481381,119.1754704,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh?authuser=0&hl=id&entry=ttu","119.1754704","-2.9481381","Telepon","(0422) 21006"
"Kantor Pos Mambi","Kantor Pos",4.5,6,"unknown","https://www.google.com/maps/place/Kantor+Pos+Mambi/data=!4m7!3m6!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh!19sChIJHwAAAKcTky0Rb4S6qzt0WDg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mambi/@-2.9481381,119.1754704,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9313a70000001f:0x3858743babba846f!8m2!3d-2.9481381!4d119.1754704!16s%2Fg%2F1q6b3n3kh?authuser=0&hl=id&entry=ttu","119.1754704","-2.9481381","Plus Codes","352G+P5 Mambi, Kabupaten Mamasa, Sulawesi Barat"
"KANTOR POS","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/KANTOR+POS/data=!4m7!3m6!1s0x2d931384efe98f0b:0x86d3cc4c0eb9a9b8!8m2!3d-2.9528755!4d119.1747122!16s%2Fg%2F11sr0__jx3!19sChIJC4_p74QTky0RuKm5DkzM04Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS/@-2.9528755,119.1747122,17z/data=!3m1!4b1!4m6!3m5!1s0x2d931384efe98f0b:0x86d3cc4c0eb9a9b8!8m2!3d-2.9528755!4d119.1747122!16s%2Fg%2F11sr0__jx3?authuser=0&hl=id&entry=ttu","119.1747122","-2.9528755","Alamat","25XG+44W, Mambi, Kec. Mambi, Kabupaten Mamasa, Sulawesi Barat 91371"
"Kantorpos Sumarorong","Kantor Pos",3.3,4,"unknown","https://www.google.com/maps/place/Kantorpos+Sumarorong/data=!4m7!3m6!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw!19sChIJuf___795ky0RYk_jrpVF0wk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sumarorong/@-3.1428696,119.31163,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw?authuser=0&hl=id&entry=ttu","119.31163","-3.1428696","Alamat","Jl. Poros Polewali Mamasa, Tadisi, Kec. Sumarorong, Kabupaten Mamasa, Sulawesi Barat 91361"
"Kantorpos Sumarorong","Kantor Pos",3.3,4,"unknown","https://www.google.com/maps/place/Kantorpos+Sumarorong/data=!4m7!3m6!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw!19sChIJuf___795ky0RYk_jrpVF0wk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sumarorong/@-3.1428696,119.31163,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw?authuser=0&hl=id&entry=ttu","119.31163","-3.1428696","Situs Web","posindonesia.co.id"
"Kantorpos Sumarorong","Kantor Pos",3.3,4,"unknown","https://www.google.com/maps/place/Kantorpos+Sumarorong/data=!4m7!3m6!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw!19sChIJuf___795ky0RYk_jrpVF0wk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sumarorong/@-3.1428696,119.31163,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw?authuser=0&hl=id&entry=ttu","119.31163","-3.1428696","Telepon","(0428) 21007"
"Kantorpos Sumarorong","Kantor Pos",3.3,4,"unknown","https://www.google.com/maps/place/Kantorpos+Sumarorong/data=!4m7!3m6!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw!19sChIJuf___795ky0RYk_jrpVF0wk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sumarorong/@-3.1428696,119.31163,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9379bfffffffb9:0x9d34595aee34f62!8m2!3d-3.1428696!4d119.31163!16s%2Fg%2F11b5wgbnmw?authuser=0&hl=id&entry=ttu","119.31163","-3.1428696","Plus Codes","V846+VM Tadisi, Kabupaten Mamasa, Sulawesi Barat"
