"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor pos Topoyo","Kantor Pos",4.1,21,"Segera tutup ⋅ 17.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Topoyo/data=!4m7!3m6!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks!19sChIJCwAAADB8jS0RbRDR2IU3q_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Topoyo/@-2.0815197,119.2918773,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks?authuser=0&hl=id&entry=ttu","119.2918773","-2.0815197","Alamat","Jl Poros Mamuju, Topoyo, Tobadak, Tobadak, Kec. Tobadak, Kabupaten Mamuju, Sulawesi Barat 91564"
"Kantor pos Topoyo","Kantor Pos",4.1,21,"Segera tutup ⋅ 17.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Topoyo/data=!4m7!3m6!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks!19sChIJCwAAADB8jS0RbRDR2IU3q_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Topoyo/@-2.0815197,119.2918773,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks?authuser=0&hl=id&entry=ttu","119.2918773","-2.0815197","Situs Web","posindonesia.co.id"
"Kantor pos Topoyo","Kantor Pos",4.1,21,"Segera tutup ⋅ 17.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+pos+Topoyo/data=!4m7!3m6!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks!19sChIJCwAAADB8jS0RbRDR2IU3q_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos+Topoyo/@-2.0815197,119.2918773,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7c300000000b:0xf1ab3785d8d1106d!8m2!3d-2.0815197!4d119.2918773!16s%2Fg%2F11b5pj88ks?authuser=0&hl=id&entry=ttu","119.2918773","-2.0815197","Plus Codes","W79R+9Q Tobadak, Kabupaten Mamuju, Sulawesi Barat"
"POS KAMPLING SEJUTA UMAT","Warnet",NA,NA,"unknown","https://www.google.com/maps/place/POS+KAMPLING+SEJUTA+UMAT/data=!4m7!3m6!1s0x2d927f3bffa1fe93:0x617f4a78baa2caed!8m2!3d-2.1598765!4d119.4491157!16s%2Fg%2F11pkvz5_51!19sChIJk_6h_zt_ki0R7cqiunhKf2E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+KAMPLING+SEJUTA+UMAT/@-2.1598765,119.4491157,17z/data=!3m1!4b1!4m6!3m5!1s0x2d927f3bffa1fe93:0x617f4a78baa2caed!8m2!3d-2.1598765!4d119.4491157!16s%2Fg%2F11pkvz5_51?authuser=0&hl=id&entry=ttu","119.4491157","-2.1598765","Alamat","RCRX+2JX, Sejati, Kec. Tobadak, Kabupaten Mamuju Tengah, Sulawesi Barat 91563"
"POS KESEHATAN DESA (POSKESDES) PERSEMAIAN","Pusat Kesehatan Masyarakat",NA,NA,"unknown","https://www.google.com/maps/place/POS+KESEHATAN+DESA+%28POSKESDES%29+PERSEMAIAN/data=!4m7!3m6!1s0x2d8d83fe40668ef3:0xeecd2d7dd2d978fd!8m2!3d-2.0411189!4d119.442992!16s%2Fg%2F11k1mkzv7z!19sChIJ845mQP6DjS0R_XjZ0n0tze4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+KESEHATAN+DESA+(POSKESDES)+PERSEMAIAN/@-2.0411189,119.442992,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d83fe40668ef3:0xeecd2d7dd2d978fd!8m2!3d-2.0411189!4d119.442992!16s%2Fg%2F11k1mkzv7z?authuser=0&hl=id&entry=ttu","119.442992","-2.0411189","Alamat","XC5V+H55, Salulekbo, Kec. Topoyo, Kabupaten Mamuju, Sulawesi Barat 91563"
"INDOMOBIL POS TOPOYO","Kantor Perusahaan",5,1,"unknown","https://www.google.com/maps/place/INDOMOBIL+POS+TOPOYO/data=!4m7!3m6!1s0x2d8d7ba35bb37935:0xec62a99c1877f66b!8m2!3d-2.0728905!4d119.28837!16s%2Fg%2F11nnw542d_!19sChIJNXmzW6N7jS0Ra_Z3GJypYuw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/INDOMOBIL+POS+TOPOYO/@-2.0728905,119.28837,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7ba35bb37935:0xec62a99c1877f66b!8m2!3d-2.0728905!4d119.28837!16s%2Fg%2F11nnw542d_?authuser=0&hl=id&entry=ttu","119.28837","-2.0728905","Alamat","Jl. Poros Majene - Mamuju, Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91563"
"INDOMOBIL POS TOPOYO","Kantor Perusahaan",5,1,"unknown","https://www.google.com/maps/place/INDOMOBIL+POS+TOPOYO/data=!4m7!3m6!1s0x2d8d7ba35bb37935:0xec62a99c1877f66b!8m2!3d-2.0728905!4d119.28837!16s%2Fg%2F11nnw542d_!19sChIJNXmzW6N7jS0Ra_Z3GJypYuw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/INDOMOBIL+POS+TOPOYO/@-2.0728905,119.28837,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7ba35bb37935:0xec62a99c1877f66b!8m2!3d-2.0728905!4d119.28837!16s%2Fg%2F11nnw542d_?authuser=0&hl=id&entry=ttu","119.28837","-2.0728905","Plus Codes","W7GQ+R8 Topoyo, Kabupaten Mamuju, Sulawesi Barat"
"FIFGROUP POS TOPOYO","",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/FIFGROUP+POS+TOPOYO/data=!4m7!3m6!1s0x2d8d7bed80f80757:0x6d2730fd32f5c2f1!8m2!3d-2.0762902!4d119.290781!16s%2Fg%2F11s34cn6rt!19sChIJVwf4gO17jS0R8cL1Mv0wJ20?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/FIFGROUP+POS+TOPOYO/@-2.0762902,119.290781,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7bed80f80757:0x6d2730fd32f5c2f1!8m2!3d-2.0762902!4d119.290781!16s%2Fg%2F11s34cn6rt?authuser=0&hl=id&entry=ttu","119.290781","-2.0762902","Alamat","W7FR+F8J, benteng, Jl. Poros Mamuju - Topoyo, Tobadak, Kec. Tobadak, Kabupaten Mamuju Tengah, Sulawesi Barat 91563"
"FIFGROUP POS TOPOYO","",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/FIFGROUP+POS+TOPOYO/data=!4m7!3m6!1s0x2d8d7bed80f80757:0x6d2730fd32f5c2f1!8m2!3d-2.0762902!4d119.290781!16s%2Fg%2F11s34cn6rt!19sChIJVwf4gO17jS0R8cL1Mv0wJ20?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/FIFGROUP+POS+TOPOYO/@-2.0762902,119.290781,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7bed80f80757:0x6d2730fd32f5c2f1!8m2!3d-2.0762902!4d119.290781!16s%2Fg%2F11s34cn6rt?authuser=0&hl=id&entry=ttu","119.290781","-2.0762902","Situs Web","fifgroup.co.id"
"Poskesdes Desa Tabolang","Gedung Pertemuan",5,1,"unknown","https://www.google.com/maps/place/Poskesdes+Desa+Tabolang/data=!4m7!3m6!1s0x2d8d7944e0b2923f:0x8d4fb18684a268b8!8m2!3d-2.0571883!4d119.3295133!16s%2Fg%2F11fmvgrzm8!19sChIJP5Ky4ER5jS0RuGiihIaxT40?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Poskesdes+Desa+Tabolang/@-2.0571883,119.3295133,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8d7944e0b2923f:0x8d4fb18684a268b8!8m2!3d-2.0571883!4d119.3295133!16s%2Fg%2F11fmvgrzm8?authuser=0&hl=id&entry=ttu","119.3295133","-2.0571883","Alamat","W8VH+4RC, Jl. Poros Majene - Mamuju, Tabolang, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91563"
