"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Manado","Kantor Pos",2.9,258,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Pos+Manado/data=!4m7!3m6!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8!19sChIJVXPf0Gp1hzIR_USnhNrk1HQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Manado/@1.488025,124.8384361,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8?authuser=0&hl=id&entry=ttu","124.8384361","1.488025","Alamat","Jl. Sam Ratulangi No.23, Wenang Utara, Kec. Wenang, Kota Manado, Sulawesi Utara"
"Kantor Pos Manado","Kantor Pos",2.9,258,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Pos+Manado/data=!4m7!3m6!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8!19sChIJVXPf0Gp1hzIR_USnhNrk1HQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Manado/@1.488025,124.8384361,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8?authuser=0&hl=id&entry=ttu","124.8384361","1.488025","Situs Web","posindonesia.co.id"
"Kantor Pos Manado","Kantor Pos",2.9,258,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Pos+Manado/data=!4m7!3m6!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8!19sChIJVXPf0Gp1hzIR_USnhNrk1HQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Manado/@1.488025,124.8384361,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8?authuser=0&hl=id&entry=ttu","124.8384361","1.488025","Telepon","(0431) 841422"
"Kantor Pos Manado","Kantor Pos",2.9,258,"Buka 24 jam","https://www.google.com/maps/place/Kantor+Pos+Manado/data=!4m7!3m6!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8!19sChIJVXPf0Gp1hzIR_USnhNrk1HQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Manado/@1.488025,124.8384361,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ad0df7355:0x74d4e4da84a744fd!8m2!3d1.488025!4d124.8384361!16s%2Fg%2F1td3j3q8?authuser=0&hl=id&entry=ttu","124.8384361","1.488025","Plus Codes","FRQQ+69 Wenang Utara, Kota Manado, Sulawesi Utara"
"Kantor Pos","Kantor Pos",2.7,6,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz!19sChIJiVHwuEN1hzIRDf7PMusD1cM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.4925619,124.8440131,17z/data=!3m1!4b1!4m6!3m5!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz?authuser=0&hl=id&entry=ttu","124.8440131","1.4925619","Alamat","Jl. Dr. Sutomo No.2, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara"
"Kantor Pos","Kantor Pos",2.7,6,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz!19sChIJiVHwuEN1hzIRDf7PMusD1cM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.4925619,124.8440131,17z/data=!3m1!4b1!4m6!3m5!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz?authuser=0&hl=id&entry=ttu","124.8440131","1.4925619","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",2.7,6,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz!19sChIJiVHwuEN1hzIRDf7PMusD1cM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.4925619,124.8440131,17z/data=!3m1!4b1!4m6!3m5!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz?authuser=0&hl=id&entry=ttu","124.8440131","1.4925619","Telepon","(0431) 841084"
"Kantor Pos","Kantor Pos",2.7,6,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz!19sChIJiVHwuEN1hzIRDf7PMusD1cM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@1.4925619,124.8440131,17z/data=!3m1!4b1!4m6!3m5!1s0x32877543b8f05189:0xc3d503eb32cffe0d!8m2!3d1.4925619!4d124.8440131!16s%2Fg%2F1pzptpbmz?authuser=0&hl=id&entry=ttu","124.8440131","1.4925619","Plus Codes","FRVV+2J Pinaesaan, Kota Manado, Sulawesi Utara"
"Manado Post Office","Kantor Pos",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Manado+Post+Office/data=!4m7!3m6!1s0x3287756ace544651:0x634a419d122b021!8m2!3d1.4513074!4d124.8383356!16s%2Fg%2F11j1hz25jt!19sChIJUUZUzmp1hzIRIbAi0RmkNAY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Manado+Post+Office/@1.4513074,124.8383356,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ace544651:0x634a419d122b021!8m2!3d1.4513074!4d124.8383356!16s%2Fg%2F11j1hz25jt?authuser=0&hl=id&entry=ttu","124.8383356","1.4513074","Alamat","No.23, Jl. Sam Ratulangi No.23, North Karombasan, Wanea, Manado City, North Sulawesi"
"Manado Post Office","Kantor Pos",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Manado+Post+Office/data=!4m7!3m6!1s0x3287756ace544651:0x634a419d122b021!8m2!3d1.4513074!4d124.8383356!16s%2Fg%2F11j1hz25jt!19sChIJUUZUzmp1hzIRIbAi0RmkNAY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Manado+Post+Office/@1.4513074,124.8383356,17z/data=!3m1!4b1!4m6!3m5!1s0x3287756ace544651:0x634a419d122b021!8m2!3d1.4513074!4d124.8383356!16s%2Fg%2F11j1hz25jt?authuser=0&hl=id&entry=ttu","124.8383356","1.4513074","Plus Codes","FR2Q+G8 Karombasan Utara, Kota Manado, Sulawesi Utara"
