"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"KANTOR POS KARIANGO","Kantor Pos",3.5,4,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/data=!4m7!3m6!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3!19sChIJ8a6rvIj6vi0RUCz1Z1B4cXY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/@-5.1006781,119.5912175,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3?authuser=0&hl=id&entry=ttu","119.5912175","-5.1006781","Alamat","Jl. Poros Kariango No.59, Kurusumange, Kec. Tanralili, Kabupaten Maros, Sulawesi Selatan 90553"
"KANTOR POS KARIANGO","Kantor Pos",3.5,4,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/data=!4m7!3m6!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3!19sChIJ8a6rvIj6vi0RUCz1Z1B4cXY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/@-5.1006781,119.5912175,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3?authuser=0&hl=id&entry=ttu","119.5912175","-5.1006781","Telepon","0823-9349-5555"
"KANTOR POS KARIANGO","Kantor Pos",3.5,4,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/data=!4m7!3m6!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3!19sChIJ8a6rvIj6vi0RUCz1Z1B4cXY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+KARIANGO/@-5.1006781,119.5912175,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefa88bcabaef1:0x7671785067f52c50!8m2!3d-5.1006781!4d119.5912175!16s%2Fg%2F11c5xwgwf3?authuser=0&hl=id&entry=ttu","119.5912175","-5.1006781","Plus Codes","VHXR+PF Kurusumange, Kabupaten Maros, Sulawesi Selatan"
"Kantor Pos Maros","Kantor Pos",3,32,"unknown","https://www.google.com/maps/place/Kantor+Pos+Maros/data=!4m7!3m6!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s!19sChIJCb0P92n4vi0RpHfbuq0YMpQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Maros/@-5.0053833,119.5742927,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s?authuser=0&hl=id&entry=ttu","119.5742927","-5.0053833","Alamat","Jl. Abbas Dg Sialu No.2, Turikale, Maros Regency, South Sulawesi 90500"
"Kantor Pos Maros","Kantor Pos",3,32,"unknown","https://www.google.com/maps/place/Kantor+Pos+Maros/data=!4m7!3m6!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s!19sChIJCb0P92n4vi0RpHfbuq0YMpQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Maros/@-5.0053833,119.5742927,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s?authuser=0&hl=id&entry=ttu","119.5742927","-5.0053833","Situs Web","posindonesia.co.id"
"Kantor Pos Maros","Kantor Pos",3,32,"unknown","https://www.google.com/maps/place/Kantor+Pos+Maros/data=!4m7!3m6!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s!19sChIJCb0P92n4vi0RpHfbuq0YMpQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Maros/@-5.0053833,119.5742927,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s?authuser=0&hl=id&entry=ttu","119.5742927","-5.0053833","Telepon","(0411) 371018"
"Kantor Pos Maros","Kantor Pos",3,32,"unknown","https://www.google.com/maps/place/Kantor+Pos+Maros/data=!4m7!3m6!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s!19sChIJCb0P92n4vi0RpHfbuq0YMpQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Maros/@-5.0053833,119.5742927,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef869f70fbd09:0x943218adbadb77a4!8m2!3d-5.0053833!4d119.5742927!16s%2Fg%2F1hm50210s?authuser=0&hl=id&entry=ttu","119.5742927","-5.0053833","Plus Codes","XHVF+RP Turikale, Kabupaten Maros, Sulawesi Selatan"
"Pos 702","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Pos+702/data=!4m7!3m6!1s0x2dbef9b15a72b005:0x73301efb269febd3!8m2!3d-5.0360279!4d119.570763!16s%2Fg%2F11h3_f0716!19sChIJBbByWrH5vi0R0-ufJvseMHM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+702/@-5.0360279,119.570763,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef9b15a72b005:0x73301efb269febd3!8m2!3d-5.0360279!4d119.570763!16s%2Fg%2F11h3_f0716?authuser=0&hl=id&entry=ttu","119.570763","-5.0360279","Alamat","XH7C+H8J, Jl. Rajawali Baniaga, Taroada, Kec. Turikale, Kabupaten Maros, Sulawesi Selatan 90516"
"Pos 703","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Pos+703/data=!4m7!3m6!1s0x2dbef934ae9c2b43:0x408fecfde658c547!8m2!3d-5.0483247!4d119.5555208!16s%2Fg%2F11flrkx5f6!19sChIJQyucrjT5vi0RR8VY5v3sj0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+703/@-5.0483247,119.5555208,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef934ae9c2b43:0x408fecfde658c547!8m2!3d-5.0483247!4d119.5555208!16s%2Fg%2F11flrkx5f6?authuser=0&hl=id&entry=ttu","119.5555208","-5.0483247","Alamat","XH24+M6C, Bontoa, Kec. Mandai, Kabupaten Maros, Sulawesi Selatan 90552"
"Kantor Pos Maros-Bantimurung","Kantor Pos",4,8,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Pos+Maros-Bantimurung/data=!4m7!3m6!1s0x2dbef7f5b7a5f9f5:0xef131d431e08eaa1!8m2!3d-5.0112289!4d119.6488337!16s%2Fg%2F1hm4bwb8l!19sChIJ9fmlt_X3vi0RoeoIHkMdE-8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Maros-Bantimurung/@-5.0112289,119.6488337,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbef7f5b7a5f9f5:0xef131d431e08eaa1!8m2!3d-5.0112289!4d119.6488337!16s%2Fg%2F1hm4bwb8l?authuser=0&hl=id&entry=ttu","119.6488337","-5.0112289","Alamat","Jl. Poros No.86, Minasa Baji, Kec. Bantimurung, Kabupaten Maros, Sulawesi Selatan 90561"
