"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Mataram","Layanan Surat",4.1,239,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mataram/data=!4m7!3m6!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1!19sChIJG9xyo2e_zS0R1cPIY1SmCPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram/@-8.5943336,116.1031036,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1?authuser=0&hl=id&entry=ttu","116.1031036","-8.5943336","Alamat","Jl. Sriwijaya, Punia, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115"
"Kantor Pos Mataram","Layanan Surat",4.1,239,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mataram/data=!4m7!3m6!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1!19sChIJG9xyo2e_zS0R1cPIY1SmCPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram/@-8.5943336,116.1031036,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1?authuser=0&hl=id&entry=ttu","116.1031036","-8.5943336","Situs Web","posindonesia.co.id"
"Kantor Pos Mataram","Layanan Surat",4.1,239,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mataram/data=!4m7!3m6!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1!19sChIJG9xyo2e_zS0R1cPIY1SmCPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram/@-8.5943336,116.1031036,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1?authuser=0&hl=id&entry=ttu","116.1031036","-8.5943336","Telepon","(0370) 632645"
"Kantor Pos Mataram","Layanan Surat",4.1,239,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Mataram/data=!4m7!3m6!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1!19sChIJG9xyo2e_zS0R1cPIY1SmCPM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram/@-8.5943336,116.1031036,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdbf67a372dc1b:0xf308a65463c8c3d5!8m2!3d-8.5943336!4d116.1031036!16s%2Fg%2F1hm1t70l1?authuser=0&hl=id&entry=ttu","116.1031036","-8.5943336","Plus Codes","C443+76 Punia, Kota Mataram, Nusa Tenggara Bar."
"Kantor Pos Indonesia","Kantor Pos",3.6,5,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq!19sChIJwToIV5_AzS0REPbE493qja4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-8.5816501,116.1118107,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq?authuser=0&hl=id&entry=ttu","116.1118107","-8.5816501","Alamat","C496+8PM, Jl. Pariwisata, Pejanggik, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83121"
"Kantor Pos Indonesia","Kantor Pos",3.6,5,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq!19sChIJwToIV5_AzS0REPbE493qja4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-8.5816501,116.1118107,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq?authuser=0&hl=id&entry=ttu","116.1118107","-8.5816501","Situs Web","posindonesia.co.id"
"Kantor Pos Indonesia","Kantor Pos",3.6,5,"unknown","https://www.google.com/maps/place/Kantor+Pos+Indonesia/data=!4m7!3m6!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq!19sChIJwToIV5_AzS0REPbE493qja4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia/@-8.5816501,116.1118107,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc09f57083ac1:0xae8deadde3c4f610!8m2!3d-8.5816501!4d116.1118107!16s%2Fg%2F11b6_9jjvq?authuser=0&hl=id&entry=ttu","116.1118107","-8.5816501","Telepon","(0370) 632645"
"Kantor Pos Mataram Ampenan","Kantor Pos",4.6,13,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/data=!4m7!3m6!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774!19sChIJxafEfobAzS0RWCqAvyyh6XM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/@-8.5775375,116.0821717,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774?authuser=0&hl=id&entry=ttu","116.0821717","-8.5775375","Alamat","Jl. Langko No.21, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83114"
"Kantor Pos Mataram Ampenan","Kantor Pos",4.6,13,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/data=!4m7!3m6!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774!19sChIJxafEfobAzS0RWCqAvyyh6XM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/@-8.5775375,116.0821717,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774?authuser=0&hl=id&entry=ttu","116.0821717","-8.5775375","Situs Web","posindonesia.co.id"
"Kantor Pos Mataram Ampenan","Kantor Pos",4.6,13,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/data=!4m7!3m6!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774!19sChIJxafEfobAzS0RWCqAvyyh6XM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mataram+Ampenan/@-8.5775375,116.0821717,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc0867ec4a7c5:0x73e9a12cbf802a58!8m2!3d-8.5775375!4d116.0821717!16s%2Fg%2F1q6b8p774?authuser=0&hl=id&entry=ttu","116.0821717","-8.5775375","Plus Codes","C3CJ+XV Taman Sari, Kota Mataram, Nusa Tenggara Bar."
