"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Bangko","Kantor Pos",3.6,17,"Segera tutup ⋅ 18.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Bangko/data=!4m7!3m6!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd!19sChIJn1l_CWttLi4RWNXKxfvp2-I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bangko/@-2.073557,102.275002,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd?authuser=0&hl=id&entry=ttu","102.275002","-2.073557","Alamat","Pematang Kandis, Kec. Bangko, Kabupaten Merangin, Jambi 37313"
"Kantorpos Bangko","Kantor Pos",3.6,17,"Segera tutup ⋅ 18.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Bangko/data=!4m7!3m6!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd!19sChIJn1l_CWttLi4RWNXKxfvp2-I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bangko/@-2.073557,102.275002,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd?authuser=0&hl=id&entry=ttu","102.275002","-2.073557","Situs Web","posindonesia.co.id"
"Kantorpos Bangko","Kantor Pos",3.6,17,"Segera tutup ⋅ 18.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Bangko/data=!4m7!3m6!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd!19sChIJn1l_CWttLi4RWNXKxfvp2-I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bangko/@-2.073557,102.275002,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd?authuser=0&hl=id&entry=ttu","102.275002","-2.073557","Telepon","0821-8123-4729"
"Kantorpos Bangko","Kantor Pos",3.6,17,"Segera tutup ⋅ 18.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Bangko/data=!4m7!3m6!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd!19sChIJn1l_CWttLi4RWNXKxfvp2-I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Bangko/@-2.073557,102.275002,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e6d6b097f599f:0xe2dbe9fbc5cad558!8m2!3d-2.073557!4d102.275002!16s%2Fg%2F1q6b5r5jd?authuser=0&hl=id&entry=ttu","102.275002","-2.073557","Plus Codes","W7GG+H2 Pematang Kandis, Kabupaten Merangin, Jambi"
"Kantor Pos Pamenang","Kantor Pos",4.4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pamenang/data=!4m7!3m6!1s0x2e2e1429c08c7f6f:0xc320471f00be29d6!8m2!3d-2.1708336!4d102.3848503!16s%2Fg%2F11dxkx12x0!19sChIJb3-MwCkULi4R1im-AB9HIMM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pamenang/@-2.1708336,102.3848503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e1429c08c7f6f:0xc320471f00be29d6!8m2!3d-2.1708336!4d102.3848503!16s%2Fg%2F11dxkx12x0?authuser=0&hl=id&entry=ttu","102.3848503","-2.1708336","Alamat","R9HM+MW9, Meranti, Kec. Renah Pamenang, Kabupaten Merangin, Jambi 37352"
"Kantor Pos Pamenang","Kantor Pos",4.4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pamenang/data=!4m7!3m6!1s0x2e2e1429c08c7f6f:0xc320471f00be29d6!8m2!3d-2.1708336!4d102.3848503!16s%2Fg%2F11dxkx12x0!19sChIJb3-MwCkULi4R1im-AB9HIMM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pamenang/@-2.1708336,102.3848503,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e1429c08c7f6f:0xc320471f00be29d6!8m2!3d-2.1708336!4d102.3848503!16s%2Fg%2F11dxkx12x0?authuser=0&hl=id&entry=ttu","102.3848503","-2.1708336","Telepon","0821-8123-4729"
"Kantor Pos Rantau Panjang Tabir","Kantor Pos",4.4,23,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/data=!4m7!3m6!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1!19sChIJb1VVVZViLi4RB68zDD9WOdU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/@-1.8404876,102.2996457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1?authuser=0&hl=id&entry=ttu","102.2996457","-1.8404876","Alamat","Jl. Merdeka No.67, Ps. R. Panjang, Kec. Tabir, Kabupaten Merangin, Jambi 37353"
"Kantor Pos Rantau Panjang Tabir","Kantor Pos",4.4,23,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/data=!4m7!3m6!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1!19sChIJb1VVVZViLi4RB68zDD9WOdU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/@-1.8404876,102.2996457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1?authuser=0&hl=id&entry=ttu","102.2996457","-1.8404876","Situs Web","posindonesia.co.id"
"Kantor Pos Rantau Panjang Tabir","Kantor Pos",4.4,23,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/data=!4m7!3m6!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1!19sChIJb1VVVZViLi4RB68zDD9WOdU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/@-1.8404876,102.2996457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1?authuser=0&hl=id&entry=ttu","102.2996457","-1.8404876","Telepon","(021) 1500161"
"Kantor Pos Rantau Panjang Tabir","Kantor Pos",4.4,23,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/data=!4m7!3m6!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1!19sChIJb1VVVZViLi4RB68zDD9WOdU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Rantau+Panjang+Tabir/@-1.8404876,102.2996457,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2e62955555556f:0xd539563f0c33af07!8m2!3d-1.8404876!4d102.2996457!16s%2Fg%2F1q6b76fz1?authuser=0&hl=id&entry=ttu","102.2996457","-1.8404876","Plus Codes","575X+RV Ps. R. Panjang, Kabupaten Merangin, Jambi"
