"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+pos/data=!4m7!3m6!1s0x2e309f679370469d:0xdfddb0542e5e09da!8m2!3d-3.2942737!4d103.5211207!16s%2Fg%2F11h895_vj3!19sChIJnUZwk2efMC4R2gleLlSw3d8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos/@-3.2942737,103.5211207,17z/data=!3m1!4b1!4m6!3m5!1s0x2e309f679370469d:0xdfddb0542e5e09da!8m2!3d-3.2942737!4d103.5211207!16s%2Fg%2F11h895_vj3?authuser=0&hl=id&entry=ttu","103.5211207","-3.2942737","Alamat","PG4C+7CX, Bumi Makmur, Kec. Muara Lakitan, Kabupaten Musi Rawas, Sumatera Selatan 31666"
"Kantor pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+pos/data=!4m7!3m6!1s0x2e309f679370469d:0xdfddb0542e5e09da!8m2!3d-3.2942737!4d103.5211207!16s%2Fg%2F11h895_vj3!19sChIJnUZwk2efMC4R2gleLlSw3d8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+pos/@-3.2942737,103.5211207,17z/data=!3m1!4b1!4m6!3m5!1s0x2e309f679370469d:0xdfddb0542e5e09da!8m2!3d-3.2942737!4d103.5211207!16s%2Fg%2F11h895_vj3?authuser=0&hl=id&entry=ttu","103.5211207","-3.2942737","Situs Web","posindonesia.co.id"
"Pos Surulangun Rawas","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Pos+Surulangun+Rawas/data=!4m7!3m6!1s0x2e31cc870ec5f69f:0x99fa69efcfebfb67!8m2!3d-2.6242974!4d102.7621168!16s%2Fg%2F11b8d3ch72!19sChIJn_bFDofMMS4RZ_vrz-9p-pk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Surulangun+Rawas/@-2.6242974,102.7621168,17z/data=!3m1!4b1!4m6!3m5!1s0x2e31cc870ec5f69f:0x99fa69efcfebfb67!8m2!3d-2.6242974!4d102.7621168!16s%2Fg%2F11b8d3ch72?authuser=0&hl=id&entry=ttu","102.7621168","-2.6242974","Alamat","9QG6+7RQ, Ps. Surulangun, Kec. Rawas Ulu, Kab. Musi Rawas Utara, Sumatera Selatan 31656"
"Pos Surulangun Rawas","Kantor Pos",4.3,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Pos+Surulangun+Rawas/data=!4m7!3m6!1s0x2e31cc870ec5f69f:0x99fa69efcfebfb67!8m2!3d-2.6242974!4d102.7621168!16s%2Fg%2F11b8d3ch72!19sChIJn_bFDofMMS4RZ_vrz-9p-pk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Surulangun+Rawas/@-2.6242974,102.7621168,17z/data=!3m1!4b1!4m6!3m5!1s0x2e31cc870ec5f69f:0x99fa69efcfebfb67!8m2!3d-2.6242974!4d102.7621168!16s%2Fg%2F11b8d3ch72?authuser=0&hl=id&entry=ttu","102.7621168","-2.6242974","Situs Web","posindonesia.co.id"
"Kantor Pos Tugumulyo","Kantor Pos",4.5,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/data=!4m7!3m6!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q!19sChIJ2yFb3uHkMC4RMcVhw6d-9FM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/@-3.1989166,102.9433166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q?authuser=0&hl=id&entry=ttu","102.9433166","-3.1989166","Alamat","RW2V+C8P, B Jl. Kartini, B. Srikaton, Kec. Tugumulyo, Kabupaten Musi Rawas, Sumatera Selatan 31662"
"Kantor Pos Tugumulyo","Kantor Pos",4.5,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/data=!4m7!3m6!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q!19sChIJ2yFb3uHkMC4RMcVhw6d-9FM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/@-3.1989166,102.9433166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q?authuser=0&hl=id&entry=ttu","102.9433166","-3.1989166","Situs Web","posindonesia.co.id"
"Kantor Pos Tugumulyo","Kantor Pos",4.5,15,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/data=!4m7!3m6!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q!19sChIJ2yFb3uHkMC4RMcVhw6d-9FM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tugumulyo/@-3.1989166,102.9433166,17z/data=!3m1!4b1!4m6!3m5!1s0x2e30e4e1de5b21db:0x53f47ea7c361c531!8m2!3d-3.1989166!4d102.9433166!16s%2Fg%2F11cr_pl54q?authuser=0&hl=id&entry=ttu","102.9433166","-3.1989166","Telepon","(0733) 321021"
"Kantor Pos Muara Kelingi","Kantor Pos",3.9,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/data=!4m7!3m6!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n!19sChIJu6qqqqqLMC4RupMfMSU0MsI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/@-3.05482,103.220183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n?authuser=0&hl=id&entry=ttu","103.220183","-3.05482","Alamat","Lubuk Muda, Kec. Muara Kelingi, Kabupaten Musi Rawas, Sumatera Selatan 31663"
"Kantor Pos Muara Kelingi","Kantor Pos",3.9,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/data=!4m7!3m6!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n!19sChIJu6qqqqqLMC4RupMfMSU0MsI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/@-3.05482,103.220183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n?authuser=0&hl=id&entry=ttu","103.220183","-3.05482","Situs Web","posindonesia.co.id"
"Kantor Pos Muara Kelingi","Kantor Pos",3.9,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/data=!4m7!3m6!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n!19sChIJu6qqqqqLMC4RupMfMSU0MsI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Muara+Kelingi/@-3.05482,103.220183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e308baaaaaaaabb:0xc2323425311f93ba!8m2!3d-3.05482!4d103.220183!16s%2Fg%2F11b5wp4k9n?authuser=0&hl=id&entry=ttu","103.220183","-3.05482","Telepon","(0733) 321021"
