"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Boawae","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Boawae/data=!4m7!3m6!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl!19sChIJp9jE5nrpsi0RzJETERjxLtc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Boawae/@-8.7658531,121.1672382,17z/data=!3m1!4b1!4m6!3m5!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl?authuser=0&hl=id&entry=ttu","121.1672382","-8.7658531","Alamat","Natanage, Kec. Boawae, Kabupaten Nagekeo, Nusa Tenggara Tim."
"Kantor Pos Boawae","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Boawae/data=!4m7!3m6!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl!19sChIJp9jE5nrpsi0RzJETERjxLtc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Boawae/@-8.7658531,121.1672382,17z/data=!3m1!4b1!4m6!3m5!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl?authuser=0&hl=id&entry=ttu","121.1672382","-8.7658531","Situs Web","posindonesia.co.id"
"Kantor Pos Boawae","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Boawae/data=!4m7!3m6!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl!19sChIJp9jE5nrpsi0RzJETERjxLtc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Boawae/@-8.7658531,121.1672382,17z/data=!3m1!4b1!4m6!3m5!1s0x2db2e97ae6c4d8a7:0xd72ef118111391cc!8m2!3d-8.7658531!4d121.1672382!16s%2Fg%2F11b5wmjpyl?authuser=0&hl=id&entry=ttu","121.1672382","-8.7658531","Plus Codes","65M8+MV Natanage, Kabupaten Nagekeo, Nusa Tenggara Tim."
"NDORA POS","Kantor Perusahaan",4.8,6,"unknown","https://www.google.com/maps/place/NDORA+POS/data=!4m7!3m6!1s0x2db294f0a2e30f4f:0x1663b79b692f2673!8m2!3d-8.7431089!4d121.3014417!16s%2Fg%2F11g6bjp2xh!19sChIJTw_jovCUsi0RcyYvaZu3YxY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NDORA+POS/@-8.7431089,121.3014417,17z/data=!3m1!4b1!4m6!3m5!1s0x2db294f0a2e30f4f:0x1663b79b692f2673!8m2!3d-8.7431089!4d121.3014417!16s%2Fg%2F11g6bjp2xh?authuser=0&hl=id&entry=ttu","121.3014417","-8.7431089","Alamat","Jalan Trans Ende Bajawa, Nagemi, 01/01, Nusa Tenggara Tim., Ulupulu 1, Nangaroro, Nagekeo Regency, East Nusa Tenggara"
"NDORA POS","Kantor Perusahaan",4.8,6,"unknown","https://www.google.com/maps/place/NDORA+POS/data=!4m7!3m6!1s0x2db294f0a2e30f4f:0x1663b79b692f2673!8m2!3d-8.7431089!4d121.3014417!16s%2Fg%2F11g6bjp2xh!19sChIJTw_jovCUsi0RcyYvaZu3YxY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/NDORA+POS/@-8.7431089,121.3014417,17z/data=!3m1!4b1!4m6!3m5!1s0x2db294f0a2e30f4f:0x1663b79b692f2673!8m2!3d-8.7431089!4d121.3014417!16s%2Fg%2F11g6bjp2xh?authuser=0&hl=id&entry=ttu","121.3014417","-8.7431089","Plus Codes","7842+QH Ulupulu 1, Kabupaten Nagekeo, Nusa Tenggara Tim."
"POS AL MBAY","Kantor Pemerintah",4,1,"unknown","https://www.google.com/maps/place/POS+AL+MBAY/data=!4m7!3m6!1s0x2db28b29363ab2b1:0xf1be6353b94907c8!8m2!3d-8.5149741!4d121.3231323!16s%2Fg%2F11p3m1vd__!19sChIJsbI6NimLsi0RyAdJuVNjvvE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+AL+MBAY/@-8.5149741,121.3231323,17z/data=!3m1!4b1!4m6!3m5!1s0x2db28b29363ab2b1:0xf1be6353b94907c8!8m2!3d-8.5149741!4d121.3231323!16s%2Fg%2F11p3m1vd__?authuser=0&hl=id&entry=ttu","121.3231323","-8.5149741","Alamat","F8PF+276, Marapokot, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim."
"Kantorpos Aesesa","Kantor Pos",5,3,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Aesesa/data=!4m7!3m6!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn!19sChIJ-f___6uMsi0RPPxsp_FR_co?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Aesesa/@-8.5633307,121.2695696,17z/data=!3m1!4b1!4m6!3m5!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn?authuser=0&hl=id&entry=ttu","121.2695696","-8.5633307","Alamat","Jl. Pramuka, Danga, Aesesa, Danga, Kec. Aesesa, Kabupaten Ngada, Nusa Tenggara Tim. 86472"
"Kantorpos Aesesa","Kantor Pos",5,3,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Aesesa/data=!4m7!3m6!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn!19sChIJ-f___6uMsi0RPPxsp_FR_co?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Aesesa/@-8.5633307,121.2695696,17z/data=!3m1!4b1!4m6!3m5!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn?authuser=0&hl=id&entry=ttu","121.2695696","-8.5633307","Situs Web","posindonesia.co.id"
"Kantorpos Aesesa","Kantor Pos",5,3,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Aesesa/data=!4m7!3m6!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn!19sChIJ-f___6uMsi0RPPxsp_FR_co?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Aesesa/@-8.5633307,121.2695696,17z/data=!3m1!4b1!4m6!3m5!1s0x2db28cabfffffff9:0xcafd51f1a76cfc3c!8m2!3d-8.5633307!4d121.2695696!16s%2Fg%2F11b5w9h4yn?authuser=0&hl=id&entry=ttu","121.2695696","-8.5633307","Plus Codes","C7P9+MR Danga, Kabupaten Nagekeo, Nusa Tenggara Tim."
"POS POLISI MAUNORI","Departemen Pertahanan dan Keamanan",NA,NA,"unknown","https://www.google.com/maps/place/POS+POLISI+MAUNORI/data=!4m7!3m6!1s0x2db2b9b9a4821a9b:0x5a37080d23a84761!8m2!3d-8.9008819!4d121.2906582!16s%2Fg%2F11ft044lts!19sChIJmxqCpLm5si0RYUeoIw0IN1o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+POLISI+MAUNORI/@-8.9008819,121.2906582,17z/data=!3m1!4b1!4m6!3m5!1s0x2db2b9b9a4821a9b:0x5a37080d23a84761!8m2!3d-8.9008819!4d121.2906582!16s%2Fg%2F11ft044lts?authuser=0&hl=id&entry=ttu","121.2906582","-8.9008819","Alamat","37XR+J7V, Unnamed Road, Udiworowatu, Kec. Keo Tengah, Kabupaten Nagekeo, Nusa Tenggara Tim."
