"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"PT Pos Indonesia Ranai","Kantor Pos",3.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/data=!4m7!3m6!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj!19sChIJgyYb0n9p7DERL9PbCFONHBM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/@3.9409038,108.3872676,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj?authuser=0&hl=id&entry=ttu","108.3872676","3.9409038","Alamat","Ranai Kota, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau 29783"
"PT Pos Indonesia Ranai","Kantor Pos",3.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/data=!4m7!3m6!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj!19sChIJgyYb0n9p7DERL9PbCFONHBM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/@3.9409038,108.3872676,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj?authuser=0&hl=id&entry=ttu","108.3872676","3.9409038","Situs Web","posindonesia.co.id"
"PT Pos Indonesia Ranai","Kantor Pos",3.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/data=!4m7!3m6!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj!19sChIJgyYb0n9p7DERL9PbCFONHBM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/@3.9409038,108.3872676,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj?authuser=0&hl=id&entry=ttu","108.3872676","3.9409038","Telepon","(0773) 21012"
"PT Pos Indonesia Ranai","Kantor Pos",3.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/data=!4m7!3m6!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj!19sChIJgyYb0n9p7DERL9PbCFONHBM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+Pos+Indonesia+Ranai/@3.9409038,108.3872676,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec697fd21b2683:0x131c8d5308dbd32f!8m2!3d3.9409038!4d108.3872676!16s%2Fg%2F1q6b0cqfj?authuser=0&hl=id&entry=ttu","108.3872676","3.9409038","Plus Codes","W9RP+9W Ranai Kota, Kabupaten Natuna, Kepulauan Riau"
"Pos Induk Rasi Natuna","Pusat Spiritis",4.7,3,"unknown","https://www.google.com/maps/place/Pos+Induk+Rasi+Natuna/data=!4m7!3m6!1s0x31ec69d413c2f885:0x88c64bba621ba46!8m2!3d3.9451054!4d108.3877008!16s%2Fg%2F11v0c597dr!19sChIJhfjCE9Rp7DERRrohprtkjAg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Induk+Rasi+Natuna/@3.9451054,108.3877008,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec69d413c2f885:0x88c64bba621ba46!8m2!3d3.9451054!4d108.3877008!16s%2Fg%2F11v0c597dr?authuser=0&hl=id&entry=ttu","108.3877008","3.9451054","Alamat","W9WQ+23W, Ranai Kota, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau"
"Pos RASI Natuna","Pusat Spiritis",5,1,"Buka 24 jam","https://www.google.com/maps/place/Pos+RASI+Natuna/data=!4m7!3m6!1s0x31ec69fdc6dbeecf:0xc50a54696586aa7a!8m2!3d3.9408876!4d108.377533!16s%2Fg%2F11stvkh2rd!19sChIJz-7bxv1p7DEReqqGZWlUCsU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+RASI+Natuna/@3.9408876,108.377533,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec69fdc6dbeecf:0xc50a54696586aa7a!8m2!3d3.9408876!4d108.377533!16s%2Fg%2F11stvkh2rd?authuser=0&hl=id&entry=ttu","108.377533","3.9408876","Alamat","Jl. Hasan Ramli Gg. Ikhlas No.10, Ranai Kota, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau"
"Pos RASI Natuna","Pusat Spiritis",5,1,"Buka 24 jam","https://www.google.com/maps/place/Pos+RASI+Natuna/data=!4m7!3m6!1s0x31ec69fdc6dbeecf:0xc50a54696586aa7a!8m2!3d3.9408876!4d108.377533!16s%2Fg%2F11stvkh2rd!19sChIJz-7bxv1p7DEReqqGZWlUCsU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+RASI+Natuna/@3.9408876,108.377533,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec69fdc6dbeecf:0xc50a54696586aa7a!8m2!3d3.9408876!4d108.377533!16s%2Fg%2F11stvkh2rd?authuser=0&hl=id&entry=ttu","108.377533","3.9408876","Plus Codes","W9RH+92 Ranai Kota, Kabupaten Natuna, Kepulauan Riau"
"Pos Babinsa Ramil 01/Ranai","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+Babinsa+Ramil+01%2FRanai/data=!4m7!3m6!1s0x31ec695352790211:0x7672acc6e14230ab!8m2!3d3.9437544!4d108.3618386!16s%2Fg%2F11tj68_bwz!19sChIJEQJ5UlNp7DERqzBC4cascnY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Babinsa+Ramil+01%2FRanai/@3.9437544,108.3618386,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec695352790211:0x7672acc6e14230ab!8m2!3d3.9437544!4d108.3618386!16s%2Fg%2F11tj68_bwz?authuser=0&hl=id&entry=ttu","108.3618386","3.9437544","Alamat","W9V6+GP4, Ranai Darat, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau"
"POS BASARNAS NATUNA","Kantor Pemerintah",5,3,"unknown","https://www.google.com/maps/place/POS+BASARNAS+NATUNA/data=!4m7!3m6!1s0x31ec6bcba6ad8ccb:0xf7c2ae5bfbc53c43!8m2!3d3.9243336!4d108.3768825!16s%2Fg%2F11b7gqrh57!19sChIJy4ytpstr7DERQzzF-1uuwvc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+BASARNAS+NATUNA/@3.9243336,108.3768825,17z/data=!3m1!4b1!4m6!3m5!1s0x31ec6bcba6ad8ccb:0xf7c2ae5bfbc53c43!8m2!3d3.9243336!4d108.3768825!16s%2Fg%2F11b7gqrh57?authuser=0&hl=id&entry=ttu","108.3768825","3.9243336","Alamat","W9FG+PQJ, Jl. Adam Malik, Ranai Kota, Kec. Bunguran Tim., Kabupaten Natuna, Kepulauan Riau 29783"
"Kantorpos Sedanau","Kantor Pos",3.3,11,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Sedanau/data=!4m7!3m6!1s0x31ebf63b09a32835:0xecdebdf2cce87b47!8m2!3d3.7983277!4d108.0300427!16s%2Fg%2F11b5wn16kh!19sChIJNSijCTv26zERR3vozPK93uw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Sedanau/@3.7983277,108.0300427,17z/data=!3m1!4b1!4m6!3m5!1s0x31ebf63b09a32835:0xecdebdf2cce87b47!8m2!3d3.7983277!4d108.0300427!16s%2Fg%2F11b5wn16kh?authuser=0&hl=id&entry=ttu","108.0300427","3.7983277","Alamat","Sedanau, Kec. Bunguran Bar., Kabupaten Natuna, Kepulauan Riau 29782"
