"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Lahewa","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Lahewa/data=!4m7!3m6!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8!19sChIJv____z_OJTARO8pwdVB1Cfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lahewa/@1.3910985,97.1717699,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8?authuser=0&hl=id&entry=ttu","97.1717699","1.3910985","Alamat","Jalan Soekarno No.145, Pasar Lahewa, Lahewa, Fadoro Sitolu Hili, Nias Utara, Kabupaten Nias Utara, Sumatera Utara 22853"
"Kantorpos Lahewa","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Lahewa/data=!4m7!3m6!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8!19sChIJv____z_OJTARO8pwdVB1Cfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lahewa/@1.3910985,97.1717699,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8?authuser=0&hl=id&entry=ttu","97.1717699","1.3910985","Situs Web","posindonesia.co.id"
"Kantorpos Lahewa","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Lahewa/data=!4m7!3m6!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8!19sChIJv____z_OJTARO8pwdVB1Cfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lahewa/@1.3910985,97.1717699,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8?authuser=0&hl=id&entry=ttu","97.1717699","1.3910985","Telepon","0853-7337-1644"
"Kantorpos Lahewa","Kantor Pos",4.1,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Lahewa/data=!4m7!3m6!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8!19sChIJv____z_OJTARO8pwdVB1Cfw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Lahewa/@1.3910985,97.1717699,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ce3fffffffbf:0xfc0975507570ca3b!8m2!3d1.3910985!4d97.1717699!16s%2Fg%2F11b5wqtfp8?authuser=0&hl=id&entry=ttu","97.1717699","1.3910985","Plus Codes","95RC+CP Fadoro Sitolu Hili, Kabupaten Nias Utara, Sumatera Utara"
"Kantor Pos Lotu 22856B1","Kantor Pos",4.3,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/data=!4m7!3m6!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m!19sChIJ_____-_DJTARxLz2H9yc5GE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/@1.3875684,97.3826818,17z/data=!3m1!4b1!4m6!3m5!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m?authuser=0&hl=id&entry=ttu","97.3826818","1.3875684","Alamat","Jl. Namöhalu, Baho, Kec. Lotu, Kabupaten Nias Utara, Sumatera Utara"
"Kantor Pos Lotu 22856B1","Kantor Pos",4.3,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/data=!4m7!3m6!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m!19sChIJ_____-_DJTARxLz2H9yc5GE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/@1.3875684,97.3826818,17z/data=!3m1!4b1!4m6!3m5!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m?authuser=0&hl=id&entry=ttu","97.3826818","1.3875684","Situs Web","posindonesia.co.id"
"Kantor Pos Lotu 22856B1","Kantor Pos",4.3,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/data=!4m7!3m6!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m!19sChIJ_____-_DJTARxLz2H9yc5GE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Lotu+22856B1/@1.3875684,97.3826818,17z/data=!3m1!4b1!4m6!3m5!1s0x3025c3efffffffff:0x61e49cdc1ff6bcc4!8m2!3d1.3875684!4d97.3826818!16s%2Fg%2F11c44sxf_m?authuser=0&hl=id&entry=ttu","97.3826818","1.3875684","Plus Codes","99QM+23 Baho, Kabupaten Nias Utara, Sumatera Utara"
"Kantorpos Tuhemberua","Kantor Pos",3.8,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Tuhemberua/data=!4m7!3m6!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql!19sChIJL1VVVSXqJTARdzco7g3OPZM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tuhemberua/@1.4703302,97.4418218,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql?authuser=0&hl=id&entry=ttu","97.4418218","1.4703302","Alamat","Jl. Sawo Jl. Tuhemberua No.175, Silima Banua, Kec. Tuhemberua, Kabupaten Nias Utara, Sumatera Utara 22852"
"Kantorpos Tuhemberua","Kantor Pos",3.8,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Tuhemberua/data=!4m7!3m6!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql!19sChIJL1VVVSXqJTARdzco7g3OPZM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tuhemberua/@1.4703302,97.4418218,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql?authuser=0&hl=id&entry=ttu","97.4418218","1.4703302","Situs Web","posindonesia.co.id"
"Kantorpos Tuhemberua","Kantor Pos",3.8,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Tuhemberua/data=!4m7!3m6!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql!19sChIJL1VVVSXqJTARdzco7g3OPZM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tuhemberua/@1.4703302,97.4418218,17z/data=!3m1!4b1!4m6!3m5!1s0x3025ea255555552f:0x933dce0dee283777!8m2!3d1.4703302!4d97.4418218!16s%2Fg%2F1q6bd4_ql?authuser=0&hl=id&entry=ttu","97.4418218","1.4703302","Telepon","(061) 8910053"
