"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Padang Indarung","Kantor Pos",5,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/data=!4m7!3m6!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9!19sChIJGYB7Ipm21C8RHER0kDW7F1c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/@-0.955208,100.4685626,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9?authuser=0&hl=id&entry=ttu","100.4685626","-0.955208","Alamat","Komplek PT Semen Padang, Indarung, Lubuk Kilangan, Indarung, Kec. Lubuk Kilangan, Kota Padang, Sumatera Barat 25157"
"Kantor Pos Padang Indarung","Kantor Pos",5,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/data=!4m7!3m6!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9!19sChIJGYB7Ipm21C8RHER0kDW7F1c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/@-0.955208,100.4685626,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9?authuser=0&hl=id&entry=ttu","100.4685626","-0.955208","Situs Web","posindonesia.co.id"
"Kantor Pos Padang Indarung","Kantor Pos",5,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/data=!4m7!3m6!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9!19sChIJGYB7Ipm21C8RHER0kDW7F1c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/@-0.955208,100.4685626,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9?authuser=0&hl=id&entry=ttu","100.4685626","-0.955208","Telepon","(0751) 72177"
"Kantor Pos Padang Indarung","Kantor Pos",5,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/data=!4m7!3m6!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9!19sChIJGYB7Ipm21C8RHER0kDW7F1c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Padang+Indarung/@-0.955208,100.4685626,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b699227b8019:0x5717bb359074441c!8m2!3d-0.955208!4d100.4685626!16s%2Fg%2F1pzrz6mb9?authuser=0&hl=id&entry=ttu","100.4685626","-0.955208","Plus Codes","2FV9+WC Indarung, Kota Padang, Sumatera Barat"
"Kantorpos Padang Padangpasir","Kantor Pos",4.1,9,"unknown","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/data=!4m7!3m6!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k!19sChIJSfVKtTG51C8RyXDW5KlYLgs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/@-0.9383178,100.3595006,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k?authuser=0&hl=id&entry=ttu","100.3595006","-0.9383178","Alamat","Padang, Padang Pasir, Nanggalo, Padang Pasir, Kec. Padang Bar., Kota Padang, Sumatera Barat 25173"
"Kantorpos Padang Padangpasir","Kantor Pos",4.1,9,"unknown","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/data=!4m7!3m6!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k!19sChIJSfVKtTG51C8RyXDW5KlYLgs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/@-0.9383178,100.3595006,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k?authuser=0&hl=id&entry=ttu","100.3595006","-0.9383178","Situs Web","posindonesia.co.id"
"Kantorpos Padang Padangpasir","Kantor Pos",4.1,9,"unknown","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/data=!4m7!3m6!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k!19sChIJSfVKtTG51C8RyXDW5KlYLgs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Padang+Padangpasir/@-0.9383178,100.3595006,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b931b54af549:0xb2e58a9e4d670c9!8m2!3d-0.9383178!4d100.3595006!16s%2Fg%2F11b5wng92k?authuser=0&hl=id&entry=ttu","100.3595006","-0.9383178","Plus Codes","3965+MR Padang Pasir, Kota Padang, Sumatera Barat"
"Kantorpos Regional II Padang Khatib Sulaeman","Kantor Pos",4.1,39,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/data=!4m7!3m6!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv!19sChIJadUIQcm41C8RZ-Pts_av_rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/@-0.9077624,100.3525909,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv?authuser=0&hl=id&entry=ttu","100.3525909","-0.9077624","Alamat","Jl. Khatib Sulaiman, Ulak Karang Utara, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173"
"Kantorpos Regional II Padang Khatib Sulaeman","Kantor Pos",4.1,39,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/data=!4m7!3m6!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv!19sChIJadUIQcm41C8RZ-Pts_av_rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/@-0.9077624,100.3525909,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv?authuser=0&hl=id&entry=ttu","100.3525909","-0.9077624","Situs Web","posindonesia.co.id"
"Kantorpos Regional II Padang Khatib Sulaeman","Kantor Pos",4.1,39,"Segera tutup ⋅ 16.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/data=!4m7!3m6!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv!19sChIJadUIQcm41C8RZ-Pts_av_rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Regional+II+Padang+Khatib+Sulaeman/@-0.9077624,100.3525909,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b8c94108d569:0xb4feaff6b3ede367!8m2!3d-0.9077624!4d100.3525909!16s%2Fg%2F11b5wj6_xv?authuser=0&hl=id&entry=ttu","100.3525909","-0.9077624","Telepon","(0751) 40033"
