"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Pusat Palu","Kantor Pos",3,86,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/data=!4m7!3m6!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s!19sChIJxXdUcw_uiy0Rd7gC-g1hBSU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/@-0.9066749,119.8889408,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s?authuser=0&hl=id&entry=ttu","119.8889408","-0.9066749","Alamat","Jalan Professor Mohammad Yamin, Tatura Utara, Palu Selatan, Tatura Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111"
"Kantor Pos Pusat Palu","Kantor Pos",3,86,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/data=!4m7!3m6!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s!19sChIJxXdUcw_uiy0Rd7gC-g1hBSU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/@-0.9066749,119.8889408,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s?authuser=0&hl=id&entry=ttu","119.8889408","-0.9066749","Situs Web","posindonesia.co.id"
"Kantor Pos Pusat Palu","Kantor Pos",3,86,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/data=!4m7!3m6!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s!19sChIJxXdUcw_uiy0Rd7gC-g1hBSU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/@-0.9066749,119.8889408,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s?authuser=0&hl=id&entry=ttu","119.8889408","-0.9066749","Telepon","0853-4272-0492"
"Kantor Pos Pusat Palu","Kantor Pos",3,86,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/data=!4m7!3m6!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s!19sChIJxXdUcw_uiy0Rd7gC-g1hBSU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Palu/@-0.9066749,119.8889408,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bee0f735477c5:0x2505610dfa02b877!8m2!3d-0.9066749!4d119.8889408!16s%2Fg%2F1pzsrpt_s?authuser=0&hl=id&entry=ttu","119.8889408","-0.9066749","Plus Codes","3VVQ+8H Tatura Utara, Kota Palu, Sulawesi Tengah"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Alamat","Jl. A. P. Pettarani, Banta-Bantaeng, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90222"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Situs Web","posindonesia.co.id"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Telepon","(0411) 852075"
"Kantor Pos Regional X Makassar","Kantor Pos",3.8,111,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/data=!4m7!3m6!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404!19sChIJ2____5jivi0RM1gKg6UgZUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Regional+X+Makassar/@-5.1642745,119.4348065,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee298ffffffdb:0x436520a5830a5833!8m2!3d-5.1642745!4d119.4348065!16s%2Fg%2F12hr4x404?authuser=0&hl=id&entry=ttu","119.4348065","-5.1642745","Plus Codes","RCPM+7W Banta-Bantaeng, Kota Makassar, Sulawesi Selatan"
"Kantor Cabang Pos PALU","Kantor Perusahaan",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Cabang+Pos+PALU/data=!4m7!3m6!1s0x2d8beddaad6086d1:0x6d03ee1bc24cc74!8m2!3d-0.8934581!4d119.8701259!16s%2Fg%2F11dzt4zwj4!19sChIJ0YZgrdrtiy0RdMwkvOE-0AY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Cabang+Pos+PALU/@-0.8934581,119.8701259,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8beddaad6086d1:0x6d03ee1bc24cc74!8m2!3d-0.8934581!4d119.8701259!16s%2Fg%2F11dzt4zwj4?authuser=0&hl=id&entry=ttu","119.8701259","-0.8934581","Alamat","Jl. Sam Ratulangi No.56, Besusu Bar., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118"
"Kantor Cabang Pos PALU","Kantor Perusahaan",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantor+Cabang+Pos+PALU/data=!4m7!3m6!1s0x2d8beddaad6086d1:0x6d03ee1bc24cc74!8m2!3d-0.8934581!4d119.8701259!16s%2Fg%2F11dzt4zwj4!19sChIJ0YZgrdrtiy0RdMwkvOE-0AY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Cabang+Pos+PALU/@-0.8934581,119.8701259,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8beddaad6086d1:0x6d03ee1bc24cc74!8m2!3d-0.8934581!4d119.8701259!16s%2Fg%2F11dzt4zwj4?authuser=0&hl=id&entry=ttu","119.8701259","-0.8934581","Plus Codes","4V4C+J3 Besusu Bar., Kota Palu, Sulawesi Tengah"
"Kantorpos Palu Gajah Mada","Kantor Pos",4.2,10,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/data=!4m7!3m6!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6!19sChIJvT9AQsHtiy0Rn4w7L8zeR34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/@-0.8982795,119.8639085,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6?authuser=0&hl=id&entry=ttu","119.8639085","-0.8982795","Alamat","Jl. Gajah Mada, Ujuna, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111"
"Kantorpos Palu Gajah Mada","Kantor Pos",4.2,10,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/data=!4m7!3m6!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6!19sChIJvT9AQsHtiy0Rn4w7L8zeR34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/@-0.8982795,119.8639085,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6?authuser=0&hl=id&entry=ttu","119.8639085","-0.8982795","Situs Web","posindonesia.co.id"
"Kantorpos Palu Gajah Mada","Kantor Pos",4.2,10,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/data=!4m7!3m6!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6!19sChIJvT9AQsHtiy0Rn4w7L8zeR34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/@-0.8982795,119.8639085,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6?authuser=0&hl=id&entry=ttu","119.8639085","-0.8982795","Telepon","(0451) 421102"
"Kantorpos Palu Gajah Mada","Kantor Pos",4.2,10,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/data=!4m7!3m6!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6!19sChIJvT9AQsHtiy0Rn4w7L8zeR34?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Palu+Gajah+Mada/@-0.8982795,119.8639085,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bedc142403fbd:0x7e47decc2f3b8c9f!8m2!3d-0.8982795!4d119.8639085!16s%2Fg%2F11b5wk72p6?authuser=0&hl=id&entry=ttu","119.8639085","-0.8982795","Plus Codes","4V27+MH Ujuna, Kota Palu, Sulawesi Tengah"
