"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Parigi","Kantor Pos",3.5,11,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Parigi/data=!4m7!3m6!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp!19sChIJg1i5dHlfiS0RuMQXamLhY2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Parigi/@-0.8148279,120.1753134,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp?authuser=0&hl=id&entry=ttu","120.1753134","-0.8148279","Alamat","Masigi, Kec. Parigi, Kabupaten Parigi Moutong, Sulawesi Tengah 94471"
"Kantorpos Parigi","Kantor Pos",3.5,11,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Parigi/data=!4m7!3m6!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp!19sChIJg1i5dHlfiS0RuMQXamLhY2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Parigi/@-0.8148279,120.1753134,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp?authuser=0&hl=id&entry=ttu","120.1753134","-0.8148279","Situs Web","posindonesia.co.id"
"Kantorpos Parigi","Kantor Pos",3.5,11,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Parigi/data=!4m7!3m6!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp!19sChIJg1i5dHlfiS0RuMQXamLhY2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Parigi/@-0.8148279,120.1753134,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp?authuser=0&hl=id&entry=ttu","120.1753134","-0.8148279","Telepon","(0451) 421102"
"Kantorpos Parigi","Kantor Pos",3.5,11,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Kantorpos+Parigi/data=!4m7!3m6!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp!19sChIJg1i5dHlfiS0RuMQXamLhY2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Parigi/@-0.8148279,120.1753134,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895f7974b95883:0x6363e1626a17c4b8!8m2!3d-0.8148279!4d120.1753134!16s%2Fg%2F11b5wknjpp?authuser=0&hl=id&entry=ttu","120.1753134","-0.8148279","Plus Codes","55PG+34 Masigi, Kabupaten Parigi Moutong, Sulawesi Tengah"
"Kantor Pos","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2d895205ca93e783:0xc66d2b9573ea98b3!8m2!3d-0.9862426!4d120.3364176!16s%2Fg%2F11csszjrb7!19sChIJg-eTygVSiS0Rs5jqc5UrbcY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-0.9862426,120.3364176,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895205ca93e783:0xc66d2b9573ea98b3!8m2!3d-0.9862426!4d120.3364176!16s%2Fg%2F11csszjrb7?authuser=0&hl=id&entry=ttu","120.3364176","-0.9862426","Alamat","287P+GH3, Jl. Trans Sulawesi, Tolai, Kec. Torue, Kabupaten Parigi Moutong, Sulawesi Tengah 94473"
"Kantor Pos","Kantor Perusahaan",NA,NA,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2d895205ca93e783:0xc66d2b9573ea98b3!8m2!3d-0.9862426!4d120.3364176!16s%2Fg%2F11csszjrb7!19sChIJg-eTygVSiS0Rs5jqc5UrbcY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-0.9862426,120.3364176,17z/data=!3m1!4b1!4m6!3m5!1s0x2d895205ca93e783:0xc66d2b9573ea98b3!8m2!3d-0.9862426!4d120.3364176!16s%2Fg%2F11csszjrb7?authuser=0&hl=id&entry=ttu","120.3364176","-0.9862426","Situs Web","posindonesia.co.id"
"Kantor Pos Moutong","Kantor Pos",4,9,"Segera tutup ⋅ 14.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Moutong/data=!4m7!3m6!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q!19sChIJw_____8KdzIRWhgKmNOCkLc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Moutong/@0.4685658,121.2303038,17z/data=!3m1!4b1!4m6!3m5!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q?authuser=0&hl=id&entry=ttu","121.2303038","0.4685658","Alamat","Jl. Trans Sulawesi, Moutong Tengah, Kec. Moutong, Kabupaten Parigi Moutong, Sulawesi Tengah 94479"
"Kantor Pos Moutong","Kantor Pos",4,9,"Segera tutup ⋅ 14.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Moutong/data=!4m7!3m6!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q!19sChIJw_____8KdzIRWhgKmNOCkLc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Moutong/@0.4685658,121.2303038,17z/data=!3m1!4b1!4m6!3m5!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q?authuser=0&hl=id&entry=ttu","121.2303038","0.4685658","Situs Web","posindonesia.co.id"
"Kantor Pos Moutong","Kantor Pos",4,9,"Segera tutup ⋅ 14.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Moutong/data=!4m7!3m6!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q!19sChIJw_____8KdzIRWhgKmNOCkLc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Moutong/@0.4685658,121.2303038,17z/data=!3m1!4b1!4m6!3m5!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q?authuser=0&hl=id&entry=ttu","121.2303038","0.4685658","Telepon","(0451) 421102"
"Kantor Pos Moutong","Kantor Pos",4,9,"Segera tutup ⋅ 14.00 ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Moutong/data=!4m7!3m6!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q!19sChIJw_____8KdzIRWhgKmNOCkLc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Moutong/@0.4685658,121.2303038,17z/data=!3m1!4b1!4m6!3m5!1s0x32770affffffffc3:0xb79082d3980a185a!8m2!3d0.4685658!4d121.2303038!16s%2Fg%2F11b5wqmy_q?authuser=0&hl=id&entry=ttu","121.2303038","0.4685658","Plus Codes","F69J+C4 Moutong Tengah, Kabupaten Parigi Moutong, Sulawesi Tengah"
