"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"pos indonesia","Kantor Pos",3.8,117,"unknown","https://www.google.com/maps/place/pos+indonesia/data=!4m7!3m6!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0!19sChIJxw5DuArG1y0RxMTjUdwfj9M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/pos+indonesia/@-7.6407344,112.9066998,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0?authuser=0&hl=id&entry=ttu","112.9066998","-7.6407344","Alamat","Jl. Alun-Alun Utara No.1, Bangilan, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur 67100"
"pos indonesia","Kantor Pos",3.8,117,"unknown","https://www.google.com/maps/place/pos+indonesia/data=!4m7!3m6!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0!19sChIJxw5DuArG1y0RxMTjUdwfj9M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/pos+indonesia/@-7.6407344,112.9066998,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0?authuser=0&hl=id&entry=ttu","112.9066998","-7.6407344","Situs Web","posindonesia.co.id"
"pos indonesia","Kantor Pos",3.8,117,"unknown","https://www.google.com/maps/place/pos+indonesia/data=!4m7!3m6!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0!19sChIJxw5DuArG1y0RxMTjUdwfj9M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/pos+indonesia/@-7.6407344,112.9066998,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c60ab8430ec7:0xd38f1fdc51e3c4c4!8m2!3d-7.6407344!4d112.9066998!16s%2Fg%2F1pzrs6tp0?authuser=0&hl=id&entry=ttu","112.9066998","-7.6407344","Plus Codes","9W54+PM Bangilan, Kota Pasuruan, Jawa Timur"
"Kantor Pos Pasuruan Rejoso","Kantor Pos",3.8,8,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/data=!4m7!3m6!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt!19sChIJhVhVWk7I1y0RuRh-pl_Hxuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/@-7.6955804,112.972032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt?authuser=0&hl=id&entry=ttu","112.972032","-7.6955804","Alamat","Jl. Raya Rejoso, Kemantren, Arjosari, Kec. Rejoso, Pasuruan, Jawa Timur 67181"
"Kantor Pos Pasuruan Rejoso","Kantor Pos",3.8,8,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/data=!4m7!3m6!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt!19sChIJhVhVWk7I1y0RuRh-pl_Hxuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/@-7.6955804,112.972032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt?authuser=0&hl=id&entry=ttu","112.972032","-7.6955804","Situs Web","posindonesia.co.id"
"Kantor Pos Pasuruan Rejoso","Kantor Pos",3.8,8,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/data=!4m7!3m6!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt!19sChIJhVhVWk7I1y0RuRh-pl_Hxuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/@-7.6955804,112.972032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt?authuser=0&hl=id&entry=ttu","112.972032","-7.6955804","Telepon","(0343) 481881"
"Kantor Pos Pasuruan Rejoso","Kantor Pos",3.8,8,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/data=!4m7!3m6!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt!19sChIJhVhVWk7I1y0RuRh-pl_Hxuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pasuruan+Rejoso/@-7.6955804,112.972032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c84e5a555885:0xeac6c75fa67e18b9!8m2!3d-7.6955804!4d112.972032!16s%2Fg%2F1q6b7ybxt?authuser=0&hl=id&entry=ttu","112.972032","-7.6955804","Plus Codes","8X3C+QR Arjosari, Pasuruan, Jawa Timur"
"Kantor Pos","Kantor Pos",4.5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68!19sChIJVVVVFePF1y0RHx0z3eP29M4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.65063,112.901412,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68?authuser=0&hl=id&entry=ttu","112.901412","-7.65063","Alamat","Jl. Raya Kraton, Purworejo, Kec. Gadingrejo, Kota Pasuruan, Jawa Timur 67135"
"Kantor Pos","Kantor Pos",4.5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68!19sChIJVVVVFePF1y0RHx0z3eP29M4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.65063,112.901412,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68?authuser=0&hl=id&entry=ttu","112.901412","-7.65063","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",4.5,2,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68!19sChIJVVVVFePF1y0RHx0z3eP29M4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.65063,112.901412,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7c5e315555555:0xcef4f6e3dd331d1f!8m2!3d-7.65063!4d112.901412!16s%2Fg%2F11b5wn9n68?authuser=0&hl=id&entry=ttu","112.901412","-7.65063","Telepon","(031) 8680418"
