"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Gedong Tataan","Kantor Pos",3.1,35,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/data=!4m7!3m6!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g!19sChIJq15siHLSQC4RC-dBUKIC2hk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/@-5.3808905,105.0996733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g?authuser=0&hl=id&entry=ttu","105.0996733","-5.3808905","Alamat","Jl. Pramuka No.127, Gedung Tataan, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35371"
"Kantor Pos Gedong Tataan","Kantor Pos",3.1,35,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/data=!4m7!3m6!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g!19sChIJq15siHLSQC4RC-dBUKIC2hk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/@-5.3808905,105.0996733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g?authuser=0&hl=id&entry=ttu","105.0996733","-5.3808905","Situs Web","posindonesia.co.id"
"Kantor Pos Gedong Tataan","Kantor Pos",3.1,35,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/data=!4m7!3m6!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g!19sChIJq15siHLSQC4RC-dBUKIC2hk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/@-5.3808905,105.0996733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g?authuser=0&hl=id&entry=ttu","105.0996733","-5.3808905","Telepon","0811-7367-118"
"Kantor Pos Gedong Tataan","Kantor Pos",3.1,35,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/data=!4m7!3m6!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g!19sChIJq15siHLSQC4RC-dBUKIC2hk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gedong+Tataan/@-5.3808905,105.0996733,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d272886c5eab:0x19da02a25041e70b!8m2!3d-5.3808905!4d105.0996733!16s%2Fg%2F11g6j7v55g?authuser=0&hl=id&entry=ttu","105.0996733","-5.3808905","Plus Codes","J39X+JV Gedung Tataan, Kabupaten Pesawaran, Lampung"
"Kantorpos Tegineneng","Kantor Pos",3.5,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Tegineneng/data=!4m7!3m6!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3!19sChIJbQAAAFC2QC4RakihX6IMjR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tegineneng/@-5.1875758,105.1781615,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3?authuser=0&hl=id&entry=ttu","105.1781615","-5.1875758","Alamat","Jl. Lintas Sumatra, Kejadian, Kec. Tegineneng, Kabupaten Pesawaran, Lampung 35363"
"Kantorpos Tegineneng","Kantor Pos",3.5,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Tegineneng/data=!4m7!3m6!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3!19sChIJbQAAAFC2QC4RakihX6IMjR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tegineneng/@-5.1875758,105.1781615,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3?authuser=0&hl=id&entry=ttu","105.1781615","-5.1875758","Situs Web","posindonesia.co.id"
"Kantorpos Tegineneng","Kantor Pos",3.5,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Tegineneng/data=!4m7!3m6!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3!19sChIJbQAAAFC2QC4RakihX6IMjR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tegineneng/@-5.1875758,105.1781615,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3?authuser=0&hl=id&entry=ttu","105.1781615","-5.1875758","Telepon","(0721) 253014"
"Kantorpos Tegineneng","Kantor Pos",3.5,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Tegineneng/data=!4m7!3m6!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3!19sChIJbQAAAFC2QC4RakihX6IMjR0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tegineneng/@-5.1875758,105.1781615,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40b6500000006d:0x1d8d0ca25fa1486a!8m2!3d-5.1875758!4d105.1781615!16s%2Fg%2F11b5ww55w3?authuser=0&hl=id&entry=ttu","105.1781615","-5.1875758","Plus Codes","R56H+X7 Kejadian, Kabupaten Pesawaran, Lampung"
"Kantor Pos Hanura","Kantor Pos",4.4,9,"Tutup ⋅ Buka Kam pukul 07.00","https://www.google.com/maps/place/Kantor+Pos+Hanura/data=!4m7!3m6!1s0x2e4127f5d070eecd:0x9ff9c0c4af805a4a!8m2!3d-5.5318587!4d105.2369743!16s%2Fg%2F11dyq_w7kv!19sChIJze5w0PUnQS4RSlqAr8TA-Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Hanura/@-5.5318587,105.2369743,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4127f5d070eecd:0x9ff9c0c4af805a4a!8m2!3d-5.5318587!4d105.2369743!16s%2Fg%2F11dyq_w7kv?authuser=0&hl=id&entry=ttu","105.2369743","-5.5318587","Alamat","F69P+7Q5, Jl. Way Ratai, Hanura, Kecamatan Teluk Pandan, Kabupaten Pesawaran, Lampung 35450"
"Kantor Pos Kedondong","Kantor Perusahaan",3.7,15,"Buka ⋅ Tutup pukul 01.30","https://www.google.com/maps/place/Kantor+Pos+Kedondong/data=!4m7!3m6!1s0x2e472b15af6b4b97:0xeaaf34c2bc741394!8m2!3d-5.4619171!4d105.0019245!16s%2Fg%2F11c1tts5jl!19sChIJl0trrxUrRy4RlBN0vMI0r-o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kedondong/@-5.4619171,105.0019245,17z/data=!3m1!4b1!4m6!3m5!1s0x2e472b15af6b4b97:0xeaaf34c2bc741394!8m2!3d-5.4619171!4d105.0019245!16s%2Fg%2F11c1tts5jl?authuser=0&hl=id&entry=ttu","105.0019245","-5.4619171","Alamat","G2Q2+6QM, Ps. Baru, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35368"
