"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Polewali","Kantor Pos",4.4,11,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Polewali/data=!4m7!3m6!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl!19sChIJmRwAbOeIlC0RE1CUodnPfZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Polewali/@-3.4359056,119.3493481,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl?authuser=0&hl=id&entry=ttu","119.3493481","-3.4359056","Alamat","Jl. Basiru No.11, Polewali, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311"
"Kantor Pos Polewali","Kantor Pos",4.4,11,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Polewali/data=!4m7!3m6!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl!19sChIJmRwAbOeIlC0RE1CUodnPfZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Polewali/@-3.4359056,119.3493481,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl?authuser=0&hl=id&entry=ttu","119.3493481","-3.4359056","Situs Web","posindonesia.co.id"
"Kantor Pos Polewali","Kantor Pos",4.4,11,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Polewali/data=!4m7!3m6!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl!19sChIJmRwAbOeIlC0RE1CUodnPfZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Polewali/@-3.4359056,119.3493481,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl?authuser=0&hl=id&entry=ttu","119.3493481","-3.4359056","Telepon","(0428) 21007"
"Kantor Pos Polewali","Kantor Pos",4.4,11,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Polewali/data=!4m7!3m6!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl!19sChIJmRwAbOeIlC0RE1CUodnPfZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Polewali/@-3.4359056,119.3493481,17z/data=!3m1!4b1!4m6!3m5!1s0x2d9488e76c001c99:0x9f7dcfd9a1945013!8m2!3d-3.4359056!4d119.3493481!16s%2Fg%2F1q5grjfxl?authuser=0&hl=id&entry=ttu","119.3493481","-3.4359056","Plus Codes","H87X+JP Polewali, Kabupaten Polewali Mandar, Sulawesi Barat"
"Kantor Pos Pekkabata","Kantor Pos",2.5,4,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Pekkabata/data=!4m7!3m6!1s0x2d948f59ade0b517:0x709be2e7dbef4a4e!8m2!3d-3.4099137!4d119.3111546!16s%2Fg%2F11dxsqn56x!19sChIJF7XgrVmPlC0RTkrv2-fim3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pekkabata/@-3.4099137,119.3111546,17z/data=!3m1!4b1!4m6!3m5!1s0x2d948f59ade0b517:0x709be2e7dbef4a4e!8m2!3d-3.4099137!4d119.3111546!16s%2Fg%2F11dxsqn56x?authuser=0&hl=id&entry=ttu","119.3111546","-3.4099137","Alamat","Jl. Mr. Muh. Yamin No.90, Madatte, Kec. Polewali, Kabupaten Polewali Mandar, Sulawesi Barat 91311"
"Kantor Pos Pekkabata","Kantor Pos",2.5,4,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Pekkabata/data=!4m7!3m6!1s0x2d948f59ade0b517:0x709be2e7dbef4a4e!8m2!3d-3.4099137!4d119.3111546!16s%2Fg%2F11dxsqn56x!19sChIJF7XgrVmPlC0RTkrv2-fim3A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pekkabata/@-3.4099137,119.3111546,17z/data=!3m1!4b1!4m6!3m5!1s0x2d948f59ade0b517:0x709be2e7dbef4a4e!8m2!3d-3.4099137!4d119.3111546!16s%2Fg%2F11dxsqn56x?authuser=0&hl=id&entry=ttu","119.3111546","-3.4099137","Plus Codes","H8R6+2F Madatte, Kabupaten Polewali Mandar, Sulawesi Barat"
"Kantor Pos Wonomulyo","Kantor Pos",3,22,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/data=!4m7!3m6!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh!19sChIJCUm1AbualC0RZN_cj8u-OPE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/@-3.3981038,119.2130522,17z/data=!3m1!4b1!4m6!3m5!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh?authuser=0&hl=id&entry=ttu","119.2130522","-3.3981038","Alamat","JL. Jend. Sudirman, No. 11, Sidodadi, Sidodadi, Kec. Wonomulyo, Kabupaten Polewali Mandar, Sulawesi Barat 91352"
"Kantor Pos Wonomulyo","Kantor Pos",3,22,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/data=!4m7!3m6!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh!19sChIJCUm1AbualC0RZN_cj8u-OPE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/@-3.3981038,119.2130522,17z/data=!3m1!4b1!4m6!3m5!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh?authuser=0&hl=id&entry=ttu","119.2130522","-3.3981038","Situs Web","posindonesia.co.id"
"Kantor Pos Wonomulyo","Kantor Pos",3,22,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/data=!4m7!3m6!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh!19sChIJCUm1AbualC0RZN_cj8u-OPE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/@-3.3981038,119.2130522,17z/data=!3m1!4b1!4m6!3m5!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh?authuser=0&hl=id&entry=ttu","119.2130522","-3.3981038","Telepon","(0428) 51993"
"Kantor Pos Wonomulyo","Kantor Pos",3,22,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/data=!4m7!3m6!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh!19sChIJCUm1AbualC0RZN_cj8u-OPE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Wonomulyo/@-3.3981038,119.2130522,17z/data=!3m1!4b1!4m6!3m5!1s0x2d949abb01b54909:0xf138becb8fdcdf64!8m2!3d-3.3981038!4d119.2130522!16s%2Fg%2F1pzpvpmqh?authuser=0&hl=id&entry=ttu","119.2130522","-3.3981038","Plus Codes","J627+Q6 Sidodadi, Kabupaten Polewali Mandar, Sulawesi Barat"
