"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Pusat Prabumulih","Kantor Pos",4.4,30,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/data=!4m7!3m6!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy!19sChIJj5PZalcyOi4RaQFgluic0rY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/@-3.4319632,104.2364842,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy?authuser=0&hl=id&entry=ttu","104.2364842","-3.4319632","Alamat","Jl. Urip Sumoharjo No.831, Ps. II Prabumulih, Kec. Prabumulih Utara, Kota Prabumulih, Sumatera Selatan 31113"
"Kantor Pos Pusat Prabumulih","Kantor Pos",4.4,30,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/data=!4m7!3m6!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy!19sChIJj5PZalcyOi4RaQFgluic0rY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/@-3.4319632,104.2364842,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy?authuser=0&hl=id&entry=ttu","104.2364842","-3.4319632","Situs Web","posindonesia.co.id"
"Kantor Pos Pusat Prabumulih","Kantor Pos",4.4,30,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/data=!4m7!3m6!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy!19sChIJj5PZalcyOi4RaQFgluic0rY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/@-3.4319632,104.2364842,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy?authuser=0&hl=id&entry=ttu","104.2364842","-3.4319632","Telepon","(0713) 320158"
"Kantor Pos Pusat Prabumulih","Kantor Pos",4.4,30,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/data=!4m7!3m6!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy!19sChIJj5PZalcyOi4RaQFgluic0rY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pusat+Prabumulih/@-3.4319632,104.2364842,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32576ad9938f:0xb6d29ce896600169!8m2!3d-3.4319632!4d104.2364842!16s%2Fg%2F1pzqxkdvy?authuser=0&hl=id&entry=ttu","104.2364842","-3.4319632","Plus Codes","H69P+6H Ps. II Prabumulih, Kota Prabumulih, Sumatera Selatan"
"Prabumulih Pos","Penerbit Koran",4.1,15,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Prabumulih+Pos/data=!4m7!3m6!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy!19sChIJMXmFWiQyOi4RSrSzKVpDTZY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Prabumulih+Pos/@-3.4458508,104.2011693,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy?authuser=0&hl=id&entry=ttu","104.2011693","-3.4458508","Alamat","Jl. Jenderal Sudirman No.172 Kel, Patih Galung, Kec. Prabumulih Bar., Kota Prabumulih, Sumatera Selatan 31117"
"Prabumulih Pos","Penerbit Koran",4.1,15,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Prabumulih+Pos/data=!4m7!3m6!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy!19sChIJMXmFWiQyOi4RSrSzKVpDTZY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Prabumulih+Pos/@-3.4458508,104.2011693,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy?authuser=0&hl=id&entry=ttu","104.2011693","-3.4458508","Situs Web","prabumulihpos.co.id"
"Prabumulih Pos","Penerbit Koran",4.1,15,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Prabumulih+Pos/data=!4m7!3m6!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy!19sChIJMXmFWiQyOi4RSrSzKVpDTZY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Prabumulih+Pos/@-3.4458508,104.2011693,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy?authuser=0&hl=id&entry=ttu","104.2011693","-3.4458508","Telepon","(0713) 322096"
"Prabumulih Pos","Penerbit Koran",4.1,15,"Tutup ⋅ Buka Kam pukul 09.00","https://www.google.com/maps/place/Prabumulih+Pos/data=!4m7!3m6!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy!19sChIJMXmFWiQyOi4RSrSzKVpDTZY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Prabumulih+Pos/@-3.4458508,104.2011693,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a32245a857931:0x964d435a29b3b44a!8m2!3d-3.4458508!4d104.2011693!16s%2Fg%2F1hm28hyhy?authuser=0&hl=id&entry=ttu","104.2011693","-3.4458508","Plus Codes","H632+MF Patih Galung, Kota Prabumulih, Sumatera Selatan"
"Kantor Pos Gunung ibul","Kantor Pos",4.8,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gunung+ibul/data=!4m7!3m6!1s0x2e3a333c2cebeef7:0xfd2c152dda70a679!8m2!3d-3.4173259!4d104.2656311!16s%2Fg%2F11fy_qb8t8!19sChIJ9-7rLDwzOi4ReaZw2i0VLP0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gunung+ibul/@-3.4173259,104.2656311,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a333c2cebeef7:0xfd2c152dda70a679!8m2!3d-3.4173259!4d104.2656311!16s%2Fg%2F11fy_qb8t8?authuser=0&hl=id&entry=ttu","104.2656311","-3.4173259","Alamat","H7M8+376, Jl. Padat Karya, Gn. Ibul, Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan 31146"
"Kantor Pos Gunung ibul","Kantor Pos",4.8,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Gunung+ibul/data=!4m7!3m6!1s0x2e3a333c2cebeef7:0xfd2c152dda70a679!8m2!3d-3.4173259!4d104.2656311!16s%2Fg%2F11fy_qb8t8!19sChIJ9-7rLDwzOi4ReaZw2i0VLP0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gunung+ibul/@-3.4173259,104.2656311,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3a333c2cebeef7:0xfd2c152dda70a679!8m2!3d-3.4173259!4d104.2656311!16s%2Fg%2F11fy_qb8t8?authuser=0&hl=id&entry=ttu","104.2656311","-3.4173259","Situs Web","posindonesia.co.id"
