"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Mulia","Kantor Perusahaan",3.3,6,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Mulia/data=!4m7!3m6!1s0x6817d12b2535d7a1:0x580911936fb08381!8m2!3d-3.6999066!4d137.9646594!16s%2Fg%2F11f3_t7x4_!19sChIJodc1JSvRF2gRgYOwb5MRCVg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mulia/@-3.6999066,137.9646594,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d12b2535d7a1:0x580911936fb08381!8m2!3d-3.6999066!4d137.9646594!16s%2Fg%2F11f3_t7x4_?authuser=0&hl=id&entry=ttu","137.9646594","-3.6999066","Alamat","8X27+2VM, Jalan. Silas Papare, Wuyukwi, Distrik Mulia, Kabupaten Puncak Jaya, Papua 98973"
"Kantor Pos Mulia","Kantor Perusahaan",3.3,6,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Mulia/data=!4m7!3m6!1s0x6817d12b2535d7a1:0x580911936fb08381!8m2!3d-3.6999066!4d137.9646594!16s%2Fg%2F11f3_t7x4_!19sChIJodc1JSvRF2gRgYOwb5MRCVg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Mulia/@-3.6999066,137.9646594,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d12b2535d7a1:0x580911936fb08381!8m2!3d-3.6999066!4d137.9646594!16s%2Fg%2F11f3_t7x4_?authuser=0&hl=id&entry=ttu","137.9646594","-3.6999066","Telepon","0852-4493-3860"
"Kantorpos Mulia","Kantor Pos",2.8,6,"unknown","https://www.google.com/maps/place/Kantorpos+Mulia/data=!4m7!3m6!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp!19sChIJDcggeIvWF2gRvcPdyH9B8VM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mulia/@-3.729199,137.983597,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp?authuser=0&hl=id&entry=ttu","137.983597","-3.729199","Alamat","Pagaleme, Distrik Mulia, Kabupaten Puncak Jaya, Papua 98973"
"Kantorpos Mulia","Kantor Pos",2.8,6,"unknown","https://www.google.com/maps/place/Kantorpos+Mulia/data=!4m7!3m6!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp!19sChIJDcggeIvWF2gRvcPdyH9B8VM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mulia/@-3.729199,137.983597,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp?authuser=0&hl=id&entry=ttu","137.983597","-3.729199","Situs Web","posindonesia.co.id"
"Kantorpos Mulia","Kantor Pos",2.8,6,"unknown","https://www.google.com/maps/place/Kantorpos+Mulia/data=!4m7!3m6!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp!19sChIJDcggeIvWF2gRvcPdyH9B8VM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mulia/@-3.729199,137.983597,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp?authuser=0&hl=id&entry=ttu","137.983597","-3.729199","Telepon","(0971) 321655"
"Kantorpos Mulia","Kantor Pos",2.8,6,"unknown","https://www.google.com/maps/place/Kantorpos+Mulia/data=!4m7!3m6!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp!19sChIJDcggeIvWF2gRvcPdyH9B8VM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mulia/@-3.729199,137.983597,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d68b7820c80d:0x53f1417fc8ddc3bd!8m2!3d-3.729199!4d137.983597!16s%2Fg%2F11b5wqczhp?authuser=0&hl=id&entry=ttu","137.983597","-3.729199","Plus Codes","7XCM+8C Pagaleme, Kabupaten Puncak Jaya, Papua"
"Pos Merah Putih","Pos Pertolongan Pertama",5,1,"unknown","https://www.google.com/maps/place/Pos+Merah+Putih/data=!4m7!3m6!1s0x6817d1a375474729:0x328624dccea29598!8m2!3d-3.6901102!4d137.958561!16s%2Fg%2F11sr60swg3!19sChIJKUdHdaPRF2gRmJWiztwkhjI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Merah+Putih/@-3.6901102,137.958561,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d1a375474729:0x328624dccea29598!8m2!3d-3.6901102!4d137.958561!16s%2Fg%2F11sr60swg3?authuser=0&hl=id&entry=ttu","137.958561","-3.6901102","Alamat","8X55+XC3, Wuyukwi, Distrik Mulia, Kabupaten Puncak Jaya, Papua 98912"
"Pos Kalome","Pos Perbatasan Negara",4,3,"Buka 24 jam","https://www.google.com/maps/place/Pos+Kalome/data=!4m7!3m6!1s0x68162de8adb7f0a3:0xd3d4337257d62b55!8m2!3d-3.7025947!4d138.1240696!16s%2Fg%2F11mv6kpbn7!19sChIJo_C3regtFmgRVSvWV3Iz1NM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kalome/@-3.7025947,138.1240696,17z/data=!3m1!4b1!4m6!3m5!1s0x68162de8adb7f0a3:0xd3d4337257d62b55!8m2!3d-3.7025947!4d138.1240696!16s%2Fg%2F11mv6kpbn7?authuser=0&hl=id&entry=ttu","138.1240696","-3.7025947","Alamat","74WF+XJ8, Unnamed Road, Jigobak, Kec. Tingginambut, Kabupaten Puncak Jaya, Papua 99563"
"Pos Kalome","Pos Perbatasan Negara",4,3,"Buka 24 jam","https://www.google.com/maps/place/Pos+Kalome/data=!4m7!3m6!1s0x68162de8adb7f0a3:0xd3d4337257d62b55!8m2!3d-3.7025947!4d138.1240696!16s%2Fg%2F11mv6kpbn7!19sChIJo_C3regtFmgRVSvWV3Iz1NM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Kalome/@-3.7025947,138.1240696,17z/data=!3m1!4b1!4m6!3m5!1s0x68162de8adb7f0a3:0xd3d4337257d62b55!8m2!3d-3.7025947!4d138.1240696!16s%2Fg%2F11mv6kpbn7?authuser=0&hl=id&entry=ttu","138.1240696","-3.7025947","Telepon","0813-3845-6480"
"Pos Gurage","Departemen Pertahanan dan Keamanan",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/Pos+Gurage/data=!4m7!3m6!1s0x6817d330ec771065:0x5aa5982cafcba5c1!8m2!3d-3.7015719!4d138.0707574!16s%2Fg%2F11l8jlrz0n!19sChIJZRB37DDTF2gRwaXLryyYpVo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Gurage/@-3.7015719,138.0707574,17z/data=!3m1!4b1!4m6!3m5!1s0x6817d330ec771065:0x5aa5982cafcba5c1!8m2!3d-3.7015719!4d138.0707574!16s%2Fg%2F11l8jlrz0n?authuser=0&hl=id&entry=ttu","138.0707574","-3.7015719","Alamat","73XC+98C, Unnamed Road, Jibinggame, Kec. Tingginambut, Kabupaten Puncak Jaya, Papua 99563"
