"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Purworejo","Kantor Pos",4.2,124,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Purworejo/data=!4m7!3m6!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j!19sChIJn5KKS8brei4RKxF0yM8WpyI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Purworejo/@-7.7133496,110.0110901,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j?authuser=0&hl=id&entry=ttu","110.0110901","-7.7133496","Alamat","Jl. A. Yani No.2, RW.RT.04, Plaosan, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54111"
"Kantor Pos Purworejo","Kantor Pos",4.2,124,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Purworejo/data=!4m7!3m6!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j!19sChIJn5KKS8brei4RKxF0yM8WpyI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Purworejo/@-7.7133496,110.0110901,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j?authuser=0&hl=id&entry=ttu","110.0110901","-7.7133496","Situs Web","posindonesia.co.id"
"Kantor Pos Purworejo","Kantor Pos",4.2,124,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Purworejo/data=!4m7!3m6!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j!19sChIJn5KKS8brei4RKxF0yM8WpyI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Purworejo/@-7.7133496,110.0110901,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j?authuser=0&hl=id&entry=ttu","110.0110901","-7.7133496","Telepon","(0275) 321054"
"Kantor Pos Purworejo","Kantor Pos",4.2,124,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Kantor+Pos+Purworejo/data=!4m7!3m6!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j!19sChIJn5KKS8brei4RKxF0yM8WpyI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Purworejo/@-7.7133496,110.0110901,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebc64b8a929f:0x22a716cfc874112b!8m2!3d-7.7133496!4d110.0110901!16s%2Fg%2F1pzr7xr3j?authuser=0&hl=id&entry=ttu","110.0110901","-7.7133496","Plus Codes","72P6+MC Purworejo, Kabupaten Purworejo, Jawa Tengah"
"Kantor Pos Gebang","Tempat Ibadah",4,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Gebang/data=!4m7!3m6!1s0x2e7aead4727b5bf7:0xe5e205584746991d!8m2!3d-7.6533719!4d109.9920716!16s%2Fg%2F11bc8_4p45!19sChIJ91t7ctTqei4RHZlGR1gF4uU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gebang/@-7.6533719,109.9920716,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aead4727b5bf7:0xe5e205584746991d!8m2!3d-7.6533719!4d109.9920716!16s%2Fg%2F11bc8_4p45?authuser=0&hl=id&entry=ttu","109.9920716","-7.6533719","Alamat","8XWR+MR4, Krajan I, Bendosari, Kec. Gebang, Kabupaten Purworejo, Jawa Tengah 54191"
"Kantor Pos Gebang","Tempat Ibadah",4,9,"unknown","https://www.google.com/maps/place/Kantor+Pos+Gebang/data=!4m7!3m6!1s0x2e7aead4727b5bf7:0xe5e205584746991d!8m2!3d-7.6533719!4d109.9920716!16s%2Fg%2F11bc8_4p45!19sChIJ91t7ctTqei4RHZlGR1gF4uU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Gebang/@-7.6533719,109.9920716,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aead4727b5bf7:0xe5e205584746991d!8m2!3d-7.6533719!4d109.9920716!16s%2Fg%2F11bc8_4p45?authuser=0&hl=id&entry=ttu","109.9920716","-7.6533719","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8!19sChIJEZyiadHrei4Rut9A7akolkI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.7249044,110.0043017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8?authuser=0&hl=id&entry=ttu","110.0043017","-7.7249044","Alamat","Jalan Brigjen Katam No.58D1, Pangenjurutengah, Koplak, Pangenjurutengah, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54114"
"Kantor Pos","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8!19sChIJEZyiadHrei4Rut9A7akolkI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.7249044,110.0043017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8?authuser=0&hl=id&entry=ttu","110.0043017","-7.7249044","Situs Web","posindonesia.co.id"
"Kantor Pos","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8!19sChIJEZyiadHrei4Rut9A7akolkI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.7249044,110.0043017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8?authuser=0&hl=id&entry=ttu","110.0043017","-7.7249044","Telepon","(0275) 323954"
"Kantor Pos","Kantor Pos",3,1,"unknown","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8!19sChIJEZyiadHrei4Rut9A7akolkI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-7.7249044,110.0043017,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aebd169a29c11:0x429628a9ed40dfba!8m2!3d-7.7249044!4d110.0043017!16s%2Fg%2F11f_ccqwh8?authuser=0&hl=id&entry=ttu","110.0043017","-7.7249044","Plus Codes","72G3+2P Pangenjurutengah, Kabupaten Purworejo, Jawa Tengah"
"Kantor Pos Kutoarjo","Kantor Pos",4.3,26,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Kutoarjo/data=!4m7!3m6!1s0x2e7ac19bdb1a4b85:0xe96c7ede873e96e6!8m2!3d-7.7254168!4d109.907186!16s%2Fg%2F1pzqwzbnj!19sChIJhUsa25vBei4R5pY-h95-bOk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kutoarjo/@-7.7254168,109.907186,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ac19bdb1a4b85:0xe96c7ede873e96e6!8m2!3d-7.7254168!4d109.907186!16s%2Fg%2F1pzqwzbnj?authuser=0&hl=id&entry=ttu","109.907186","-7.7254168","Alamat","Jl. Ktr. Pos No.5, Serdo Barat, Kutoarjo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54212"
"Kantor Pos Kutoarjo","Kantor Pos",4.3,26,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/Kantor+Pos+Kutoarjo/data=!4m7!3m6!1s0x2e7ac19bdb1a4b85:0xe96c7ede873e96e6!8m2!3d-7.7254168!4d109.907186!16s%2Fg%2F1pzqwzbnj!19sChIJhUsa25vBei4R5pY-h95-bOk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Kutoarjo/@-7.7254168,109.907186,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ac19bdb1a4b85:0xe96c7ede873e96e6!8m2!3d-7.7254168!4d109.907186!16s%2Fg%2F1pzqwzbnj?authuser=0&hl=id&entry=ttu","109.907186","-7.7254168","Situs Web","posindonesia.co.id"
