"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos BAA","Kantor Pos",3.9,14,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+BAA/data=!4m7!3m6!1s0x2c512b12b8ee4627:0xb3af11b3b2e61908!8m2!3d-10.7291419!4d123.0464237!16s%2Fg%2F11clztxx4s!19sChIJJ0buuBIrUSwRCBnmsrMRr7M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+BAA/@-10.7291419,123.0464237,17z/data=!3m1!4b1!4m6!3m5!1s0x2c512b12b8ee4627:0xb3af11b3b2e61908!8m2!3d-10.7291419!4d123.0464237!16s%2Fg%2F11clztxx4s?authuser=0&hl=id&entry=ttu","123.0464237","-10.7291419","Alamat","72CW+8HV, Namodale, Kec. Lobalain, Kabupaten Rote Ndao, Nusa Tenggara Tim."
"Kantor Pos Nembrala","Kantor Pos",3.8,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Nembrala/data=!4m7!3m6!1s0x2c50d99b71d87c07:0x804c65dbcf524970!8m2!3d-10.8838456!4d122.826205!16s%2Fg%2F11hq97bbnk!19sChIJB3zYcZvZUCwRcElSz9tlTIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Nembrala/@-10.8838456,122.826205,17z/data=!3m1!4b1!4m6!3m5!1s0x2c50d99b71d87c07:0x804c65dbcf524970!8m2!3d-10.8838456!4d122.826205!16s%2Fg%2F11hq97bbnk?authuser=0&hl=id&entry=ttu","122.826205","-10.8838456","Alamat","4R8G+FF8, Nemberala, Kec. Rote Bar., Kabupaten Rote Ndao, Nusa Tenggara Tim."
"Kantor Pos Nembrala","Kantor Pos",3.8,6,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Nembrala/data=!4m7!3m6!1s0x2c50d99b71d87c07:0x804c65dbcf524970!8m2!3d-10.8838456!4d122.826205!16s%2Fg%2F11hq97bbnk!19sChIJB3zYcZvZUCwRcElSz9tlTIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Nembrala/@-10.8838456,122.826205,17z/data=!3m1!4b1!4m6!3m5!1s0x2c50d99b71d87c07:0x804c65dbcf524970!8m2!3d-10.8838456!4d122.826205!16s%2Fg%2F11hq97bbnk?authuser=0&hl=id&entry=ttu","122.826205","-10.8838456","Situs Web","posindonesia.co.id"
"Kantorpos Olafulihaa","Kantor Pos",4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Olafulihaa/data=!4m7!3m6!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf!19sChIJawAAAPTQViwRmIw2DL5w0aA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Olafulihaa/@-10.6217188,123.232053,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf?authuser=0&hl=id&entry=ttu","123.232053","-10.6217188","Alamat","Jl. Raya Pantaibaru, Tesabela, Rote Ndao, Kabupaten Rote Ndao, Nusa Tenggara Tim. 85973"
"Kantorpos Olafulihaa","Kantor Pos",4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Olafulihaa/data=!4m7!3m6!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf!19sChIJawAAAPTQViwRmIw2DL5w0aA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Olafulihaa/@-10.6217188,123.232053,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf?authuser=0&hl=id&entry=ttu","123.232053","-10.6217188","Situs Web","posindonesia.co.id"
"Kantorpos Olafulihaa","Kantor Pos",4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Olafulihaa/data=!4m7!3m6!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf!19sChIJawAAAPTQViwRmIw2DL5w0aA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Olafulihaa/@-10.6217188,123.232053,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf?authuser=0&hl=id&entry=ttu","123.232053","-10.6217188","Telepon","(0380) 833225"
"Kantorpos Olafulihaa","Kantor Pos",4,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Olafulihaa/data=!4m7!3m6!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf!19sChIJawAAAPTQViwRmIw2DL5w0aA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Olafulihaa/@-10.6217188,123.232053,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56d0f40000006b:0xa0d170be0c368c98!8m2!3d-10.6217188!4d123.232053!16s%2Fg%2F11b5phr_hf?authuser=0&hl=id&entry=ttu","123.232053","-10.6217188","Plus Codes","96HJ+8R Tesabela, Kabupaten Rote Ndao, Nusa Tenggara Tim."
"Kantor Pos Papela","Kantor Pos",4.6,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Papela/data=!4m7!3m6!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318!19sChIJ-____z_EViwReha-Ey7Mk2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Papela/@-10.6063346,123.3804298,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318?authuser=0&hl=id&entry=ttu","123.3804298","-10.6063346","Alamat","Londalusi, Kec. Rote Tim., Kabupaten Rote Ndao, Nusa Tenggara Tim."
"Kantor Pos Papela","Kantor Pos",4.6,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Papela/data=!4m7!3m6!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318!19sChIJ-____z_EViwReha-Ey7Mk2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Papela/@-10.6063346,123.3804298,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318?authuser=0&hl=id&entry=ttu","123.3804298","-10.6063346","Situs Web","posindonesia.co.id"
"Kantor Pos Papela","Kantor Pos",4.6,10,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Papela/data=!4m7!3m6!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318!19sChIJ-____z_EViwReha-Ey7Mk2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Papela/@-10.6063346,123.3804298,17z/data=!3m1!4b1!4m6!3m5!1s0x2c56c43ffffffffb:0x6993cc2e13be167a!8m2!3d-10.6063346!4d123.3804298!16s%2Fg%2F11b5wp3318?authuser=0&hl=id&entry=ttu","123.3804298","-10.6063346","Telepon","(0380) 833225"
