"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Pos SAR Sabang","Kantor Pemerintah",NA,NA,"unknown","https://www.google.com/maps/place/Pos+SAR+Sabang/data=!4m7!3m6!1s0x3041c72fffb80e55:0xf817d1734268755d!8m2!3d5.8734764!4d95.3339302!16s%2Fg%2F11t27xgt0z!19sChIJVQ64_y_HQTARXXVoQnPRF_g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+SAR+Sabang/@5.8734764,95.3339302,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c72fffb80e55:0xf817d1734268755d!8m2!3d5.8734764!4d95.3339302!16s%2Fg%2F11t27xgt0z?authuser=0&hl=id&entry=ttu","95.3339302","5.8734764","Alamat","V8FM+9HV, Cot Ba'u, Kec. Sukajaya, Kota Sabang, Aceh 24410"
"PT. Persero Pos Indonesia","Jasa Kurir",5,5,"unknown","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/data=!4m7!3m6!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm!19sChIJz0sirhLGQTARvh3RO0fiQuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/@5.8906215,95.3214703,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm?authuser=0&hl=id&entry=ttu","95.3214703","5.8906215","Alamat","Jl. Perdagangan No.91, Kuta Barat, Sukakarya, Kota Sabang, Aceh 24411"
"PT. Persero Pos Indonesia","Jasa Kurir",5,5,"unknown","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/data=!4m7!3m6!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm!19sChIJz0sirhLGQTARvh3RO0fiQuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/@5.8906215,95.3214703,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm?authuser=0&hl=id&entry=ttu","95.3214703","5.8906215","Situs Web","posindonesia.co.id"
"PT. Persero Pos Indonesia","Jasa Kurir",5,5,"unknown","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/data=!4m7!3m6!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm!19sChIJz0sirhLGQTARvh3RO0fiQuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/@5.8906215,95.3214703,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm?authuser=0&hl=id&entry=ttu","95.3214703","5.8906215","Telepon","(0652) 21217"
"PT. Persero Pos Indonesia","Jasa Kurir",5,5,"unknown","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/data=!4m7!3m6!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm!19sChIJz0sirhLGQTARvh3RO0fiQuo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT.+Persero+Pos+Indonesia/@5.8906215,95.3214703,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c612ae224bcf:0xea42e2473bd11dbe!8m2!3d5.8906215!4d95.3214703!16s%2Fg%2F1pzsqv6rm?authuser=0&hl=id&entry=ttu","95.3214703","5.8906215","Plus Codes","V8RC+6H Kuta Barat, Kota Sabang, Aceh"
"Arunt Pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Arunt+Pos/data=!4m7!3m6!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds!19sChIJ03eichLGQTARRxgv0zJIvAg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Arunt+Pos/@5.890643,95.321333,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds?authuser=0&hl=id&entry=ttu","95.321333","5.890643","Alamat","JL. Perdagangan, No. 49, Lhokseumawe Aceh, Banda Aceh, Kuta Barat, Sukakarya, Sabang City, Aceh 24411"
"Arunt Pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Arunt+Pos/data=!4m7!3m6!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds!19sChIJ03eichLGQTARRxgv0zJIvAg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Arunt+Pos/@5.890643,95.321333,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds?authuser=0&hl=id&entry=ttu","95.321333","5.890643","Telepon","(0645) 46804"
"Arunt Pos","Kantor Pos",NA,NA,"unknown","https://www.google.com/maps/place/Arunt+Pos/data=!4m7!3m6!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds!19sChIJ03eichLGQTARRxgv0zJIvAg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Arunt+Pos/@5.890643,95.321333,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c61272a277d3:0x8bc4832d32f1847!8m2!3d5.890643!4d95.321333!16s%2Fg%2F1pt__qmds?authuser=0&hl=id&entry=ttu","95.321333","5.890643","Plus Codes","V8RC+7G Kuta Barat, Kota Sabang, Aceh"
"Pos Pemadam Kebakaran","Stasiun pemadam kebakaran",4.5,2,"Buka 24 jam","https://www.google.com/maps/place/Pos+Pemadam+Kebakaran/data=!4m7!3m6!1s0x3041c6180c0391b3:0xbc339caaa14d57ea!8m2!3d5.8828933!4d95.3307812!16s%2Fg%2F11bccjv3zf!19sChIJs5EDDBjGQTAR6ldNoaqcM7w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Pemadam+Kebakaran/@5.8828933,95.3307812,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c6180c0391b3:0xbc339caaa14d57ea!8m2!3d5.8828933!4d95.3307812!16s%2Fg%2F11bccjv3zf?authuser=0&hl=id&entry=ttu","95.3307812","5.8828933","Alamat","V8MJ+582, Jl. Yos Sudarso, Cot Ba'u, Kec. Sukajaya, Kota Sabang, Aceh 24411"
"Pos Pemadam Kebakaran","Stasiun pemadam kebakaran",4.5,2,"Buka 24 jam","https://www.google.com/maps/place/Pos+Pemadam+Kebakaran/data=!4m7!3m6!1s0x3041c6180c0391b3:0xbc339caaa14d57ea!8m2!3d5.8828933!4d95.3307812!16s%2Fg%2F11bccjv3zf!19sChIJs5EDDBjGQTAR6ldNoaqcM7w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Pemadam+Kebakaran/@5.8828933,95.3307812,17z/data=!3m1!4b1!4m6!3m5!1s0x3041c6180c0391b3:0xbc339caaa14d57ea!8m2!3d5.8828933!4d95.3307812!16s%2Fg%2F11bccjv3zf?authuser=0&hl=id&entry=ttu","95.3307812","5.8828933","Telepon","(0652) 21113"
