"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Cabang Sambas 79400","Kantor Perusahaan",4.3,6,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/data=!4m7!3m6!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71!19sChIJTRTt3-G75DERjl0HTl9BLcE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/@1.3624063,109.3026429,17z/data=!4m6!3m5!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71?authuser=0&hl=id&entry=ttu","109.3026429","1.3624063","Alamat","9863+X36, Jl. Gusti Hamzah, Ps. Melayu, Kec. Sambas, Kabupaten Sambas, Kalimantan Barat 79462"
"Kantor Pos Cabang Sambas 79400","Kantor Perusahaan",4.3,6,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/data=!4m7!3m6!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71!19sChIJTRTt3-G75DERjl0HTl9BLcE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/@1.3624063,109.3026429,17z/data=!4m6!3m5!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71?authuser=0&hl=id&entry=ttu","109.3026429","1.3624063","Situs Web","posindonesia.co.id"
"Kantor Pos Cabang Sambas 79400","Kantor Perusahaan",4.3,6,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/data=!4m7!3m6!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71!19sChIJTRTt3-G75DERjl0HTl9BLcE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Sambas+79400/@1.3624063,109.3026429,17z/data=!4m6!3m5!1s0x31e4bbe1dfed144d:0xc12d415f4e075d8e!8m2!3d1.3624063!4d109.3026429!16s%2Fg%2F11gh2qbr71?authuser=0&hl=id&entry=ttu","109.3026429","1.3624063","Telepon","(0562) 631009"
"Kantor Pos Jawai","Kantor Pos",3.8,12,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Jawai/data=!4m7!3m6!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw!19sChIJMclSnueT5DERmgdzGNS8fFc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Jawai/@1.3712102,109.0705169,17z/data=!3m1!4b1!4m6!3m5!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw?authuser=0&hl=id&entry=ttu","109.0705169","1.3712102","Alamat","Jl. Stadion No. 14, Sentebang, Jawai, Pelimpaan, Sambas, Kabupaten Sambas, Kalimantan Barat 79454"
"Kantor Pos Jawai","Kantor Pos",3.8,12,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Jawai/data=!4m7!3m6!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw!19sChIJMclSnueT5DERmgdzGNS8fFc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Jawai/@1.3712102,109.0705169,17z/data=!3m1!4b1!4m6!3m5!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw?authuser=0&hl=id&entry=ttu","109.0705169","1.3712102","Situs Web","posindonesia.co.id"
"Kantor Pos Jawai","Kantor Pos",3.8,12,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Jawai/data=!4m7!3m6!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw!19sChIJMclSnueT5DERmgdzGNS8fFc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Jawai/@1.3712102,109.0705169,17z/data=!3m1!4b1!4m6!3m5!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw?authuser=0&hl=id&entry=ttu","109.0705169","1.3712102","Telepon","(0562) 201141"
"Kantor Pos Jawai","Kantor Pos",3.8,12,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Jawai/data=!4m7!3m6!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw!19sChIJMclSnueT5DERmgdzGNS8fFc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Jawai/@1.3712102,109.0705169,17z/data=!3m1!4b1!4m6!3m5!1s0x31e493e79e52c931:0x577cbcd41873079a!8m2!3d1.3712102!4d109.0705169!16s%2Fg%2F11b5pj60rw?authuser=0&hl=id&entry=ttu","109.0705169","1.3712102","Plus Codes","93CC+F6 Pelimpaan, Kabupaten Sambas, Kalimantan Barat"
"Kantor Pos Cabang Luar Kota - Sekura","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/data=!4m7!3m6!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0!19sChIJF0USiLXB5DERc4rqER8gQPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/@1.4717097,109.2193945,17z/data=!3m1!4b1!4m6!3m5!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0?authuser=0&hl=id&entry=ttu","109.2193945","1.4717097","Alamat","JL. Raya Sekura, Sekura, Teluk Keramat, Sekura, Kec. Sambas, Kabupaten Sambas, Kalimantan Barat 79465"
"Kantor Pos Cabang Luar Kota - Sekura","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/data=!4m7!3m6!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0!19sChIJF0USiLXB5DERc4rqER8gQPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/@1.4717097,109.2193945,17z/data=!3m1!4b1!4m6!3m5!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0?authuser=0&hl=id&entry=ttu","109.2193945","1.4717097","Situs Web","posindonesia.co.id"
"Kantor Pos Cabang Luar Kota - Sekura","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 15.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/data=!4m7!3m6!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0!19sChIJF0USiLXB5DERc4rqER8gQPo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Sekura/@1.4717097,109.2193945,17z/data=!3m1!4b1!4m6!3m5!1s0x31e4c1b588124517:0xfa40201f11ea8a73!8m2!3d1.4717097!4d109.2193945!16s%2Fg%2F1pzr_k9v0?authuser=0&hl=id&entry=ttu","109.2193945","1.4717097","Telepon","(0562) 380367"
