"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Cabang Luar Kota - Watansoppeng","Kantor Pos",4.4,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/data=!4m7!3m6!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3!19sChIJV0vshhYevi0REaRBwQr5aDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/@-4.3485834,119.8863525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3?authuser=0&hl=id&entry=ttu","119.8863525","-4.3485834","Alamat","Jl. Merdeka No.2, Botto, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90811"
"Kantor Pos Cabang Luar Kota - Watansoppeng","Kantor Pos",4.4,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/data=!4m7!3m6!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3!19sChIJV0vshhYevi0REaRBwQr5aDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/@-4.3485834,119.8863525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3?authuser=0&hl=id&entry=ttu","119.8863525","-4.3485834","Situs Web","posindonesia.co.id"
"Kantor Pos Cabang Luar Kota - Watansoppeng","Kantor Pos",4.4,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/data=!4m7!3m6!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3!19sChIJV0vshhYevi0REaRBwQr5aDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/@-4.3485834,119.8863525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3?authuser=0&hl=id&entry=ttu","119.8863525","-4.3485834","Telepon","(0484) 21016"
"Kantor Pos Cabang Luar Kota - Watansoppeng","Kantor Pos",4.4,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/data=!4m7!3m6!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3!19sChIJV0vshhYevi0REaRBwQr5aDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Watansoppeng/@-4.3485834,119.8863525,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1e1686ec4b57:0x3768f90ac141a411!8m2!3d-4.3485834!4d119.8863525!16s%2Fg%2F1pzpvvh_3?authuser=0&hl=id&entry=ttu","119.8863525","-4.3485834","Plus Codes","MV2P+HG Botto, Kabupaten Soppeng, Sulawesi Selatan"
"Kantor POS Takalala","Kantor Pos",4.8,8,"unknown","https://www.google.com/maps/place/Kantor+POS+Takalala/data=!4m7!3m6!1s0x2dbe1ca2035e20eb:0x6925d95f96a4dd80!8m2!3d-4.4545073!4d119.9515588!16s%2Fg%2F11cn7skrsw!19sChIJ6yBeA6Icvi0RgN2kll_ZJWk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Takalala/@-4.4545073,119.9515588,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1ca2035e20eb:0x6925d95f96a4dd80!8m2!3d-4.4545073!4d119.9515588!16s%2Fg%2F11cn7skrsw?authuser=0&hl=id&entry=ttu","119.9515588","-4.4545073","Alamat","GXW2+5JV, Tettikengrarae, Kec. Mario Riwawo, Kabupaten Soppeng, Sulawesi Selatan 90862"
"Kantor POS Takalala","Kantor Pos",4.8,8,"unknown","https://www.google.com/maps/place/Kantor+POS+Takalala/data=!4m7!3m6!1s0x2dbe1ca2035e20eb:0x6925d95f96a4dd80!8m2!3d-4.4545073!4d119.9515588!16s%2Fg%2F11cn7skrsw!19sChIJ6yBeA6Icvi0RgN2kll_ZJWk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Takalala/@-4.4545073,119.9515588,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbe1ca2035e20eb:0x6925d95f96a4dd80!8m2!3d-4.4545073!4d119.9515588!16s%2Fg%2F11cn7skrsw?authuser=0&hl=id&entry=ttu","119.9515588","-4.4545073","Situs Web","posindonesia.co.id"
"Kantor Pos Cabang Luar Kota - Cabenge","Kantor Pos",4.1,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/data=!4m7!3m6!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl!19sChIJGWJV43j3lS0Rx2uRy0xcfKY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/@-4.3383133,119.9632571,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl?authuser=0&hl=id&entry=ttu","119.9632571","-4.3383133","Alamat","JL. Pajalerang, Pajalesang, Lili Rilau, Pajalesang, Watansoppeng, Kabupaten Soppeng, Sulawesi Selatan 90871"
"Kantor Pos Cabang Luar Kota - Cabenge","Kantor Pos",4.1,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/data=!4m7!3m6!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl!19sChIJGWJV43j3lS0Rx2uRy0xcfKY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/@-4.3383133,119.9632571,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl?authuser=0&hl=id&entry=ttu","119.9632571","-4.3383133","Situs Web","posindonesia.co.id"
"Kantor Pos Cabang Luar Kota - Cabenge","Kantor Pos",4.1,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/data=!4m7!3m6!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl!19sChIJGWJV43j3lS0Rx2uRy0xcfKY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/@-4.3383133,119.9632571,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl?authuser=0&hl=id&entry=ttu","119.9632571","-4.3383133","Telepon","(0484) 421846"
"Kantor Pos Cabang Luar Kota - Cabenge","Kantor Pos",4.1,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/data=!4m7!3m6!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl!19sChIJGWJV43j3lS0Rx2uRy0xcfKY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Cabang+Luar+Kota+-+Cabenge/@-4.3383133,119.9632571,17z/data=!3m1!4b1!4m6!3m5!1s0x2d95f778e3556219:0xa67c5c4ccb916bc7!8m2!3d-4.3383133!4d119.9632571!16s%2Fg%2F1pzt6k2gl?authuser=0&hl=id&entry=ttu","119.9632571","-4.3383133","Plus Codes","MX67+M8 Pajalesang, Kabupaten Soppeng, Sulawesi Selatan"
