"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor POS Makale","Layanan Pengiriman dan Pengeposan",3.6,32,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Makale/data=!4m7!3m6!1s0x2d93ed8964e67827:0x960cf9659c9c692f!8m2!3d-3.1040798!4d119.852302!16s%2Fg%2F11b7hjxbtv!19sChIJJ3jmZIntky0RL2mcnGX5DJY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Makale/@-3.1040798,119.852302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed8964e67827:0x960cf9659c9c692f!8m2!3d-3.1040798!4d119.852302!16s%2Fg%2F11b7hjxbtv?authuser=0&hl=id&entry=ttu","119.852302","-3.1040798","Alamat","VVW2+9W7, Jl. Sultan Hasanuddin, Bombongan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817"
"Kantor POS Makale","Layanan Pengiriman dan Pengeposan",3.6,32,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+POS+Makale/data=!4m7!3m6!1s0x2d93ed8964e67827:0x960cf9659c9c692f!8m2!3d-3.1040798!4d119.852302!16s%2Fg%2F11b7hjxbtv!19sChIJJ3jmZIntky0RL2mcnGX5DJY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+Makale/@-3.1040798,119.852302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed8964e67827:0x960cf9659c9c692f!8m2!3d-3.1040798!4d119.852302!16s%2Fg%2F11b7hjxbtv?authuser=0&hl=id&entry=ttu","119.852302","-3.1040798","Telepon","(0423) 22107"
"Kantorpos Mebali","Kantor Pos",4.3,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Mebali/data=!4m7!3m6!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_!19sChIJ_f___7_3ky0RtrolbLWGy5I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mebali/@-3.1812391,119.8803475,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_?authuser=0&hl=id&entry=ttu","119.8803475","-3.1812391","Alamat","Pakala, Kec. Mengkendek, Kabupaten Tana Toraja, Sulawesi Selatan 91871"
"Kantorpos Mebali","Kantor Pos",4.3,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Mebali/data=!4m7!3m6!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_!19sChIJ_f___7_3ky0RtrolbLWGy5I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mebali/@-3.1812391,119.8803475,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_?authuser=0&hl=id&entry=ttu","119.8803475","-3.1812391","Situs Web","posindonesia.co.id"
"Kantorpos Mebali","Kantor Pos",4.3,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Mebali/data=!4m7!3m6!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_!19sChIJ_f___7_3ky0RtrolbLWGy5I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mebali/@-3.1812391,119.8803475,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_?authuser=0&hl=id&entry=ttu","119.8803475","-3.1812391","Telepon","(0471) 21016"
"Kantorpos Mebali","Kantor Pos",4.3,4,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantorpos+Mebali/data=!4m7!3m6!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_!19sChIJ_f___7_3ky0RtrolbLWGy5I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Mebali/@-3.1812391,119.8803475,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93f7bffffffffd:0x92cb86b56c25bab6!8m2!3d-3.1812391!4d119.8803475!16s%2Fg%2F11b5wk60v_?authuser=0&hl=id&entry=ttu","119.8803475","-3.1812391","Plus Codes","RV9J+G4 Pakala, Kabupaten Tana Toraja, Sulawesi Selatan"
"Pos Lantas Tana Toraja","Polisi Lalu Lintas",3.5,2,"unknown","https://www.google.com/maps/place/Pos+Lantas+Tana+Toraja/data=!4m7!3m6!1s0x2d93edc17332fbbb:0x9821710b0a1f17b5!8m2!3d-3.1043667!4d119.853039!16s%2Fg%2F11j2g11wyd!19sChIJu_syc8Htky0RtRcfCgtxIZg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Lantas+Tana+Toraja/@-3.1043667,119.853039,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93edc17332fbbb:0x9821710b0a1f17b5!8m2!3d-3.1043667!4d119.853039!16s%2Fg%2F11j2g11wyd?authuser=0&hl=id&entry=ttu","119.853039","-3.1043667","Alamat","VVW3+763, Tondon Mamullu, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817"
"POS DAMKAR TANA TORAJA","Kantor Perusahaan",5,1,"unknown","https://www.google.com/maps/place/POS+DAMKAR+TANA+TORAJA/data=!4m7!3m6!1s0x2d93edbc41fd79c7:0x4468b60d4f54d231!8m2!3d-3.0862716!4d119.8507855!16s%2Fg%2F11g9q77jv0!19sChIJx3n9Qbztky0RMdJUTw22aEQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+DAMKAR+TANA+TORAJA/@-3.0862716,119.8507855,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93edbc41fd79c7:0x4468b60d4f54d231!8m2!3d-3.0862716!4d119.8507855!16s%2Fg%2F11g9q77jv0?authuser=0&hl=id&entry=ttu","119.8507855","-3.0862716","Alamat","WV72+F8V, Jl. Mayjen S. Parman, Kamali Pentalluan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91811"
"POS DAMKAR TANA TORAJA","Kantor Perusahaan",5,1,"unknown","https://www.google.com/maps/place/POS+DAMKAR+TANA+TORAJA/data=!4m7!3m6!1s0x2d93edbc41fd79c7:0x4468b60d4f54d231!8m2!3d-3.0862716!4d119.8507855!16s%2Fg%2F11g9q77jv0!19sChIJx3n9Qbztky0RMdJUTw22aEQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/POS+DAMKAR+TANA+TORAJA/@-3.0862716,119.8507855,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93edbc41fd79c7:0x4468b60d4f54d231!8m2!3d-3.0862716!4d119.8507855!16s%2Fg%2F11g9q77jv0?authuser=0&hl=id&entry=ttu","119.8507855","-3.0862716","Telepon","(0423) 22364"
"Pos Polisi Makale","Polisi Lalu Lintas",NA,NA,"Buka 24 jam","https://www.google.com/maps/place/Pos+Polisi+Makale/data=!4m7!3m6!1s0x2d93edefa2a7b9ad:0xe586205abad3e3d3!8m2!3d-3.1043597!4d119.852987!16s%2Fg%2F11gzpgtfhz!19sChIJrbmnou_tky0R0-PTuloghuU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Polisi+Makale/@-3.1043597,119.852987,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93edefa2a7b9ad:0xe586205abad3e3d3!8m2!3d-3.1043597!4d119.852987!16s%2Fg%2F11gzpgtfhz?authuser=0&hl=id&entry=ttu","119.852987","-3.1043597","Alamat","VVW3+755, Tondon Mamullu, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91817"
