"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Batulicin","Kantor Pos",3.6,41,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Batulicin/data=!4m7!3m6!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c!19sChIJz____7-26C0RCZNUUwEq7KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Batulicin/@-3.4226771,116.0040135,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c?authuser=0&hl=id&entry=ttu","116.0040135","-3.4226771","Alamat","Jl. Transmigrasi Plajau, Kp. Baru, Kec. Simpang Empat, Kabupaten Tanah Bumbu, Kalimantan Selatan 72273"
"Kantor Pos Batulicin","Kantor Pos",3.6,41,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Batulicin/data=!4m7!3m6!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c!19sChIJz____7-26C0RCZNUUwEq7KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Batulicin/@-3.4226771,116.0040135,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c?authuser=0&hl=id&entry=ttu","116.0040135","-3.4226771","Telepon","(0518) 70678"
"Kantor Pos Batulicin","Kantor Pos",3.6,41,"Tutup ⋅ Buka pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Batulicin/data=!4m7!3m6!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c!19sChIJz____7-26C0RCZNUUwEq7KI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Batulicin/@-3.4226771,116.0040135,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8b6bfffffffcf:0xa2ec2a0153549309!8m2!3d-3.4226771!4d116.0040135!16s%2Fg%2F1q6cqm68c?authuser=0&hl=id&entry=ttu","116.0040135","-3.4226771","Plus Codes","H2G3+WJ Kp. Baru, Kabupaten Tanah Bumbu, Kalimantan Selatan"
"Kantorpos Pagatan","Kantor Pos",3.9,14,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pagatan/data=!4m7!3m6!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h!19sChIJx2Q0cWq86C0R7XosdatYlrk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pagatan/@-3.6089492,115.9334072,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h?authuser=0&hl=id&entry=ttu","115.9334072","-3.6089492","Alamat","Jl. 17 Pebruari, Pagatan, Kusan Hilir, Kota Pagatan, Kec. Kusan Hilir, Kabupaten Tanah Bumbu, Kalimantan Selatan 72273"
"Kantorpos Pagatan","Kantor Pos",3.9,14,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pagatan/data=!4m7!3m6!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h!19sChIJx2Q0cWq86C0R7XosdatYlrk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pagatan/@-3.6089492,115.9334072,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h?authuser=0&hl=id&entry=ttu","115.9334072","-3.6089492","Situs Web","posindonesia.co.id"
"Kantorpos Pagatan","Kantor Pos",3.9,14,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pagatan/data=!4m7!3m6!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h!19sChIJx2Q0cWq86C0R7XosdatYlrk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pagatan/@-3.6089492,115.9334072,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h?authuser=0&hl=id&entry=ttu","115.9334072","-3.6089492","Telepon","(0518) 38500"
"Kantorpos Pagatan","Kantor Pos",3.9,14,"Tutup ⋅ Buka pukul 08.00","https://www.google.com/maps/place/Kantorpos+Pagatan/data=!4m7!3m6!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h!19sChIJx2Q0cWq86C0R7XosdatYlrk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pagatan/@-3.6089492,115.9334072,17z/data=!3m1!4b1!4m6!3m5!1s0x2de8bc6a713464c7:0xb99658ab752c7aed!8m2!3d-3.6089492!4d115.9334072!16s%2Fg%2F1pzwbfz8h?authuser=0&hl=id&entry=ttu","115.9334072","-3.6089492","Plus Codes","9WRM+C9 Kota Pagatan, Kabupaten Tanah Bumbu, Kalimantan Selatan"
"Kantor Pos","Kantor Pos",4,1,"Buka ⋅ Tutup pukul 04.00 ⋅ Buka kembali pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv!19sChIJVbxX51xN7y0R6pVuXmTJ5AY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-3.3314546,115.9224888,17z/data=!3m1!4b1!4m6!3m5!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv?authuser=0&hl=id&entry=ttu","115.9224888","-3.3314546","Alamat","Jl. Transmigrasi No.Km 13.5, Manunggal, Kec. Karang Bintang, Kabupaten Tanah Bumbu, Kalimantan Selatan 72211"
"Kantor Pos","Kantor Pos",4,1,"Buka ⋅ Tutup pukul 04.00 ⋅ Buka kembali pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv!19sChIJVbxX51xN7y0R6pVuXmTJ5AY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-3.3314546,115.9224888,17z/data=!3m1!4b1!4m6!3m5!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv?authuser=0&hl=id&entry=ttu","115.9224888","-3.3314546","Telepon","0823-5057-2226"
"Kantor Pos","Kantor Pos",4,1,"Buka ⋅ Tutup pukul 04.00 ⋅ Buka kembali pukul 08.00","https://www.google.com/maps/place/Kantor+Pos/data=!4m7!3m6!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv!19sChIJVbxX51xN7y0R6pVuXmTJ5AY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos/@-3.3314546,115.9224888,17z/data=!3m1!4b1!4m6!3m5!1s0x2def4d5ce757bc55:0x6e4c9645e6e95ea!8m2!3d-3.3314546!4d115.9224888!16s%2Fg%2F11ftbg2cvv?authuser=0&hl=id&entry=ttu","115.9224888","-3.3314546","Plus Codes","MW9C+CX Manunggal, Kabupaten Tanah Bumbu, Kalimantan Selatan"
