"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Indonesia Tangerang","Kantor Pos",3.2,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/data=!4m7!3m6!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3!19sChIJnW802dL4aS4R602JmO5nBW8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/@-6.1744618,106.630482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3?authuser=0&hl=id&entry=ttu","106.630482","-6.1744618","Alamat","Jl. Raya Daan Mogot No.11, RT.003/RW.003, Sukarasa, Kec. Tangerang, Kota Tangerang, Banten 15111"
"Kantor Pos Indonesia Tangerang","Kantor Pos",3.2,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/data=!4m7!3m6!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3!19sChIJnW802dL4aS4R602JmO5nBW8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/@-6.1744618,106.630482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3?authuser=0&hl=id&entry=ttu","106.630482","-6.1744618","Situs Web","posindonesia.co.id"
"Kantor Pos Indonesia Tangerang","Kantor Pos",3.2,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/data=!4m7!3m6!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3!19sChIJnW802dL4aS4R602JmO5nBW8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/@-6.1744618,106.630482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3?authuser=0&hl=id&entry=ttu","106.630482","-6.1744618","Telepon","(021) 55795418"
"Kantor Pos Indonesia Tangerang","Kantor Pos",3.2,490,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/data=!4m7!3m6!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3!19sChIJnW802dL4aS4R602JmO5nBW8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Indonesia+Tangerang/@-6.1744618,106.630482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8d2d9346f9d:0x6f0567ee98894deb!8m2!3d-6.1744618!4d106.630482!16s%2Fg%2F119v3dfr3?authuser=0&hl=id&entry=ttu","106.630482","-6.1744618","Plus Codes","RJGJ+65 Sukarasa, Kota Tangerang, Banten"
"Kantor Pos Tangerang Karangsari","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/data=!4m7!3m6!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk!19sChIJEQAAALz4aS4RrvZFGVTqzoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/@-6.1708541,106.6140281,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk?authuser=0&hl=id&entry=ttu","106.6140281","-6.1708541","Alamat","Tangerang, Jl. Moh. Toha No.20, RT.001/RW.001, Margasari, Kec. Karawaci, Kota Tangerang, Banten 15121"
"Kantor Pos Tangerang Karangsari","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/data=!4m7!3m6!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk!19sChIJEQAAALz4aS4RrvZFGVTqzoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/@-6.1708541,106.6140281,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk?authuser=0&hl=id&entry=ttu","106.6140281","-6.1708541","Situs Web","posindonesia.co.id"
"Kantor Pos Tangerang Karangsari","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/data=!4m7!3m6!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk!19sChIJEQAAALz4aS4RrvZFGVTqzoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/@-6.1708541,106.6140281,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk?authuser=0&hl=id&entry=ttu","106.6140281","-6.1708541","Telepon","(021) 5926777"
"Kantor Pos Tangerang Karangsari","Kantor Pos",4.1,12,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/data=!4m7!3m6!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk!19sChIJEQAAALz4aS4RrvZFGVTqzoo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Tangerang+Karangsari/@-6.1708541,106.6140281,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f8bc00000011:0x8aceea541945f6ae!8m2!3d-6.1708541!4d106.6140281!16s%2Fg%2F1q66t7rlk?authuser=0&hl=id&entry=ttu","106.6140281","-6.1708541","Plus Codes","RJH7+MJ Margasari, Kota Tangerang, Banten"
"Kantor Pos Perumnas Dua","Kantor Pos",4.4,18,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Perumnas+Dua/data=!4m7!3m6!1s0x2e69fe9744c05c2b:0xbc299c3c4a0dac8e!8m2!3d-6.2149123!4d106.6005588!16s%2Fg%2F1hc1wxbyn!19sChIJK1zARJf-aS4RjqwNSjycKbw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Perumnas+Dua/@-6.2149123,106.6005588,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fe9744c05c2b:0xbc299c3c4a0dac8e!8m2!3d-6.2149123!4d106.6005588!16s%2Fg%2F1hc1wxbyn?authuser=0&hl=id&entry=ttu","106.6005588","-6.2149123","Alamat","Jl. Mendut Raya No.Blok D/10, Bencongan Indah, Kec. Tangerang, Kabupaten Tangerang, Banten 15811"
"Kantor Pos Perumnas Dua","Kantor Pos",4.4,18,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Perumnas+Dua/data=!4m7!3m6!1s0x2e69fe9744c05c2b:0xbc299c3c4a0dac8e!8m2!3d-6.2149123!4d106.6005588!16s%2Fg%2F1hc1wxbyn!19sChIJK1zARJf-aS4RjqwNSjycKbw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Perumnas+Dua/@-6.2149123,106.6005588,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69fe9744c05c2b:0xbc299c3c4a0dac8e!8m2!3d-6.2149123!4d106.6005588!16s%2Fg%2F1hc1wxbyn?authuser=0&hl=id&entry=ttu","106.6005588","-6.2149123","Situs Web","posindonesia.co.id"
