"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Pos Indonesia Kuala Tungkal","Kantor Pos",3.6,23,"Tutup ⋅ Buka Kam pukul 07.00","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/data=!4m7!3m6!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k!19sChIJ70aNAMieKC4RWthGeitlfYM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/@-0.8254799,103.4628526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k?authuser=0&hl=id&entry=ttu","103.4628526","-0.8254799","Alamat","Brt, Jl. Beringin No.17, Tungkal III, Tungkal Ilir, West Tanjung Jabung Regency, Jambi 36500"
"Pos Indonesia Kuala Tungkal","Kantor Pos",3.6,23,"Tutup ⋅ Buka Kam pukul 07.00","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/data=!4m7!3m6!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k!19sChIJ70aNAMieKC4RWthGeitlfYM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/@-0.8254799,103.4628526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k?authuser=0&hl=id&entry=ttu","103.4628526","-0.8254799","Situs Web","posindonesia.co.id"
"Pos Indonesia Kuala Tungkal","Kantor Pos",3.6,23,"Tutup ⋅ Buka Kam pukul 07.00","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/data=!4m7!3m6!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k!19sChIJ70aNAMieKC4RWthGeitlfYM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/@-0.8254799,103.4628526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k?authuser=0&hl=id&entry=ttu","103.4628526","-0.8254799","Telepon","(0742) 21009"
"Pos Indonesia Kuala Tungkal","Kantor Pos",3.6,23,"Tutup ⋅ Buka Kam pukul 07.00","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/data=!4m7!3m6!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k!19sChIJ70aNAMieKC4RWthGeitlfYM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia+Kuala+Tungkal/@-0.8254799,103.4628526,17z/data=!3m1!4b1!4m6!3m5!1s0x2e289ec8008d46ef:0x837d652b7a46d85a!8m2!3d-0.8254799!4d103.4628526!16s%2Fg%2F1pzt0wc9k?authuser=0&hl=id&entry=ttu","103.4628526","-0.8254799","Plus Codes","5FF7+R4 Tungkal III, Kabupaten Tanjung Jabung Barat, Jambi"
"Kantor POS INDONESIA","Kantor Pos",5,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+POS+INDONESIA/data=!4m7!3m6!1s0x2e28cb0c1dd75975:0x3a4b8c1ecbccf54a!8m2!3d-1.1453312!4d103.0850373!16s%2Fg%2F11gxs68kny!19sChIJdVnXHQzLKC4RSvXMyx6MSzo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+INDONESIA/@-1.1453312,103.0850373,17z/data=!3m1!4b1!4m6!3m5!1s0x2e28cb0c1dd75975:0x3a4b8c1ecbccf54a!8m2!3d-1.1453312!4d103.0850373!16s%2Fg%2F11gxs68kny?authuser=0&hl=id&entry=ttu","103.0850373","-1.1453312","Alamat","V33P+V27, Unnamed Road, Pelabuhan Dagang, Kec. Tungkal Ulu, Kabupaten Tanjung Jabung Barat, Jambi 36552"
"Kantor POS INDONESIA","Kantor Pos",5,4,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+POS+INDONESIA/data=!4m7!3m6!1s0x2e28cb0c1dd75975:0x3a4b8c1ecbccf54a!8m2!3d-1.1453312!4d103.0850373!16s%2Fg%2F11gxs68kny!19sChIJdVnXHQzLKC4RSvXMyx6MSzo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+POS+INDONESIA/@-1.1453312,103.0850373,17z/data=!3m1!4b1!4m6!3m5!1s0x2e28cb0c1dd75975:0x3a4b8c1ecbccf54a!8m2!3d-1.1453312!4d103.0850373!16s%2Fg%2F11gxs68kny?authuser=0&hl=id&entry=ttu","103.0850373","-1.1453312","Situs Web","posindonesia.co.id"
"Kantorpos Merlung","Kantor Pos",4.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Merlung/data=!4m7!3m6!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7!19sChIJNVVVVVUuLy4RPD4v23LyRYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Merlung/@-1.2658238,103.0517701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7?authuser=0&hl=id&entry=ttu","103.0517701","-1.2658238","Alamat","Jl. Pinang Gading SP-5, Merlung, Tanjung Jabung Barat, Kabupaten Tanjung Jabung Barat, Jambi 36554"
"Kantorpos Merlung","Kantor Pos",4.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Merlung/data=!4m7!3m6!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7!19sChIJNVVVVVUuLy4RPD4v23LyRYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Merlung/@-1.2658238,103.0517701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7?authuser=0&hl=id&entry=ttu","103.0517701","-1.2658238","Situs Web","posindonesia.co.id"
"Kantorpos Merlung","Kantor Pos",4.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Merlung/data=!4m7!3m6!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7!19sChIJNVVVVVUuLy4RPD4v23LyRYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Merlung/@-1.2658238,103.0517701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7?authuser=0&hl=id&entry=ttu","103.0517701","-1.2658238","Telepon","(0741) 22139"
"Kantorpos Merlung","Kantor Pos",4.1,14,"Tutup ⋅ Buka Kam pukul 08.00","https://www.google.com/maps/place/Kantorpos+Merlung/data=!4m7!3m6!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7!19sChIJNVVVVVUuLy4RPD4v23LyRYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Merlung/@-1.2658238,103.0517701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f2e5555555535:0x8b45f272db2f3e3c!8m2!3d-1.2658238!4d103.0517701!16s%2Fg%2F11b5wlqpt7?authuser=0&hl=id&entry=ttu","103.0517701","-1.2658238","Plus Codes","P3M2+MP Merlung, Kabupaten Tanjung Jabung Barat, Jambi"
