"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantorpos Muara Tebo","Kantor Pos",4.8,16,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/data=!4m7!3m6!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw!19sChIJGwAAAADrLi4R9EHw8IarpHk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/@-1.4921951,102.4450501,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw?authuser=0&hl=id&entry=ttu","102.4450501","-1.4921951","Alamat","Tengah Ulu, Kec. Tebo Tengah, Kabupaten Tebo, Jambi 37571"
"Kantorpos Muara Tebo","Kantor Pos",4.8,16,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/data=!4m7!3m6!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw!19sChIJGwAAAADrLi4R9EHw8IarpHk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/@-1.4921951,102.4450501,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw?authuser=0&hl=id&entry=ttu","102.4450501","-1.4921951","Situs Web","posindonesia.co.id"
"Kantorpos Muara Tebo","Kantor Pos",4.8,16,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/data=!4m7!3m6!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw!19sChIJGwAAAADrLi4R9EHw8IarpHk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/@-1.4921951,102.4450501,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw?authuser=0&hl=id&entry=ttu","102.4450501","-1.4921951","Telepon","0821-8123-4729"
"Kantorpos Muara Tebo","Kantor Pos",4.8,16,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/data=!4m7!3m6!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw!19sChIJGwAAAADrLi4R9EHw8IarpHk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Muara+Tebo/@-1.4921951,102.4450501,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2eeb000000001b:0x79a4ab86f0f041f4!8m2!3d-1.4921951!4d102.4450501!16s%2Fg%2F1q6b2vbhw?authuser=0&hl=id&entry=ttu","102.4450501","-1.4921951","Plus Codes","GC5W+42 Tengah Ulu, Kabupaten Tebo, Jambi"
"Pos Indonesia. PT","Jasa Kurir",5,1,"unknown","https://www.google.com/maps/place/Pos+Indonesia.+PT/data=!4m7!3m6!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph!19sChIJvb3xx7K7Li4RIwrzzUpV8c8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT/@-1.37316,102.313499,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph?authuser=0&hl=id&entry=ttu","102.313499","-1.37316","Alamat","JL. Pahlawan, No. 130, Rimbo Bujang Muara Bungo, 37253, Tlk. Kembang Jambu, Kec. Tebo Ulu, Kabupaten Tebo, Jambi 37553"
"Pos Indonesia. PT","Jasa Kurir",5,1,"unknown","https://www.google.com/maps/place/Pos+Indonesia.+PT/data=!4m7!3m6!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph!19sChIJvb3xx7K7Li4RIwrzzUpV8c8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT/@-1.37316,102.313499,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph?authuser=0&hl=id&entry=ttu","102.313499","-1.37316","Situs Web","posindonesia.co.id"
"Pos Indonesia. PT","Jasa Kurir",5,1,"unknown","https://www.google.com/maps/place/Pos+Indonesia.+PT/data=!4m7!3m6!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph!19sChIJvb3xx7K7Li4RIwrzzUpV8c8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT/@-1.37316,102.313499,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph?authuser=0&hl=id&entry=ttu","102.313499","-1.37316","Telepon","(0747) 31003"
"Pos Indonesia. PT","Jasa Kurir",5,1,"unknown","https://www.google.com/maps/place/Pos+Indonesia.+PT/data=!4m7!3m6!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph!19sChIJvb3xx7K7Li4RIwrzzUpV8c8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Pos+Indonesia.+PT/@-1.37316,102.313499,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ebbb2c7f1bdbd:0xcff1554acdf30a23!8m2!3d-1.37316!4d102.313499!16s%2Fg%2F1pzss9cph?authuser=0&hl=id&entry=ttu","102.313499","-1.37316","Plus Codes","J8G7+P9 Tlk. Kembang Jambu, Kabupaten Tebo, Jambi"
"Kantor Pos pulau temiang","Kantor Perusahaan",5,3,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+pulau+temiang/data=!4m7!3m6!1s0x2e2ea32122623e8b:0x206e956f2e6fd23b!8m2!3d-1.2342354!4d102.2356763!16s%2Fg%2F11g6p8_sfx!19sChIJiz5iIiGjLi4RO9JvLm-VbiA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+pulau+temiang/@-1.2342354,102.2356763,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea32122623e8b:0x206e956f2e6fd23b!8m2!3d-1.2342354!4d102.2356763!16s%2Fg%2F11g6p8_sfx?authuser=0&hl=id&entry=ttu","102.2356763","-1.2342354","Alamat","Jl. Padang Lamo, Pulau Temiang, Kec. Tebo Ulu, Kabupaten Tebo, Jambi 37554"
"Kantor Pos pulau temiang","Kantor Perusahaan",5,3,"Tutup ⋅ Buka Kam pukul 07.30","https://www.google.com/maps/place/Kantor+Pos+pulau+temiang/data=!4m7!3m6!1s0x2e2ea32122623e8b:0x206e956f2e6fd23b!8m2!3d-1.2342354!4d102.2356763!16s%2Fg%2F11g6p8_sfx!19sChIJiz5iIiGjLi4RO9JvLm-VbiA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+pulau+temiang/@-1.2342354,102.2356763,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2ea32122623e8b:0x206e956f2e6fd23b!8m2!3d-1.2342354!4d102.2356763!16s%2Fg%2F11g6p8_sfx?authuser=0&hl=id&entry=ttu","102.2356763","-1.2342354","Situs Web","posindonesia.co.id"
