"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x!19sChIJyRb1RFsFLjARVAVVmovlRS4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@2.3298971,99.0523815,17z/data=!3m1!4b1!4m6!3m5!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x?authuser=0&hl=id&entry=ttu","99.0523815","2.3298971","Alamat","Jl. Dr. Sutomo No.20, Sangkar Nihuta, Kec. Balige, Toba, Sumatera Utara 22312"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x!19sChIJyRb1RFsFLjARVAVVmovlRS4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@2.3298971,99.0523815,17z/data=!3m1!4b1!4m6!3m5!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x?authuser=0&hl=id&entry=ttu","99.0523815","2.3298971","Telepon","0821-6350-2294"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x!19sChIJyRb1RFsFLjARVAVVmovlRS4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@2.3298971,99.0523815,17z/data=!3m1!4b1!4m6!3m5!1s0x302e055b44f516c9:0x2e45e58b9a550554!8m2!3d2.3298971!4d99.0523815!16s%2Fg%2F11t9_jxn_x?authuser=0&hl=id&entry=ttu","99.0523815","2.3298971","Plus Codes","83H2+XX Sangkar Nihuta, Toba, Sumatera Utara"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x302e05250b1e2d7f:0xbacd3843595b402a!8m2!3d2.33718!4d99.0783811!16s%2Fg%2F11t8grzb89!19sChIJfy0eCyUFLjARKkBbWUM4zbo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@2.33718,99.0783811,17z/data=!3m1!4b1!4m6!3m5!1s0x302e05250b1e2d7f:0xbacd3843595b402a!8m2!3d2.33718!4d99.0783811!16s%2Fg%2F11t8grzb89?authuser=0&hl=id&entry=ttu","99.0783811","2.33718","Alamat","83PH+V9C, Jl. P. Siantar, Sibola Hotangsas, Kec. Balige, Toba, Sumatera Utara"
"PosAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PosAja!+Drop+Point/data=!4m7!3m6!1s0x302e05250b1e2d7f:0xbacd3843595b402a!8m2!3d2.33718!4d99.0783811!16s%2Fg%2F11t8grzb89!19sChIJfy0eCyUFLjARKkBbWUM4zbo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PosAja!+Drop+Point/@2.33718,99.0783811,17z/data=!3m1!4b1!4m6!3m5!1s0x302e05250b1e2d7f:0xbacd3843595b402a!8m2!3d2.33718!4d99.0783811!16s%2Fg%2F11t8grzb89?authuser=0&hl=id&entry=ttu","99.0783811","2.33718","Telepon","0813-6221-4556"
"Kantorpos Silaen","Kantor Pos",5,4,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Silaen/data=!4m7!3m6!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6!19sChIJPwAAAFD-LTARbdX4iwxZQ68?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Silaen/@2.3926007,99.1995199,17z/data=!3m1!4b1!4m6!3m5!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6?authuser=0&hl=id&entry=ttu","99.1995199","2.3926007","Alamat","Silaen, Kec. Silaen, Toba, Sumatera Utara 22384"
"Kantorpos Silaen","Kantor Pos",5,4,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Silaen/data=!4m7!3m6!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6!19sChIJPwAAAFD-LTARbdX4iwxZQ68?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Silaen/@2.3926007,99.1995199,17z/data=!3m1!4b1!4m6!3m5!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6?authuser=0&hl=id&entry=ttu","99.1995199","2.3926007","Situs Web","posindonesia.co.id"
"Kantorpos Silaen","Kantor Pos",5,4,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/Kantorpos+Silaen/data=!4m7!3m6!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6!19sChIJPwAAAFD-LTARbdX4iwxZQ68?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Silaen/@2.3926007,99.1995199,17z/data=!3m1!4b1!4m6!3m5!1s0x302dfe500000003f:0xaf43590c8bf8d56d!8m2!3d2.3926007!4d99.1995199!16s%2Fg%2F11b5wjj7p6?authuser=0&hl=id&entry=ttu","99.1995199","2.3926007","Plus Codes","95VX+2R Silaen, Toba, Sumatera Utara"
"PostAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PostAja!+Drop+Point/data=!4m7!3m6!1s0x302e0590176dfdd1:0xe26d2c10f81ebc6!8m2!3d2.3339011!4d99.0672515!16s%2Fg%2F11tbbv3brf!19sChIJ0f1tF5AFLjARxuuBD8HSJg4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PostAja!+Drop+Point/@2.3339011,99.0672515,17z/data=!3m1!4b1!4m6!3m5!1s0x302e0590176dfdd1:0xe26d2c10f81ebc6!8m2!3d2.3339011!4d99.0672515!16s%2Fg%2F11tbbv3brf?authuser=0&hl=id&entry=ttu","99.0672515","2.3339011","Alamat","Jl. Gereja No.2, SITANGKOLA, Kec. Laguboti, Toba, Sumatera Utara 22312"
"PostAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PostAja!+Drop+Point/data=!4m7!3m6!1s0x302e0590176dfdd1:0xe26d2c10f81ebc6!8m2!3d2.3339011!4d99.0672515!16s%2Fg%2F11tbbv3brf!19sChIJ0f1tF5AFLjARxuuBD8HSJg4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PostAja!+Drop+Point/@2.3339011,99.0672515,17z/data=!3m1!4b1!4m6!3m5!1s0x302e0590176dfdd1:0xe26d2c10f81ebc6!8m2!3d2.3339011!4d99.0672515!16s%2Fg%2F11tbbv3brf?authuser=0&hl=id&entry=ttu","99.0672515","2.3339011","Telepon","0852-7766-9222"
