"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Banyumas Kebasen",1.5,222,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/data=!4m7!3m6!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq!19sChIJHZwnEIJDZS4RJ3cR4r2PjOA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/@-7.560922,109.206654,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq?authuser=0&hl=id&entry=ttu","109.206654","-7.560922","Alamat","Jl. Penatusan, RT.003/RW.001, Sawangan Kidul, Kec. Kebasen, Kabupaten Banyumas, Jawa Tengah 53172"
"SiCepat Ekspres Banyumas Kebasen",1.5,222,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/data=!4m7!3m6!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq!19sChIJHZwnEIJDZS4RJ3cR4r2PjOA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/@-7.560922,109.206654,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq?authuser=0&hl=id&entry=ttu","109.206654","-7.560922","Situs Web","sicepat.com"
"SiCepat Ekspres Banyumas Kebasen",1.5,222,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/data=!4m7!3m6!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq!19sChIJHZwnEIJDZS4RJ3cR4r2PjOA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/@-7.560922,109.206654,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq?authuser=0&hl=id&entry=ttu","109.206654","-7.560922","Telepon","(021) 30205050"
"SiCepat Ekspres Banyumas Kebasen",1.5,222,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/data=!4m7!3m6!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq!19sChIJHZwnEIJDZS4RJ3cR4r2PjOA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Banyumas+Kebasen/@-7.560922,109.206654,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65438210279c1d:0xe08c8fbde2117727!8m2!3d-7.560922!4d109.206654!16s%2Fg%2F11sg8b46hq?authuser=0&hl=id&entry=ttu","109.206654","-7.560922","Plus Codes","C6Q4+JM Sawangan Kidul, Sawangan, Kabupaten Banyumas, Jawa Tengah"
"SiCepat Ekspres Purwokerto Barat",3,675,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/data=!4m7!3m6!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y!19sChIJB8UGDBNfZS4Rwm9OgOtgnlU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/@-7.4235386,109.220548,17z/data=!3m1!4b1!4m6!3m5!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y?authuser=0&hl=id&entry=ttu","109.220548","-7.4235386","Alamat","Jl. Jend. Sudirman No.130, Rt 1 Rw. 2, Bantarsoka, Kec. Solokan Jeruk, Kabupaten Banyumas, Jawa Tengah 53133"
"SiCepat Ekspres Purwokerto Barat",3,675,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/data=!4m7!3m6!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y!19sChIJB8UGDBNfZS4Rwm9OgOtgnlU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/@-7.4235386,109.220548,17z/data=!3m1!4b1!4m6!3m5!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y?authuser=0&hl=id&entry=ttu","109.220548","-7.4235386","Situs Web","sicepat.com"
"SiCepat Ekspres Purwokerto Barat",3,675,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/data=!4m7!3m6!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y!19sChIJB8UGDBNfZS4Rwm9OgOtgnlU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/@-7.4235386,109.220548,17z/data=!3m1!4b1!4m6!3m5!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y?authuser=0&hl=id&entry=ttu","109.220548","-7.4235386","Telepon","(021) 30205050"
"SiCepat Ekspres Purwokerto Barat",3,675,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/data=!4m7!3m6!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y!19sChIJB8UGDBNfZS4Rwm9OgOtgnlU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Purwokerto+Barat/@-7.4235386,109.220548,17z/data=!3m1!4b1!4m6!3m5!1s0x2e655f130c06c507:0x559e60eb804e6fc2!8m2!3d-7.4235386!4d109.220548!16s%2Fg%2F11hyzvyn1y?authuser=0&hl=id&entry=ttu","109.220548","-7.4235386","Plus Codes","H6GC+H6 Bantarsoka, Kabupaten Banyumas, Jawa Tengah"
"SiCepat Ekspres Jatilawang",2.4,160,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jatilawang/data=!4m7!3m6!1s0x2e6569c69717c21d:0x187f18bb7022ae5d!8m2!3d-7.5386464!4d109.1361995!16s%2Fg%2F11pdmnspb7!19sChIJHcIXl8ZpZS4RXa4icLsYfxg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jatilawang/@-7.5386464,109.1361995,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6569c69717c21d:0x187f18bb7022ae5d!8m2!3d-7.5386464!4d109.1361995!16s%2Fg%2F11pdmnspb7?authuser=0&hl=id&entry=ttu","109.1361995","-7.5386464","Alamat","Jl. Raya Jatilawang, RT.01/RW.01, Margasara, Margasana, Kec. Bogor Utara, kota, Jawa Tengah 53174"
"SiCepat Ekspres Jatilawang",2.4,160,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jatilawang/data=!4m7!3m6!1s0x2e6569c69717c21d:0x187f18bb7022ae5d!8m2!3d-7.5386464!4d109.1361995!16s%2Fg%2F11pdmnspb7!19sChIJHcIXl8ZpZS4RXa4icLsYfxg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jatilawang/@-7.5386464,109.1361995,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6569c69717c21d:0x187f18bb7022ae5d!8m2!3d-7.5386464!4d109.1361995!16s%2Fg%2F11pdmnspb7?authuser=0&hl=id&entry=ttu","109.1361995","-7.5386464","Situs Web","sicepat.com"
