"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Sicepat ekspres tanjung morawa",2.8,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/data=!4m7!3m6!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k!19sChIJH19vJbhJMTARZHUnmpE0NkQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/@3.5577892,98.8641679,17z/data=!3m1!4b1!4m6!3m5!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k?authuser=0&hl=id&entry=ttu","98.8641679","3.5577892","Alamat","HV57+4M7, Jl. Sudirman, Petapahan, Kec. Lubuk Pakam, Kabupaten Deli Serdang, Sumatera Utara 20516"
"Sicepat ekspres tanjung morawa",2.8,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/data=!4m7!3m6!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k!19sChIJH19vJbhJMTARZHUnmpE0NkQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/@3.5577892,98.8641679,17z/data=!3m1!4b1!4m6!3m5!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k?authuser=0&hl=id&entry=ttu","98.8641679","3.5577892","Situs Web","sicepat.com"
"Sicepat ekspres tanjung morawa",2.8,9,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/data=!4m7!3m6!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k!19sChIJH19vJbhJMTARZHUnmpE0NkQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+ekspres+tanjung+morawa/@3.5577892,98.8641679,17z/data=!3m1!4b1!4m6!3m5!1s0x303149b8256f5f1f:0x443634919a277564!8m2!3d3.5577892!4d98.8641679!16s%2Fg%2F11nh7zwy9k?authuser=0&hl=id&entry=ttu","98.8641679","3.5577892","Telepon","0853-6250-3254"
"KANTOR SICEPAT EXPRESS DELI TUA",4.7,9,"Buka ⋅ Tutup pukul 18.30","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/data=!4m7!3m6!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05!19sChIJNTKjdec7MTARmmBMq12rRck?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/@3.4991767,98.6803636,17z/data=!3m1!4b1!4m6!3m5!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05?authuser=0&hl=id&entry=ttu","98.6803636","3.4991767","Alamat","Jl. Besar Delitua No.27-36, Kedai Durian, Kec. Deli Tua, Kabupaten Deli Serdang, Sumatera Utara 20355"
"KANTOR SICEPAT EXPRESS DELI TUA",4.7,9,"Buka ⋅ Tutup pukul 18.30","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/data=!4m7!3m6!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05!19sChIJNTKjdec7MTARmmBMq12rRck?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/@3.4991767,98.6803636,17z/data=!3m1!4b1!4m6!3m5!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05?authuser=0&hl=id&entry=ttu","98.6803636","3.4991767","Telepon","0822-7427-5684"
"KANTOR SICEPAT EXPRESS DELI TUA",4.7,9,"Buka ⋅ Tutup pukul 18.30","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/data=!4m7!3m6!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05!19sChIJNTKjdec7MTARmmBMq12rRck?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+SICEPAT+EXPRESS+DELI+TUA/@3.4991767,98.6803636,17z/data=!3m1!4b1!4m6!3m5!1s0x30313be775a33235:0xc945ab5dab4c609a!8m2!3d3.4991767!4d98.6803636!16s%2Fg%2F11q1wk1s05?authuser=0&hl=id&entry=ttu","98.6803636","3.4991767","Plus Codes","FMXJ+M4 Kedai Durian, Kabupaten Deli Serdang, Sumatera Utara"
"Gudang SiCepat",1,2,"unknown","https://www.google.com/maps/place/Gudang+SiCepat/data=!4m7!3m6!1s0x303149b0b97b7d11:0xd819d6fa50d3f17d!8m2!3d3.5570229!4d98.8572834!16s%2Fg%2F11pcm8t7gb!19sChIJEX17ubBJMTARffHTUPrWGdg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SiCepat/@3.5570229,98.8572834,17z/data=!3m1!4b1!4m6!3m5!1s0x303149b0b97b7d11:0xd819d6fa50d3f17d!8m2!3d3.5570229!4d98.8572834!16s%2Fg%2F11pcm8t7gb?authuser=0&hl=id&entry=ttu","98.8572834","3.5570229","Alamat","Jln.Jend.Sudirman no 88tt, Perdamaian, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20512"
"Gudang SiCepat",1,2,"unknown","https://www.google.com/maps/place/Gudang+SiCepat/data=!4m7!3m6!1s0x303149b0b97b7d11:0xd819d6fa50d3f17d!8m2!3d3.5570229!4d98.8572834!16s%2Fg%2F11pcm8t7gb!19sChIJEX17ubBJMTARffHTUPrWGdg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SiCepat/@3.5570229,98.8572834,17z/data=!3m1!4b1!4m6!3m5!1s0x303149b0b97b7d11:0xd819d6fa50d3f17d!8m2!3d3.5570229!4d98.8572834!16s%2Fg%2F11pcm8t7gb?authuser=0&hl=id&entry=ttu","98.8572834","3.5570229","Plus Codes","HV44+RW Perdamaian, Kabupaten Deli Serdang, Sumatera Utara"
"Sicepat Bandar Klippa",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Bandar+Klippa/data=!4m7!3m6!1s0x303137750a347f93:0xe31366372b452b0a!8m2!3d3.6165976!4d98.7630029!16s%2Fg%2F11t9wl_ygf!19sChIJk380CnU3MTARCitFKzdmE-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Bandar+Klippa/@3.6165976,98.7630029,17z/data=!3m1!4b1!4m6!3m5!1s0x303137750a347f93:0xe31366372b452b0a!8m2!3d3.6165976!4d98.7630029!16s%2Fg%2F11t9wl_ygf?authuser=0&hl=id&entry=ttu","98.7630029","3.6165976","Alamat","Dekat, Jl. Rel, Bandar Klippa, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371"
"Sicepat Bandar Klippa",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Bandar+Klippa/data=!4m7!3m6!1s0x303137750a347f93:0xe31366372b452b0a!8m2!3d3.6165976!4d98.7630029!16s%2Fg%2F11t9wl_ygf!19sChIJk380CnU3MTARCitFKzdmE-M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Bandar+Klippa/@3.6165976,98.7630029,17z/data=!3m1!4b1!4m6!3m5!1s0x303137750a347f93:0xe31366372b452b0a!8m2!3d3.6165976!4d98.7630029!16s%2Fg%2F11t9wl_ygf?authuser=0&hl=id&entry=ttu","98.7630029","3.6165976","Situs Web","sicepat.com"
