"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Depok Nusantara",3,80,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/data=!4m7!3m6!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1!19sChIJg7pDrojpaS4RRTla5WnBZV8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/@-6.386944,106.814415,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1?authuser=0&hl=id&entry=ttu","106.814415","-6.386944","Alamat","Jl. Nusantara Raya No.26, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421"
"SiCepat Ekspres Depok Nusantara",3,80,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/data=!4m7!3m6!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1!19sChIJg7pDrojpaS4RRTla5WnBZV8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/@-6.386944,106.814415,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1?authuser=0&hl=id&entry=ttu","106.814415","-6.386944","Situs Web","sicepat.com"
"SiCepat Ekspres Depok Nusantara",3,80,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/data=!4m7!3m6!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1!19sChIJg7pDrojpaS4RRTla5WnBZV8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/@-6.386944,106.814415,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1?authuser=0&hl=id&entry=ttu","106.814415","-6.386944","Telepon","(021) 30205050"
"SiCepat Ekspres Depok Nusantara",3,80,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/data=!4m7!3m6!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1!19sChIJg7pDrojpaS4RRTla5WnBZV8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Nusantara/@-6.386944,106.814415,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69e988ae43ba83:0x5f65c169e55a3945!8m2!3d-6.386944!4d106.814415!16s%2Fg%2F11rjqmmhq1?authuser=0&hl=id&entry=ttu","106.814415","-6.386944","Plus Codes","JR77+6Q Beji, Kota Depok, Jawa Barat"
"SiCepat Ekspres Depok (Sortation)",3.1,119,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+%28Sortation%29/data=!4m7!3m6!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v!19sChIJZ_D-GeTraS4RuICogPLtAVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+(Sortation)/@-6.431793,106.855289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v?authuser=0&hl=id&entry=ttu","106.855289","-6.431793","Alamat","Jl. Raya Bogor No.42-44, RT.01/RW.04, Sukamaju, Kec. Cilodong, Kota Depok, Jawa Barat 16415"
"SiCepat Ekspres Depok (Sortation)",3.1,119,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+%28Sortation%29/data=!4m7!3m6!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v!19sChIJZ_D-GeTraS4RuICogPLtAVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+(Sortation)/@-6.431793,106.855289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v?authuser=0&hl=id&entry=ttu","106.855289","-6.431793","Situs Web","sicepat.com"
"SiCepat Ekspres Depok (Sortation)",3.1,119,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+%28Sortation%29/data=!4m7!3m6!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v!19sChIJZ_D-GeTraS4RuICogPLtAVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+(Sortation)/@-6.431793,106.855289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v?authuser=0&hl=id&entry=ttu","106.855289","-6.431793","Telepon","(021) 30205050"
"SiCepat Ekspres Depok (Sortation)",3.1,119,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+%28Sortation%29/data=!4m7!3m6!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v!19sChIJZ_D-GeTraS4RuICogPLtAVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+(Sortation)/@-6.431793,106.855289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebe419fef067:0x5501edf280a880b8!8m2!3d-6.431793!4d106.855289!16s%2Fg%2F11rjqmdb6v?authuser=0&hl=id&entry=ttu","106.855289","-6.431793","Plus Codes","HV94+74 Sukamaju, Kota Depok, Jawa Barat"
"SiCepat Ekspres Depok Sukatani",2.6,429,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/data=!4m7!3m6!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5!19sChIJW2HBVMXraS4RsnlEFpfMoOs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/@-6.396657,106.890912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5?authuser=0&hl=id&entry=ttu","106.890912","-6.396657","Alamat","Jl. Ciherang Raya No.4, RT.004/RW.007, Sukatani, Kec. Tapos, Kota Depok, Jawa Barat 16454"
"SiCepat Ekspres Depok Sukatani",2.6,429,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/data=!4m7!3m6!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5!19sChIJW2HBVMXraS4RsnlEFpfMoOs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/@-6.396657,106.890912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5?authuser=0&hl=id&entry=ttu","106.890912","-6.396657","Situs Web","sicepat.com"
"SiCepat Ekspres Depok Sukatani",2.6,429,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/data=!4m7!3m6!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5!19sChIJW2HBVMXraS4RsnlEFpfMoOs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/@-6.396657,106.890912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5?authuser=0&hl=id&entry=ttu","106.890912","-6.396657","Telepon","(021) 30205050"
"SiCepat Ekspres Depok Sukatani",2.6,429,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/data=!4m7!3m6!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5!19sChIJW2HBVMXraS4RsnlEFpfMoOs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Sukatani/@-6.396657,106.890912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69ebc554c1615b:0xeba0cc97164479b2!8m2!3d-6.396657!4d106.890912!16s%2Fg%2F11rjqmdth5?authuser=0&hl=id&entry=ttu","106.890912","-6.396657","Plus Codes","JV3R+89 Sukatani, Kota Depok, Jawa Barat"
"SiCepat Ekspres Depok Tugu",2.9,114,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Tugu/data=!4m7!3m6!1s0x2e69eda1fcd6c865:0x406d20fe59d94ce1!8m2!3d-6.3705536!4d106.8428667!16s%2Fg%2F11mpbzld02!19sChIJZcjW_KHtaS4R4UzZWf4gbUA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Tugu/@-6.3705536,106.8428667,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69eda1fcd6c865:0x406d20fe59d94ce1!8m2!3d-6.3705536!4d106.8428667!16s%2Fg%2F11mpbzld02?authuser=0&hl=id&entry=ttu","106.8428667","-6.3705536","Alamat","Jl. Klp. Dua Raya No.139, RW.11, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16951"
"SiCepat Ekspres Depok Tugu",2.9,114,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Tugu/data=!4m7!3m6!1s0x2e69eda1fcd6c865:0x406d20fe59d94ce1!8m2!3d-6.3705536!4d106.8428667!16s%2Fg%2F11mpbzld02!19sChIJZcjW_KHtaS4R4UzZWf4gbUA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Depok+Tugu/@-6.3705536,106.8428667,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69eda1fcd6c865:0x406d20fe59d94ce1!8m2!3d-6.3705536!4d106.8428667!16s%2Fg%2F11mpbzld02?authuser=0&hl=id&entry=ttu","106.8428667","-6.3705536","Situs Web","sicepat.com"
