"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Jombang (Sortation)",1.7,215,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+%28Sortation%29/data=!4m7!3m6!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332!19sChIJI5uFDwkVeC4RVS7hJgls1OI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+(Sortation)/@-7.5325091,112.246801,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332?authuser=0&hl=id&entry=ttu","112.246801","-7.5325091","Alamat","Jl. Anggrek No.12, Candi Mulyo, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61413"
"SiCepat Ekspres Jombang (Sortation)",1.7,215,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+%28Sortation%29/data=!4m7!3m6!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332!19sChIJI5uFDwkVeC4RVS7hJgls1OI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+(Sortation)/@-7.5325091,112.246801,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332?authuser=0&hl=id&entry=ttu","112.246801","-7.5325091","Situs Web","sicepat.com"
"SiCepat Ekspres Jombang (Sortation)",1.7,215,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+%28Sortation%29/data=!4m7!3m6!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332!19sChIJI5uFDwkVeC4RVS7hJgls1OI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+(Sortation)/@-7.5325091,112.246801,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332?authuser=0&hl=id&entry=ttu","112.246801","-7.5325091","Telepon","(021) 30205050"
"SiCepat Ekspres Jombang (Sortation)",1.7,215,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+%28Sortation%29/data=!4m7!3m6!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332!19sChIJI5uFDwkVeC4RVS7hJgls1OI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+(Sortation)/@-7.5325091,112.246801,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7815090f859b23:0xe2d46c0926e12e55!8m2!3d-7.5325091!4d112.246801!16s%2Fg%2F11pdmp0332?authuser=0&hl=id&entry=ttu","112.246801","-7.5325091","Plus Codes","F68W+XP Candi Mulyo, Kabupaten Jombang, Jawa Timur"
"SiCepat Ekspres Jombang",2.6,242,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/data=!4m7!3m6!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh!19sChIJyeSMbf5reC4R9XtLLqmAIYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/@-7.5870093,112.2469935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh?authuser=0&hl=id&entry=ttu","112.2469935","-7.5870093","Alamat","Jl. Raya Bandung, Sugihwaras, Bandung, Kec. Diwek, Kabupaten Jombang, Jawa Timur 61471"
"SiCepat Ekspres Jombang",2.6,242,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/data=!4m7!3m6!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh!19sChIJyeSMbf5reC4R9XtLLqmAIYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/@-7.5870093,112.2469935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh?authuser=0&hl=id&entry=ttu","112.2469935","-7.5870093","Situs Web","sicepat.com"
"SiCepat Ekspres Jombang",2.6,242,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/data=!4m7!3m6!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh!19sChIJyeSMbf5reC4R9XtLLqmAIYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/@-7.5870093,112.2469935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh?authuser=0&hl=id&entry=ttu","112.2469935","-7.5870093","Telepon","(021) 30205050"
"SiCepat Ekspres Jombang",2.6,242,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/data=!4m7!3m6!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh!19sChIJyeSMbf5reC4R9XtLLqmAIYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang/@-7.5870093,112.2469935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786bfe6d8ce4c9:0x802180a92e4b7bf5!8m2!3d-7.5870093!4d112.2469935!16s%2Fg%2F11rjqmmhnh?authuser=0&hl=id&entry=ttu","112.2469935","-7.5870093","Plus Codes","C67W+5Q Bandung, Kabupaten Jombang, Jawa Timur"
"SiCepat Ekspres Jombang Tembelang",1.5,120,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+Tembelang/data=!4m7!3m6!1s0x2e783fcd1559276b:0x9c37da356b99eab4!8m2!3d-7.483196!4d112.231418!16s%2Fg%2F11pdmnv1zh!19sChIJaydZFc0_eC4RtOqZazXaN5w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+Tembelang/@-7.483196,112.231418,17z/data=!3m1!4b1!4m6!3m5!1s0x2e783fcd1559276b:0x9c37da356b99eab4!8m2!3d-7.483196!4d112.231418!16s%2Fg%2F11pdmnv1zh?authuser=0&hl=id&entry=ttu","112.231418","-7.483196","Alamat","Jl. Raya Tembelang, Tembelang, Kec. Tembelang, Kabupaten Jombang, Jawa Timur 61452"
"SiCepat Ekspres Jombang Tembelang",1.5,120,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+Tembelang/data=!4m7!3m6!1s0x2e783fcd1559276b:0x9c37da356b99eab4!8m2!3d-7.483196!4d112.231418!16s%2Fg%2F11pdmnv1zh!19sChIJaydZFc0_eC4RtOqZazXaN5w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Jombang+Tembelang/@-7.483196,112.231418,17z/data=!3m1!4b1!4m6!3m5!1s0x2e783fcd1559276b:0x9c37da356b99eab4!8m2!3d-7.483196!4d112.231418!16s%2Fg%2F11pdmnv1zh?authuser=0&hl=id&entry=ttu","112.231418","-7.483196","Situs Web","sicepat.com"
