"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SICEPAT EXPRESS LEBONG AMEN",3.7,3,"Buka ⋅ Tutup Rab pukul 05.00","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/data=!4m7!3m6!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf!19sChIJCUGbzfN7MS4RSe9qddoy690?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/@-3.1240257,102.2070433,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf?authuser=0&hl=id&entry=ttu","102.2070433","-3.1240257","Alamat","Jl. Pangeran Zainal Abidin No.44, Amen, Kec. Amen, Kabupaten Lebong, Bengkulu 39264"
"SICEPAT EXPRESS LEBONG AMEN",3.7,3,"Buka ⋅ Tutup Rab pukul 05.00","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/data=!4m7!3m6!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf!19sChIJCUGbzfN7MS4RSe9qddoy690?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/@-3.1240257,102.2070433,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf?authuser=0&hl=id&entry=ttu","102.2070433","-3.1240257","Telepon","0852-8182-1239"
"SICEPAT EXPRESS LEBONG AMEN",3.7,3,"Buka ⋅ Tutup Rab pukul 05.00","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/data=!4m7!3m6!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf!19sChIJCUGbzfN7MS4RSe9qddoy690?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EXPRESS+LEBONG+AMEN/@-3.1240257,102.2070433,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317bf3cd9b4109:0xddeb32da756aef49!8m2!3d-3.1240257!4d102.2070433!16s%2Fg%2F11sfpbsrjf?authuser=0&hl=id&entry=ttu","102.2070433","-3.1240257","Plus Codes","V6G4+9R Amen, Kabupaten Lebong, Bengkulu"
"Sicepat curup BKS",1.9,57,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+curup+BKS/data=!4m7!3m6!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp!19sChIJoVdS57E5MS4RwUZi1mrzRis?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+curup+BKS/@-3.4834004,102.5217226,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp?authuser=0&hl=id&entry=ttu","102.5217226","-3.4834004","Alamat","Jl. Jend. Sudirman No.109, Air Putih Baru, Kec. Curup Sel., Kabupaten Rejang Lebong, Bengkulu 39112"
"Sicepat curup BKS",1.9,57,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+curup+BKS/data=!4m7!3m6!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp!19sChIJoVdS57E5MS4RwUZi1mrzRis?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+curup+BKS/@-3.4834004,102.5217226,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp?authuser=0&hl=id&entry=ttu","102.5217226","-3.4834004","Telepon","(0732) 3347904"
"Sicepat curup BKS",1.9,57,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+curup+BKS/data=!4m7!3m6!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp!19sChIJoVdS57E5MS4RwUZi1mrzRis?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+curup+BKS/@-3.4834004,102.5217226,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3139b1e75257a1:0x2b46f36ad66246c1!8m2!3d-3.4834004!4d102.5217226!16s%2Fg%2F11mvsgtcyp?authuser=0&hl=id&entry=ttu","102.5217226","-3.4834004","Plus Codes","GG8C+JM Air Putih Baru, Kabupaten Rejang Lebong, Bengkulu"
"Sicepat Express",1,1,"unknown","https://www.google.com/maps/place/Sicepat+Express/data=!4m7!3m6!1s0x2e313a029e041327:0xea8bae6d753c84e6!8m2!3d-3.4878258!4d102.5298288!16s%2Fg%2F11sthkvbzb!19sChIJJxMEngI6MS4R5oQ8dW2ui-o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Express/@-3.4878258,102.5298288,17z/data=!3m1!4b1!4m6!3m5!1s0x2e313a029e041327:0xea8bae6d753c84e6!8m2!3d-3.4878258!4d102.5298288!16s%2Fg%2F11sthkvbzb?authuser=0&hl=id&entry=ttu","102.5298288","-3.4878258","Alamat","GG6H+VW8, Jl. Sapta Marga, Desa Teladan, Kec. Curup Sel., Kabupaten Rejang Lebong, Bengkulu 39119"
"SiCepat Ekspres Lebong Amen",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/data=!4m7!3m6!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy!19sChIJ3TtoU357MS4RdlVIJts83BA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/@-3.1240271,102.2065529,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy?authuser=0&hl=id&entry=ttu","102.2065529","-3.1240271","Alamat","Jl. Pangeran Zainal Abidin No.45, Amen, Kec. Amen, Kabupaten Lebong, Bengkulu 39462"
"SiCepat Ekspres Lebong Amen",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/data=!4m7!3m6!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy!19sChIJ3TtoU357MS4RdlVIJts83BA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/@-3.1240271,102.2065529,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy?authuser=0&hl=id&entry=ttu","102.2065529","-3.1240271","Situs Web","sicepat.com"
"SiCepat Ekspres Lebong Amen",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/data=!4m7!3m6!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy!19sChIJ3TtoU357MS4RdlVIJts83BA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lebong+Amen/@-3.1240271,102.2065529,17z/data=!3m1!4b1!4m6!3m5!1s0x2e317b7e53683bdd:0x10dc3cdb26485576!8m2!3d-3.1240271!4d102.2065529!16s%2Fg%2F11sg8b38qy?authuser=0&hl=id&entry=ttu","102.2065529","-3.1240271","Telepon","(021) 30205050"
