"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Gudang SICEPAT Mamuju sortation",2.1,27,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/data=!4m7!3m6!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn!19sChIJGW01-NfZki0Ra3uz5rttoVs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/@-2.6723541,118.9018542,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn?authuser=0&hl=id&entry=ttu","118.9018542","-2.6723541","Alamat","Jl. Ir. H Juanda No.44/77, Mamunyu, Mamuju, Mamuju Regency, West Sulawesi 91515"
"Gudang SICEPAT Mamuju sortation",2.1,27,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/data=!4m7!3m6!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn!19sChIJGW01-NfZki0Ra3uz5rttoVs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/@-2.6723541,118.9018542,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn?authuser=0&hl=id&entry=ttu","118.9018542","-2.6723541","Situs Web","sicepat.com"
"Gudang SICEPAT Mamuju sortation",2.1,27,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/data=!4m7!3m6!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn!19sChIJGW01-NfZki0Ra3uz5rttoVs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/@-2.6723541,118.9018542,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn?authuser=0&hl=id&entry=ttu","118.9018542","-2.6723541","Telepon","(021) 30205050"
"Gudang SICEPAT Mamuju sortation",2.1,27,"Tutup ⋅ Buka Rab pukul 07.00","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/data=!4m7!3m6!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn!19sChIJGW01-NfZki0Ra3uz5rttoVs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+SICEPAT+Mamuju+sortation/@-2.6723541,118.9018542,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d9d7f8356d19:0x5ba16dbbe6b37b6b!8m2!3d-2.6723541!4d118.9018542!16s%2Fg%2F11sghxppwn?authuser=0&hl=id&entry=ttu","118.9018542","-2.6723541","Plus Codes","8WH2+3P Mamunyu, Kabupaten Mamuju, Sulawesi Barat"
"Gerai Sicepat Mamuju",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Sicepat+Mamuju/data=!4m7!3m6!1s0x2d92d962ebd3cc57:0xad4ec7c04a232695!8m2!3d-2.6944089!4d118.8804566!16s%2Fg%2F11sj4lnvq5!19sChIJV8zT62LZki0RlSYjSsDHTq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Sicepat+Mamuju/@-2.6944089,118.8804566,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d962ebd3cc57:0xad4ec7c04a232695!8m2!3d-2.6944089!4d118.8804566!16s%2Fg%2F11sj4lnvq5?authuser=0&hl=id&entry=ttu","118.8804566","-2.6944089","Alamat","8V4J+65P, Jl. Soekarno Hatta, Simboro, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat"
"Gerai Sicepat Mamuju",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Sicepat+Mamuju/data=!4m7!3m6!1s0x2d92d962ebd3cc57:0xad4ec7c04a232695!8m2!3d-2.6944089!4d118.8804566!16s%2Fg%2F11sj4lnvq5!19sChIJV8zT62LZki0RlSYjSsDHTq0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Sicepat+Mamuju/@-2.6944089,118.8804566,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d962ebd3cc57:0xad4ec7c04a232695!8m2!3d-2.6944089!4d118.8804566!16s%2Fg%2F11sj4lnvq5?authuser=0&hl=id&entry=ttu","118.8804566","-2.6944089","Telepon","0857-7494-6355"
"Sicepat Ekspres Mamuju Kalukku",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/data=!4m7!3m6!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg!19sChIJr9VIeIrpki0RHmxdwLBx-E4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/@-2.551728,119.0681071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg?authuser=0&hl=id&entry=ttu","119.0681071","-2.551728","Alamat","Jalan Poros Kelumpang, Kalukku, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561"
"Sicepat Ekspres Mamuju Kalukku",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/data=!4m7!3m6!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg!19sChIJr9VIeIrpki0RHmxdwLBx-E4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/@-2.551728,119.0681071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg?authuser=0&hl=id&entry=ttu","119.0681071","-2.551728","Situs Web","sicepat.com"
"Sicepat Ekspres Mamuju Kalukku",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/data=!4m7!3m6!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg!19sChIJr9VIeIrpki0RHmxdwLBx-E4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/@-2.551728,119.0681071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg?authuser=0&hl=id&entry=ttu","119.0681071","-2.551728","Telepon","(021) 30205050"
"Sicepat Ekspres Mamuju Kalukku",NA,NA,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/data=!4m7!3m6!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg!19sChIJr9VIeIrpki0RHmxdwLBx-E4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Ekspres+Mamuju+Kalukku/@-2.551728,119.0681071,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92e98a7848d5af:0x4ef871b0c05d6c1e!8m2!3d-2.551728!4d119.0681071!16s%2Fg%2F11str6v2fg?authuser=0&hl=id&entry=ttu","119.0681071","-2.551728","Plus Codes","C3X9+86 Kalukku, Kabupaten Mamuju, Sulawesi Barat"
"SICEPAT EKSPRES MAMUJU",2.9,25,"Tutup permanen","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/data=!4m7!3m6!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc!19sChIJU2doiUDZki0R2OmODbPzGVA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/@-2.6864019,118.8800871,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc?authuser=0&hl=id&entry=ttu","118.8800871","-2.6864019","Alamat","Jl. Pababari No.4, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91512"
"SICEPAT EKSPRES MAMUJU",2.9,25,"Tutup permanen","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/data=!4m7!3m6!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc!19sChIJU2doiUDZki0R2OmODbPzGVA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/@-2.6864019,118.8800871,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc?authuser=0&hl=id&entry=ttu","118.8800871","-2.6864019","Telepon","0852-9808-0758"
"SICEPAT EKSPRES MAMUJU",2.9,25,"Tutup permanen","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/data=!4m7!3m6!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc!19sChIJU2doiUDZki0R2OmODbPzGVA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EKSPRES+MAMUJU/@-2.6864019,118.8800871,17z/data=!3m1!4b1!4m6!3m5!1s0x2d92d94089686753:0x5019f3b30d8ee9d8!8m2!3d-2.6864019!4d118.8800871!16s%2Fg%2F11mvsjdxmc?authuser=0&hl=id&entry=ttu","118.8800871","-2.6864019","Plus Codes","8V7J+C2 Karema, Kabupaten Mamuju, Sulawesi Barat"
