"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Pangandaran",1.5,17,"unknown","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran/data=!4m7!3m6!1s0x2e65993d66eb7efb:0xfe859b6a1eec6f3a!8m2!3d-7.6839743!4d108.6574191!16s%2Fg%2F11kj9646qd!19sChIJ-37rZj2ZZS4ROm_sHmqbhf4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran/@-7.6839743,108.6574191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65993d66eb7efb:0xfe859b6a1eec6f3a!8m2!3d-7.6839743!4d108.6574191!16s%2Fg%2F11kj9646qd?authuser=0&hl=id&entry=ttu","108.6574191","-7.6839743","Alamat","8M84+CW9, Jl. Raya Banjar - Pangandaran, Babakan, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396"
"SiCepat Ekspres Pangandaran",1.5,17,"unknown","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran/data=!4m7!3m6!1s0x2e65993d66eb7efb:0xfe859b6a1eec6f3a!8m2!3d-7.6839743!4d108.6574191!16s%2Fg%2F11kj9646qd!19sChIJ-37rZj2ZZS4ROm_sHmqbhf4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran/@-7.6839743,108.6574191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e65993d66eb7efb:0xfe859b6a1eec6f3a!8m2!3d-7.6839743!4d108.6574191!16s%2Fg%2F11kj9646qd?authuser=0&hl=id&entry=ttu","108.6574191","-7.6839743","Situs Web","sicepat.com"
"SiCepat Ekspres Pangandaran Parigi",2.5,50,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/data=!4m7!3m6!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62!19sChIJA_w9nBCVZS4RXbcoAxhIUPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/@-7.7030756,108.493961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62?authuser=0&hl=id&entry=ttu","108.493961","-7.7030756","Alamat","Jl. Raya Cijulang, Parigi, Kec. Parigi, Kab. Pangandaran, Jawa Barat 46393"
"SiCepat Ekspres Pangandaran Parigi",2.5,50,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/data=!4m7!3m6!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62!19sChIJA_w9nBCVZS4RXbcoAxhIUPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/@-7.7030756,108.493961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62?authuser=0&hl=id&entry=ttu","108.493961","-7.7030756","Situs Web","sicepat.com"
"SiCepat Ekspres Pangandaran Parigi",2.5,50,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/data=!4m7!3m6!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62!19sChIJA_w9nBCVZS4RXbcoAxhIUPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/@-7.7030756,108.493961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62?authuser=0&hl=id&entry=ttu","108.493961","-7.7030756","Telepon","(021) 30205050"
"SiCepat Ekspres Pangandaran Parigi",2.5,50,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/data=!4m7!3m6!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62!19sChIJA_w9nBCVZS4RXbcoAxhIUPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Pangandaran+Parigi/@-7.7030756,108.493961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6595109c3dfc03:0xf65048180328b75d!8m2!3d-7.7030756!4d108.493961!16s%2Fg%2F11rjqml_62?authuser=0&hl=id&entry=ttu","108.493961","-7.7030756","Plus Codes","7FWV+QH Parigi, Kabupaten Ciamis, Jawa Barat"
"Sicepat Pangandaran Padaherang",1.7,6,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Sicepat+Pangandaran+Padaherang/data=!4m7!3m6!1s0x2e659dc1b6c46235:0x5cb8d9c6760f617e!8m2!3d-7.582758!4d108.7127399!16s%2Fg%2F11pw0fz6hn!19sChIJNWLEtsGdZS4RfmEPdsbZuFw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Pangandaran+Padaherang/@-7.582758,108.7127399,17z/data=!3m1!4b1!4m6!3m5!1s0x2e659dc1b6c46235:0x5cb8d9c6760f617e!8m2!3d-7.582758!4d108.7127399!16s%2Fg%2F11pw0fz6hn?authuser=0&hl=id&entry=ttu","108.7127399","-7.582758","Alamat","Jl. Raya Banjar - Pangandaran Pasar, RT.01/RW.02, Ciganjeng, Kec. Padaherang, Kab. Pangandaran, Jawa Barat 46372"
"Sicepat Pangandaran Padaherang",1.7,6,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Sicepat+Pangandaran+Padaherang/data=!4m7!3m6!1s0x2e659dc1b6c46235:0x5cb8d9c6760f617e!8m2!3d-7.582758!4d108.7127399!16s%2Fg%2F11pw0fz6hn!19sChIJNWLEtsGdZS4RfmEPdsbZuFw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Pangandaran+Padaherang/@-7.582758,108.7127399,17z/data=!3m1!4b1!4m6!3m5!1s0x2e659dc1b6c46235:0x5cb8d9c6760f617e!8m2!3d-7.582758!4d108.7127399!16s%2Fg%2F11pw0fz6hn?authuser=0&hl=id&entry=ttu","108.7127399","-7.582758","Plus Codes","CP87+V3 Ciganjeng, Kabupaten Ciamis, Jawa Barat"
"Sicepat point - Mangunjaya",5,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Sicepat+point+-+Mangunjaya/data=!4m7!3m6!1s0x2e6585a61198e0ab:0x6985c3dd51e4e0ee!8m2!3d-7.5072368!4d108.6963424!16s%2Fg%2F11r_wdxbtj!19sChIJq-CYEaaFZS4R7uDkUd3DhWk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+point+-+Mangunjaya/@-7.5072368,108.6963424,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6585a61198e0ab:0x6985c3dd51e4e0ee!8m2!3d-7.5072368!4d108.6963424!16s%2Fg%2F11r_wdxbtj?authuser=0&hl=id&entry=ttu","108.6963424","-7.5072368","Alamat","sukamaju,sindangsari, RT.09/RW.03, Sukamaju, Kec. Mangunjaya, Kab. Pangandaran, Jawa Barat 46371"
"Sicepat point - Mangunjaya",5,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Sicepat+point+-+Mangunjaya/data=!4m7!3m6!1s0x2e6585a61198e0ab:0x6985c3dd51e4e0ee!8m2!3d-7.5072368!4d108.6963424!16s%2Fg%2F11r_wdxbtj!19sChIJq-CYEaaFZS4R7uDkUd3DhWk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+point+-+Mangunjaya/@-7.5072368,108.6963424,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6585a61198e0ab:0x6985c3dd51e4e0ee!8m2!3d-7.5072368!4d108.6963424!16s%2Fg%2F11r_wdxbtj?authuser=0&hl=id&entry=ttu","108.6963424","-7.5072368","Situs Web","sicepat.com"
