"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Gudang sicepat ekspres",5,1,"Buka ⋅ Tutup Rab pukul 06.00","https://www.google.com/maps/place/Gudang+sicepat+ekspres/data=!4m7!3m6!1s0x31d6a99e93faac43:0x8aeaaad2ac7c3601!8m2!3d1.0793781!4d102.1043657!16s%2Fg%2F11sh00y1fn!19sChIJQ6z6k56p1jERATZ8rNKq6oo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gudang+sicepat+ekspres/@1.0793781,102.1043657,17z/data=!3m1!4b1!4m6!3m5!1s0x31d6a99e93faac43:0x8aeaaad2ac7c3601!8m2!3d1.0793781!4d102.1043657!16s%2Fg%2F11sh00y1fn?authuser=0&hl=id&entry=ttu","102.1043657","1.0793781","Alamat","34H3+QP5, Jl. Utama Sungai Tengah, Sungai Tengah, Kec. Sabak Auh, Kabupaten Siak, Riau 28685"
"Photo copy dan gerai sicepat ekspres",4.6,9,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Photo+copy+dan+gerai+sicepat+ekspres/data=!4m7!3m6!1s0x31d15545717f8cbf:0xcb0d486e706e421d!8m2!3d1.2507584!4d102.1395579!16s%2Fg%2F11h56p9wpl!19sChIJv4x_cUVV0TERHUJucG5IDcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Photo+copy+dan+gerai+sicepat+ekspres/@1.2507584,102.1395579,17z/data=!3m1!4b1!4m6!3m5!1s0x31d15545717f8cbf:0xcb0d486e706e421d!8m2!3d1.2507584!4d102.1395579!16s%2Fg%2F11h56p9wpl?authuser=0&hl=id&entry=ttu","102.1395579","1.2507584","Alamat","742Q+8R3, Lubuk Muda, Kec. Siak Kecil, Kabupaten Bengkalis, Riau 28761"
"Photo copy dan gerai sicepat ekspres",4.6,9,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Photo+copy+dan+gerai+sicepat+ekspres/data=!4m7!3m6!1s0x31d15545717f8cbf:0xcb0d486e706e421d!8m2!3d1.2507584!4d102.1395579!16s%2Fg%2F11h56p9wpl!19sChIJv4x_cUVV0TERHUJucG5IDcs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Photo+copy+dan+gerai+sicepat+ekspres/@1.2507584,102.1395579,17z/data=!3m1!4b1!4m6!3m5!1s0x31d15545717f8cbf:0xcb0d486e706e421d!8m2!3d1.2507584!4d102.1395579!16s%2Fg%2F11h56p9wpl?authuser=0&hl=id&entry=ttu","102.1395579","1.2507584","Telepon","0823-8818-4008"
"SiCepat Ekspres Siak Kampung Dalam",1.8,9,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/data=!4m7!3m6!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5!19sChIJRfuu46kn1DERxZM0t5OnaOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/@0.802806,102.0545,17z/data=!3m1!4b1!4m6!3m5!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5?authuser=0&hl=id&entry=ttu","102.0545","0.802806","Alamat","Jl. Dr. Soetomo, Kp. Dalam, Kec. Siak, Kabupaten Siak, Riau 28671"
"SiCepat Ekspres Siak Kampung Dalam",1.8,9,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/data=!4m7!3m6!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5!19sChIJRfuu46kn1DERxZM0t5OnaOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/@0.802806,102.0545,17z/data=!3m1!4b1!4m6!3m5!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5?authuser=0&hl=id&entry=ttu","102.0545","0.802806","Situs Web","sicepat.com"
"SiCepat Ekspres Siak Kampung Dalam",1.8,9,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/data=!4m7!3m6!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5!19sChIJRfuu46kn1DERxZM0t5OnaOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/@0.802806,102.0545,17z/data=!3m1!4b1!4m6!3m5!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5?authuser=0&hl=id&entry=ttu","102.0545","0.802806","Telepon","(021) 30205050"
"SiCepat Ekspres Siak Kampung Dalam",1.8,9,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/data=!4m7!3m6!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5!19sChIJRfuu46kn1DERxZM0t5OnaOw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kampung+Dalam/@0.802806,102.0545,17z/data=!3m1!4b1!4m6!3m5!1s0x31d427a9e3aefb45:0xec68a793b73493c5!8m2!3d0.802806!4d102.0545!16s%2Fg%2F11sg8bj1v5?authuser=0&hl=id&entry=ttu","102.0545","0.802806","Plus Codes","R333+4Q Kp. Dalam, Kabupaten Siak, Riau"
"SiCepat Ekspres Siak Kandis",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/data=!4m7!3m6!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss!19sChIJVd8sAKDz1DER68rYhM8Q9oY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/@0.8822778,101.2473779,17z/data=!4m6!3m5!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss?authuser=0&hl=id&entry=ttu","101.2473779","0.8822778","Alamat","Jl. Lintas Sumatra No.km 71, Telaga Sam Sam, Kec. Kandis, Kabupaten Siak, Riau 28686"
"SiCepat Ekspres Siak Kandis",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/data=!4m7!3m6!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss!19sChIJVd8sAKDz1DER68rYhM8Q9oY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/@0.8822778,101.2473779,17z/data=!4m6!3m5!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss?authuser=0&hl=id&entry=ttu","101.2473779","0.8822778","Situs Web","sicepat.com"
"SiCepat Ekspres Siak Kandis",NA,NA,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/data=!4m7!3m6!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss!19sChIJVd8sAKDz1DER68rYhM8Q9oY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Siak+Kandis/@0.8822778,101.2473779,17z/data=!4m6!3m5!1s0x31d4f3a0002cdf55:0x86f610cf84d8caeb!8m2!3d0.8822778!4d101.2473779!16s%2Fg%2F11rjqm8fss?authuser=0&hl=id&entry=ttu","101.2473779","0.8822778","Telepon","(021) 30205050"
