"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SICEPAT SUBANG COD",4,3,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/data=!4m7!3m6!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7!19sChIJ38tY_kU7aS4ReG7PFGyRHVo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/@-6.5501782,107.7751306,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7?authuser=0&hl=id&entry=ttu","107.7751306","-6.5501782","Alamat","Jl. Darmodiharjo No.267, Sukamelang, Kec. Subang, Kabupaten Subang, Jawa Barat 41211"
"SICEPAT SUBANG COD",4,3,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/data=!4m7!3m6!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7!19sChIJ38tY_kU7aS4ReG7PFGyRHVo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/@-6.5501782,107.7751306,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7?authuser=0&hl=id&entry=ttu","107.7751306","-6.5501782","Telepon","0813-2087-2838"
"SICEPAT SUBANG COD",4,3,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/data=!4m7!3m6!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7!19sChIJ38tY_kU7aS4ReG7PFGyRHVo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+SUBANG+COD/@-6.5501782,107.7751306,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693b45fe58cbdf:0x5a1d916c14cf6e78!8m2!3d-6.5501782!4d107.7751306!16s%2Fg%2F11rjsmvxq7?authuser=0&hl=id&entry=ttu","107.7751306","-6.5501782","Plus Codes","CQXG+W3 Sukamelang, Kabupaten Subang, Jawa Barat"
"SiCepat Ekspres Subang Jalancagak",2.9,88,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/data=!4m7!3m6!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35!19sChIJm2VgOIEjaS4RDGyVUbuy9xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/@-6.6702442,107.6990627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35?authuser=0&hl=id&entry=ttu","107.6990627","-6.6702442","Alamat","Jl. Cagak, Bunihayu, Kec Seberida, Kabupaten Subang, Jawa Barat 41281"
"SiCepat Ekspres Subang Jalancagak",2.9,88,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/data=!4m7!3m6!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35!19sChIJm2VgOIEjaS4RDGyVUbuy9xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/@-6.6702442,107.6990627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35?authuser=0&hl=id&entry=ttu","107.6990627","-6.6702442","Situs Web","sicepat.com"
"SiCepat Ekspres Subang Jalancagak",2.9,88,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/data=!4m7!3m6!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35!19sChIJm2VgOIEjaS4RDGyVUbuy9xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/@-6.6702442,107.6990627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35?authuser=0&hl=id&entry=ttu","107.6990627","-6.6702442","Telepon","(021) 30205050"
"SiCepat Ekspres Subang Jalancagak",2.9,88,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/data=!4m7!3m6!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35!19sChIJm2VgOIEjaS4RDGyVUbuy9xg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Jalancagak/@-6.6702442,107.6990627,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6923813860659b:0x18f7b2bb51956c0c!8m2!3d-6.6702442!4d107.6990627!16s%2Fg%2F11rjqmnd35?authuser=0&hl=id&entry=ttu","107.6990627","-6.6702442","Plus Codes","8MHX+WJ Bunihayu, Kabupaten Subang, Jawa Barat"
"SiCepat Ekspres Subang Sukamelang Otista",2.5,12,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/data=!4m7!3m6!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht!19sChIJg9tJ8-o7aS4R8aGoMjha5HM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/@-6.5537975,107.7745004,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht?authuser=0&hl=id&entry=ttu","107.7745004","-6.5537975","Alamat","Jl. Otto Iskandardinata No.285-287, Sukamelang, Kec. Subang, Kabupaten Subang, Jawa Barat 41211"
"SiCepat Ekspres Subang Sukamelang Otista",2.5,12,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/data=!4m7!3m6!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht!19sChIJg9tJ8-o7aS4R8aGoMjha5HM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/@-6.5537975,107.7745004,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht?authuser=0&hl=id&entry=ttu","107.7745004","-6.5537975","Situs Web","sicepat.com"
"SiCepat Ekspres Subang Sukamelang Otista",2.5,12,"Buka 24 jam","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/data=!4m7!3m6!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht!19sChIJg9tJ8-o7aS4R8aGoMjha5HM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Subang+Sukamelang+Otista/@-6.5537975,107.7745004,17z/data=!3m1!4b1!4m6!3m5!1s0x2e693beaf349db83:0x73e45a3832a8a1f1!8m2!3d-6.5537975!4d107.7745004!16s%2Fg%2F11s49lb6ht?authuser=0&hl=id&entry=ttu","107.7745004","-6.5537975","Telepon","(021) 30205050"
