"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Lombok Sumbawa",1,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn!19sChIJzV4jTYztyy0RUgVOwBztn80?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.48547,117.4089962,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn?authuser=0&hl=id&entry=ttu","117.4089962","-8.48547","Alamat","Jl. Garuda No.128, Lempeh, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84316"
"SiCepat Ekspres Lombok Sumbawa",1,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn!19sChIJzV4jTYztyy0RUgVOwBztn80?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.48547,117.4089962,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn?authuser=0&hl=id&entry=ttu","117.4089962","-8.48547","Situs Web","sicepat.com"
"SiCepat Ekspres Lombok Sumbawa",1,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn!19sChIJzV4jTYztyy0RUgVOwBztn80?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.48547,117.4089962,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn?authuser=0&hl=id&entry=ttu","117.4089962","-8.48547","Telepon","(021) 30205050"
"SiCepat Ekspres Lombok Sumbawa",1,1,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn!19sChIJzV4jTYztyy0RUgVOwBztn80?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.48547,117.4089962,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbed8c4d235ecd:0xcd9fed1cc04e0552!8m2!3d-8.48547!4d117.4089962!16s%2Fg%2F11kpgqtmbn?authuser=0&hl=id&entry=ttu","117.4089962","-8.48547","Plus Codes","GC75+RH Lempeh, Kabupaten Sumbawa, Nusa Tenggara Bar."
"sicepat ekspres sumbawa",3,2,"unknown","https://www.google.com/maps/place/sicepat+ekspres+sumbawa/data=!4m7!3m6!1s0x2dcbed8fea734ea3:0xba8b4d54da464672!8m2!3d-8.4854822!4d117.4108639!16s%2Fg%2F11jz9lgbtq!19sChIJo05z6o_tyy0RckZG2lRNi7o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/sicepat+ekspres+sumbawa/@-8.4854822,117.4108639,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbed8fea734ea3:0xba8b4d54da464672!8m2!3d-8.4854822!4d117.4108639!16s%2Fg%2F11jz9lgbtq?authuser=0&hl=id&entry=ttu","117.4108639","-8.4854822","Alamat","GC76+R9H, Jl. Garuda, Lempeh, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84316"
"SICEPAT EXPRES",NA,NA,"unknown","https://www.google.com/maps/place/SICEPAT+EXPRES/data=!4m7!3m6!1s0x2dcb634335953e09:0x701e13ff1db06175!8m2!3d-8.9961541!4d117.2071861!16s%2Fg%2F11q46n5d6h!19sChIJCT6VNUNjyy0RdWGwHf8THnA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SICEPAT+EXPRES/@-8.9961541,117.2071861,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcb634335953e09:0x701e13ff1db06175!8m2!3d-8.9961541!4d117.2071861!16s%2Fg%2F11q46n5d6h?authuser=0&hl=id&entry=ttu","117.2071861","-8.9961541","Alamat","2634+GVM, Dusun Rukun Karya, Pada Suka, Kec. Lunyuk, Kabupaten Sumbawa, Nusa Tenggara Bar. 84373"
"Sicepat Taliwang",3.9,23,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Sicepat+Taliwang/data=!4m7!3m6!1s0x2dcc67bfc498105b:0xd713059e55099afe!8m2!3d-8.7420996!4d116.8419801!16s%2Fg%2F11r2wf9m41!19sChIJWxCYxL9nzC0R_poJVZ4FE9c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Taliwang/@-8.7420996,116.8419801,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc67bfc498105b:0xd713059e55099afe!8m2!3d-8.7420996!4d116.8419801!16s%2Fg%2F11r2wf9m41?authuser=0&hl=id&entry=ttu","116.8419801","-8.7420996","Alamat","Jl. Sutan Syahrir No.19, Bugis, Kec. Taliwang, Kabupaten Sumbawa Barat, Nusa Tenggara Bar. 84455"
"Sicepat Taliwang",3.9,23,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Sicepat+Taliwang/data=!4m7!3m6!1s0x2dcc67bfc498105b:0xd713059e55099afe!8m2!3d-8.7420996!4d116.8419801!16s%2Fg%2F11r2wf9m41!19sChIJWxCYxL9nzC0R_poJVZ4FE9c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+Taliwang/@-8.7420996,116.8419801,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc67bfc498105b:0xd713059e55099afe!8m2!3d-8.7420996!4d116.8419801!16s%2Fg%2F11r2wf9m41?authuser=0&hl=id&entry=ttu","116.8419801","-8.7420996","Plus Codes","7R5R+5Q Bugis, Kabupaten Sumbawa Barat, Nusa Tenggara Bar."
"SiCepat Ekspres Lombok Sumbawa",3.7,3,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr!19sChIJYx-bzvTtyy0RbJDE-qiAurQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.488841,117.422637,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr?authuser=0&hl=id&entry=ttu","117.422637","-8.488841","Alamat","Jl. Durian No.33A, Uma Sima, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Bar. 84313"
"SiCepat Ekspres Lombok Sumbawa",3.7,3,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr!19sChIJYx-bzvTtyy0RbJDE-qiAurQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.488841,117.422637,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr?authuser=0&hl=id&entry=ttu","117.422637","-8.488841","Situs Web","sicepat.com"
"SiCepat Ekspres Lombok Sumbawa",3.7,3,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/data=!4m7!3m6!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr!19sChIJYx-bzvTtyy0RbJDE-qiAurQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Lombok+Sumbawa/@-8.488841,117.422637,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcbedf4ce9b1f63:0xb4ba80a8fac4906c!8m2!3d-8.488841!4d117.422637!16s%2Fg%2F11pdmp1wcr?authuser=0&hl=id&entry=ttu","117.422637","-8.488841","Telepon","(021) 50200050"
