"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"SiCepat Ekspres Tabalong Murung Pudak",3.3,23,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/data=!4m7!3m6!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50!19sChIJsQyAS0qz-i0RGHE-JdRUKd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/@-2.1667784,115.4249936,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50?authuser=0&hl=id&entry=ttu","115.4249936","-2.1667784","Alamat","Jl. Jend. Ahmad Yani No.rt 1, Mabuun, Kec. Murung Pudak, Kabupaten Tabalong, Kalimantan Selatan 71571"
"SiCepat Ekspres Tabalong Murung Pudak",3.3,23,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/data=!4m7!3m6!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50!19sChIJsQyAS0qz-i0RGHE-JdRUKd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/@-2.1667784,115.4249936,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50?authuser=0&hl=id&entry=ttu","115.4249936","-2.1667784","Situs Web","sicepat.com"
"SiCepat Ekspres Tabalong Murung Pudak",3.3,23,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/data=!4m7!3m6!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50!19sChIJsQyAS0qz-i0RGHE-JdRUKd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/@-2.1667784,115.4249936,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50?authuser=0&hl=id&entry=ttu","115.4249936","-2.1667784","Telepon","(021) 30205050"
"SiCepat Ekspres Tabalong Murung Pudak",3.3,23,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/data=!4m7!3m6!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50!19sChIJsQyAS0qz-i0RGHE-JdRUKd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Murung+Pudak/@-2.1667784,115.4249936,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab34a4b800cb1:0xde2954d4253e7118!8m2!3d-2.1667784!4d115.4249936!16s%2Fg%2F11sg8bhx50?authuser=0&hl=id&entry=ttu","115.4249936","-2.1667784","Plus Codes","RCMF+7X Mabuun, Kabupaten Tabalong, Kalimantan Selatan"
"Sicepat exspress Tabalong kelua",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/data=!4m7!3m6!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622!19sChIJYVrpDolL5S0RpErqXafWG0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/@-2.2750861,115.299242,17z/data=!3m1!4b1!4m6!3m5!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622?authuser=0&hl=id&entry=ttu","115.299242","-2.2750861","Alamat","Jl. Ahmad Yani, Pulau, Kec. Kelua, Kabupaten Tabalong, Kalimantan Selatan 71552"
"Sicepat exspress Tabalong kelua",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/data=!4m7!3m6!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622!19sChIJYVrpDolL5S0RpErqXafWG0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/@-2.2750861,115.299242,17z/data=!3m1!4b1!4m6!3m5!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622?authuser=0&hl=id&entry=ttu","115.299242","-2.2750861","Situs Web","sicepat.com"
"Sicepat exspress Tabalong kelua",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/data=!4m7!3m6!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622!19sChIJYVrpDolL5S0RpErqXafWG0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/@-2.2750861,115.299242,17z/data=!3m1!4b1!4m6!3m5!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622?authuser=0&hl=id&entry=ttu","115.299242","-2.2750861","Telepon","0812-5027-3298"
"Sicepat exspress Tabalong kelua",NA,NA,"Segera tutup ⋅ 17.00 ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/data=!4m7!3m6!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622!19sChIJYVrpDolL5S0RpErqXafWG0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sicepat+exspress+Tabalong+kelua/@-2.2750861,115.299242,17z/data=!3m1!4b1!4m6!3m5!1s0x2de54b890ee95a61:0x401bd6a75dea4aa4!8m2!3d-2.2750861!4d115.299242!16s%2Fg%2F11t5l63622?authuser=0&hl=id&entry=ttu","115.299242","-2.2750861","Plus Codes","P7FX+XM Pulau, Kabupaten Tabalong, Kalimantan Selatan"
"SiCepat Ekspres Tabalong Tanjung",2.4,56,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Tanjung/data=!4m7!3m6!1s0x2dfab303b0a006e5:0xa7ed9670ebc39e16!8m2!3d-2.1655819!4d115.380922!16s%2Fg%2F11hn8pv1w3!19sChIJ5QagsAOz-i0RFp7D63CW7ac?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Tanjung/@-2.1655819,115.380922,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab303b0a006e5:0xa7ed9670ebc39e16!8m2!3d-2.1655819!4d115.380922!16s%2Fg%2F11hn8pv1w3?authuser=0&hl=id&entry=ttu","115.380922","-2.1655819","Alamat","Jl. Pangeran Antasari, Tanjung, Kec. Tj., Kabupaten Tabalong, Kalimantan Selatan 71513"
"SiCepat Ekspres Tabalong Tanjung",2.4,56,"Tutup permanen","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Tanjung/data=!4m7!3m6!1s0x2dfab303b0a006e5:0xa7ed9670ebc39e16!8m2!3d-2.1655819!4d115.380922!16s%2Fg%2F11hn8pv1w3!19sChIJ5QagsAOz-i0RFp7D63CW7ac?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SiCepat+Ekspres+Tabalong+Tanjung/@-2.1655819,115.380922,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfab303b0a006e5:0xa7ed9670ebc39e16!8m2!3d-2.1655819!4d115.380922!16s%2Fg%2F11hn8pv1w3?authuser=0&hl=id&entry=ttu","115.380922","-2.1655819","Telepon","0852-4893-4519"
