"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki Otista",3.8,736,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Otista/data=!4m7!3m6!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3!19sChIJ8yI_ep7oaC4RcuE8FBeztfU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Otista/@-6.9305897,107.6035414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3?authuser=0&hl=id&entry=ttu","107.6035414","-6.9305897","Alamat","Jl. Otto Iskandar Dinata No.471-473, Pungkur, Kec. Regol, Kota Bandung, Jawa Barat 40252"
"Tiki Otista",3.8,736,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Otista/data=!4m7!3m6!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3!19sChIJ8yI_ep7oaC4RcuE8FBeztfU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Otista/@-6.9305897,107.6035414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3?authuser=0&hl=id&entry=ttu","107.6035414","-6.9305897","Situs Web","tiki.id"
"Tiki Otista",3.8,736,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Otista/data=!4m7!3m6!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3!19sChIJ8yI_ep7oaC4RcuE8FBeztfU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Otista/@-6.9305897,107.6035414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3?authuser=0&hl=id&entry=ttu","107.6035414","-6.9305897","Telepon","(022) 5200364"
"Tiki Otista",3.8,736,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Otista/data=!4m7!3m6!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3!19sChIJ8yI_ep7oaC4RcuE8FBeztfU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Otista/@-6.9305897,107.6035414,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e89e7a3f22f3:0xf5b5b317143ce172!8m2!3d-6.9305897!4d107.6035414!16s%2Fg%2F1hm3tz8f3?authuser=0&hl=id&entry=ttu","107.6035414","-6.9305897","Plus Codes","3J93+QC Pungkur, Kota Bandung, Jawa Barat"
"TIKI Moh. Toha",3.7,101,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/TIKI+Moh.+Toha/data=!4m7!3m6!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h!19sChIJqbNps5TpaC4RYE9Y-0mnDlM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Moh.+Toha/@-6.9321841,107.606882,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h?authuser=0&hl=id&entry=ttu","107.606882","-6.9321841","Alamat","Jl. Moch. Toha No.57, Ciateul, Kec. Regol, Kota Bandung, Jawa Barat 40252"
"TIKI Moh. Toha",3.7,101,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/TIKI+Moh.+Toha/data=!4m7!3m6!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h!19sChIJqbNps5TpaC4RYE9Y-0mnDlM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Moh.+Toha/@-6.9321841,107.606882,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h?authuser=0&hl=id&entry=ttu","107.606882","-6.9321841","Situs Web","tiki.id"
"TIKI Moh. Toha",3.7,101,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/TIKI+Moh.+Toha/data=!4m7!3m6!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h!19sChIJqbNps5TpaC4RYE9Y-0mnDlM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Moh.+Toha/@-6.9321841,107.606882,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h?authuser=0&hl=id&entry=ttu","107.606882","-6.9321841","Telepon","(022) 42828217"
"TIKI Moh. Toha",3.7,101,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/TIKI+Moh.+Toha/data=!4m7!3m6!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h!19sChIJqbNps5TpaC4RYE9Y-0mnDlM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Moh.+Toha/@-6.9321841,107.606882,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e994b369b3a9:0x530ea749fb584f60!8m2!3d-6.9321841!4d107.606882!16s%2Fg%2F11qp2mk99h?authuser=0&hl=id&entry=ttu","107.606882","-6.9321841","Plus Codes","3J94+4Q Ciateul, Kota Bandung, Jawa Barat"
"TIKI Agen Pajajaran",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Pajajaran/data=!4m7!3m6!1s0x2e68e61500000001:0x99e692821f821079!8m2!3d-6.9107601!4d107.5948986!16s%2Fg%2F1pp2tx79f!19sChIJAQAAABXmaC4ReRCCH4KS5pk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Pajajaran/@-6.9107601,107.5948986,15z/data=!3m1!4b1!4m6!3m5!1s0x2e68e61500000001:0x99e692821f821079!8m2!3d-6.9107601!4d107.5948986!16s%2Fg%2F1pp2tx79f?authuser=0&hl=id&entry=ttu","107.5948986","-6.9107601","Alamat","Jl. Purabaya No.31, Pajajaran, Cicendo, Bandung City, West Java 40172"
"TIKI Agen Pajajaran",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Pajajaran/data=!4m7!3m6!1s0x2e68e61500000001:0x99e692821f821079!8m2!3d-6.9107601!4d107.5948986!16s%2Fg%2F1pp2tx79f!19sChIJAQAAABXmaC4ReRCCH4KS5pk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Pajajaran/@-6.9107601,107.5948986,15z/data=!3m1!4b1!4m6!3m5!1s0x2e68e61500000001:0x99e692821f821079!8m2!3d-6.9107601!4d107.5948986!16s%2Fg%2F1pp2tx79f?authuser=0&hl=id&entry=ttu","107.5948986","-6.9107601","Telepon","(022) 61697499"
