"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Gerai Tiki Banjarnegara",4.7,19,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/data=!4m7!3m6!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg!19sChIJ____vxepei4RjlDfq63LQF8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/@-7.392826,109.6983039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg?authuser=0&hl=id&entry=ttu","109.6983039","-7.392826","Alamat","Jl. Mayjend Soetojo No.62, Krandegan, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53474"
"Gerai Tiki Banjarnegara",4.7,19,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/data=!4m7!3m6!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg!19sChIJ____vxepei4RjlDfq63LQF8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/@-7.392826,109.6983039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg?authuser=0&hl=id&entry=ttu","109.6983039","-7.392826","Telepon","(0286) 594133"
"Gerai Tiki Banjarnegara",4.7,19,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/data=!4m7!3m6!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg!19sChIJ____vxepei4RjlDfq63LQF8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara/@-7.392826,109.6983039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa917bfffffff:0x5f40cbadabdf508e!8m2!3d-7.392826!4d109.6983039!16s%2Fg%2F1ptvsmypg?authuser=0&hl=id&entry=ttu","109.6983039","-7.392826","Plus Codes","JM4X+V8 Krandegan, Kab. Banjarnegara, Jawa Tengah"
"Tiki Sub Agen Banjarnegara",4.1,7,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/data=!4m7!3m6!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb!19sChIJO9W4xU-pei4RLAIzraZWOEM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/@-7.3945238,109.7057159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb?authuser=0&hl=id&entry=ttu","109.7057159","-7.3945238","Alamat","Jl. S. Parman No.137, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412"
"Tiki Sub Agen Banjarnegara",4.1,7,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/data=!4m7!3m6!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb!19sChIJO9W4xU-pei4RLAIzraZWOEM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/@-7.3945238,109.7057159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb?authuser=0&hl=id&entry=ttu","109.7057159","-7.3945238","Situs Web","business.site"
"Tiki Sub Agen Banjarnegara",4.1,7,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/data=!4m7!3m6!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb!19sChIJO9W4xU-pei4RLAIzraZWOEM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/@-7.3945238,109.7057159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb?authuser=0&hl=id&entry=ttu","109.7057159","-7.3945238","Telepon","(0286) 594821"
"Tiki Sub Agen Banjarnegara",4.1,7,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/data=!4m7!3m6!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb!19sChIJO9W4xU-pei4RLAIzraZWOEM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Sub+Agen+Banjarnegara/@-7.3945238,109.7057159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa94fc5b8d53b:0x433856a6ad33022c!8m2!3d-7.3945238!4d109.7057159!16s%2Fg%2F11dx9w_ljb?authuser=0&hl=id&entry=ttu","109.7057159","-7.3945238","Plus Codes","JP44+57 Parakancanggah, Kab. Banjarnegara, Jawa Tengah"
"Gerai Tiki Banjarnegara 045",4.8,6,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara+045/data=!4m7!3m6!1s0x2e65525000000001:0xb2369cecb3837482!8m2!3d-7.4768209!4d109.509206!16s%2Fg%2F1pty22_tr!19sChIJAQAAAFBSZS4RgnSDs-ycNrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara+045/@-7.4768209,109.509206,13z/data=!3m1!4b1!4m6!3m5!1s0x2e65525000000001:0xb2369cecb3837482!8m2!3d-7.4768209!4d109.509206!16s%2Fg%2F1pty22_tr?authuser=0&hl=id&entry=ttu","109.509206","-7.4768209","Alamat","Jl. Raya Mandiraja, Mandiraja, Kab. Banjarnegara, Jawa Tengah 53473"
"Gerai Tiki Banjarnegara 045",4.8,6,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara+045/data=!4m7!3m6!1s0x2e65525000000001:0xb2369cecb3837482!8m2!3d-7.4768209!4d109.509206!16s%2Fg%2F1pty22_tr!19sChIJAQAAAFBSZS4RgnSDs-ycNrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Banjarnegara+045/@-7.4768209,109.509206,13z/data=!3m1!4b1!4m6!3m5!1s0x2e65525000000001:0xb2369cecb3837482!8m2!3d-7.4768209!4d109.509206!16s%2Fg%2F1pty22_tr?authuser=0&hl=id&entry=ttu","109.509206","-7.4768209","Telepon","(021) 4704979"
"TIKI SOKANANDI",4.3,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/TIKI+SOKANANDI/data=!4m7!3m6!1s0x2e7aa989dafe28bd:0xa838be6f313c6c03!8m2!3d-7.3918519!4d109.7206564!16s%2Fg%2F11lm5tdjd_!19sChIJvSj-2ompei4RA2w8MW--OKg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+SOKANANDI/@-7.3918519,109.7206564,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aa989dafe28bd:0xa838be6f313c6c03!8m2!3d-7.3918519!4d109.7206564!16s%2Fg%2F11lm5tdjd_?authuser=0&hl=id&entry=ttu","109.7206564","-7.3918519","Alamat","Jl. Tentara Pelajar No.73, Sokanandi, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53413"
