"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Agen 11 Bantul",4.8,44,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/data=!4m7!3m6!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9!19sChIJRVB_Yf9Vei4Rsbbv7HZte9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/@-7.883744,110.33107,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9?authuser=0&hl=id&entry=ttu","110.33107","-7.883744","Alamat","Jl. Dewi Sartika No.99 A, Kurahan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711"
"TIKI Agen 11 Bantul",4.8,44,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/data=!4m7!3m6!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9!19sChIJRVB_Yf9Vei4Rsbbv7HZte9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/@-7.883744,110.33107,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9?authuser=0&hl=id&entry=ttu","110.33107","-7.883744","Telepon","0858-6762-1956"
"TIKI Agen 11 Bantul",4.8,44,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/data=!4m7!3m6!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9!19sChIJRVB_Yf9Vei4Rsbbv7HZte9o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+11+Bantul/@-7.883744,110.33107,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff617f5045:0xda7b6d76ecefb6b1!8m2!3d-7.883744!4d110.33107!16s%2Fg%2F11b6hwzsj9?authuser=0&hl=id&entry=ttu","110.33107","-7.883744","Plus Codes","488J+GC Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Tiki Lor Pasar",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Tiki+Lor+Pasar/data=!4m7!3m6!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5!19sChIJZUJdYv9Vei4RmKOyeOoHJug?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Lor+Pasar/@-7.883454,110.330803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5?authuser=0&hl=id&entry=ttu","110.330803","-7.883454","Alamat","Jl. Dewi Sartika No.89, Kurahan, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711"
"Tiki Lor Pasar",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Tiki+Lor+Pasar/data=!4m7!3m6!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5!19sChIJZUJdYv9Vei4RmKOyeOoHJug?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Lor+Pasar/@-7.883454,110.330803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5?authuser=0&hl=id&entry=ttu","110.330803","-7.883454","Telepon","0857-2908-1138"
"Tiki Lor Pasar",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Tiki+Lor+Pasar/data=!4m7!3m6!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5!19sChIJZUJdYv9Vei4RmKOyeOoHJug?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Lor+Pasar/@-7.883454,110.330803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff625d4265:0xe82607ea78b2a398!8m2!3d-7.883454!4d110.330803!16s%2Fg%2F11g6wfjtz5?authuser=0&hl=id&entry=ttu","110.330803","-7.883454","Plus Codes","488J+J8 Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Tiki Jetis Bantul Yogyakarta",4.8,12,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 09.00","https://www.google.com/maps/place/Tiki+Jetis+Bantul+Yogyakarta/data=!4m7!3m6!1s0x2e7a559cecad98d9:0x3166fc96b5bb2883!8m2!3d-7.8958647!4d110.3732271!16s%2Fg%2F11kv173jp_!19sChIJ2Zit7JxVei4Rgyi7tZb8ZjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jetis+Bantul+Yogyakarta/@-7.8958647,110.3732271,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a559cecad98d9:0x3166fc96b5bb2883!8m2!3d-7.8958647!4d110.3732271!16s%2Fg%2F11kv173jp_?authuser=0&hl=id&entry=ttu","110.3732271","-7.8958647","Alamat","Jetis Rt 2. No 8, Jl. Imogiri Barat No.km 12, Turi, Sumberagung, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781"
"Tiki Jetis Bantul Yogyakarta",4.8,12,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 09.00","https://www.google.com/maps/place/Tiki+Jetis+Bantul+Yogyakarta/data=!4m7!3m6!1s0x2e7a559cecad98d9:0x3166fc96b5bb2883!8m2!3d-7.8958647!4d110.3732271!16s%2Fg%2F11kv173jp_!19sChIJ2Zit7JxVei4Rgyi7tZb8ZjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jetis+Bantul+Yogyakarta/@-7.8958647,110.3732271,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a559cecad98d9:0x3166fc96b5bb2883!8m2!3d-7.8958647!4d110.3732271!16s%2Fg%2F11kv173jp_?authuser=0&hl=id&entry=ttu","110.3732271","-7.8958647","Plus Codes","493F+M7 Sumberagung, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"TIKI DROP POINT BANTUL",5,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/data=!4m7!3m6!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z!19sChIJuzROhtFVei4RiVXEUqA6DQ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/@-7.8907313,110.3523377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z?authuser=0&hl=id&entry=ttu","110.3523377","-7.8907313","Alamat","JL Parangtritis km 11 dawang, Manding, Sabdodadi, Kec. Bantul, Daerah Istimewa Yogyakarta 55715"
"TIKI DROP POINT BANTUL",5,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/data=!4m7!3m6!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z!19sChIJuzROhtFVei4RiVXEUqA6DQ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/@-7.8907313,110.3523377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z?authuser=0&hl=id&entry=ttu","110.3523377","-7.8907313","Situs Web","tikiyogyakarta.com"
"TIKI DROP POINT BANTUL",5,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/data=!4m7!3m6!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z!19sChIJuzROhtFVei4RiVXEUqA6DQ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/@-7.8907313,110.3523377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z?authuser=0&hl=id&entry=ttu","110.3523377","-7.8907313","Telepon","0821-3627-7928"
"TIKI DROP POINT BANTUL",5,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/data=!4m7!3m6!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z!19sChIJuzROhtFVei4RiVXEUqA6DQ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+DROP+POINT+BANTUL/@-7.8907313,110.3523377,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55d1864e34bb:0xf0d3aa052c45589!8m2!3d-7.8907313!4d110.3523377!16s%2Fg%2F11tjxs8p6z?authuser=0&hl=id&entry=ttu","110.3523377","-7.8907313","Plus Codes","4952+PW Sabdodadi, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Tiki Gerai 063",4.6,19,"Tutup sementara","https://www.google.com/maps/place/Tiki+Gerai+063/data=!4m7!3m6!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd!19sChIJqTkVlwv4ei4RXicKuBus0rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Gerai+063/@-7.8152657,110.3255491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd?authuser=0&hl=id&entry=ttu","110.3255491","-7.8152657","Alamat","Jl. Garuda No.28, Gatak, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184"
"Tiki Gerai 063",4.6,19,"Tutup sementara","https://www.google.com/maps/place/Tiki+Gerai+063/data=!4m7!3m6!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd!19sChIJqTkVlwv4ei4RXicKuBus0rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Gerai+063/@-7.8152657,110.3255491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd?authuser=0&hl=id&entry=ttu","110.3255491","-7.8152657","Telepon","0882-1607-4775"
"Tiki Gerai 063",4.6,19,"Tutup sementara","https://www.google.com/maps/place/Tiki+Gerai+063/data=!4m7!3m6!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd!19sChIJqTkVlwv4ei4RXicKuBus0rQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Gerai+063/@-7.8152657,110.3255491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af80b971539a9:0xb4d2ac1bb80a275e!8m2!3d-7.8152657!4d110.3255491!16s%2Fg%2F11cn6jkhvd?authuser=0&hl=id&entry=ttu","110.3255491","-7.8152657","Plus Codes","58MG+V6 Tamantirto, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"TIKI Jambidan",4,4,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Jambidan/data=!4m7!3m6!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx!19sChIJwfdlI8RWei4RU8RpcZ8I6FA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jambidan/@-7.8501938,110.4101469,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx?authuser=0&hl=id&entry=ttu","110.4101469","-7.8501938","Alamat","4CX6+W3C, Jl. Pleret, Bintaran, Jambidan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55194"
"TIKI Jambidan",4,4,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Jambidan/data=!4m7!3m6!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx!19sChIJwfdlI8RWei4RU8RpcZ8I6FA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jambidan/@-7.8501938,110.4101469,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx?authuser=0&hl=id&entry=ttu","110.4101469","-7.8501938","Situs Web","tiki.id"
"TIKI Jambidan",4,4,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Jambidan/data=!4m7!3m6!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx!19sChIJwfdlI8RWei4RU8RpcZ8I6FA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jambidan/@-7.8501938,110.4101469,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a56c42365f7c1:0x50e8089f7169c453!8m2!3d-7.8501938!4d110.4101469!16s%2Fg%2F11gfccgbrx?authuser=0&hl=id&entry=ttu","110.4101469","-7.8501938","Telepon","0822-2199-0177"
"TiKi dan Alat Tulis Generasi9",5,1,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TiKi+dan+Alat+Tulis+Generasi9/data=!4m7!3m6!1s0x2e7a5782619256a5:0x815c2143da665650!8m2!3d-7.8592821!4d110.3546156!16s%2Fg%2F11k6l0ml4_!19sChIJpVaSYYJXei4RUFZm2kMhXIE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TiKi+dan+Alat+Tulis+Generasi9/@-7.8592821,110.3546156,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5782619256a5:0x815c2143da665650!8m2!3d-7.8592821!4d110.3546156!16s%2Fg%2F11k6l0ml4_?authuser=0&hl=id&entry=ttu","110.3546156","-7.8592821","Alamat","Ruko B Alam Citra, Jl. Parangtritis, Cabean, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188"
"TiKi dan Alat Tulis Generasi9",5,1,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TiKi+dan+Alat+Tulis+Generasi9/data=!4m7!3m6!1s0x2e7a5782619256a5:0x815c2143da665650!8m2!3d-7.8592821!4d110.3546156!16s%2Fg%2F11k6l0ml4_!19sChIJpVaSYYJXei4RUFZm2kMhXIE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TiKi+dan+Alat+Tulis+Generasi9/@-7.8592821,110.3546156,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5782619256a5:0x815c2143da665650!8m2!3d-7.8592821!4d110.3546156!16s%2Fg%2F11k6l0ml4_?authuser=0&hl=id&entry=ttu","110.3546156","-7.8592821","Plus Codes","49R3+7R Panggungharjo, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Counter Tiki Bejen",2,4,"Tutup sementara","https://www.google.com/maps/place/Counter+Tiki+Bejen/data=!4m7!3m6!1s0x2e7a555bb885a69b:0x14dc4b0f634e3ae2!8m2!3d-7.8924615!4d110.3340065!16s%2Fg%2F11gt9t87f6!19sChIJm6aFuFtVei4R4jpOYw9L3BQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Counter+Tiki+Bejen/@-7.8924615,110.3340065,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a555bb885a69b:0x14dc4b0f634e3ae2!8m2!3d-7.8924615!4d110.3340065!16s%2Fg%2F11gt9t87f6?authuser=0&hl=id&entry=ttu","110.3340065","-7.8924615","Alamat","485M+2J6, Bejen, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711"
"Gerai Tiki Yogyakarta 30",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/data=!4m7!3m6!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s!19sChIJnxVc7wNWei4RAtypOgkOoUU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/@-7.8735406,110.3606701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s?authuser=0&hl=id&entry=ttu","110.3606701","-7.8735406","Alamat","Jl. Bantul Km 6,5 Niten Pendowoharjo Sewon Bantul, Pendowoharjo, Kowen II, Timbulharjo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55185"
"Gerai Tiki Yogyakarta 30",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/data=!4m7!3m6!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s!19sChIJnxVc7wNWei4RAtypOgkOoUU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/@-7.8735406,110.3606701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s?authuser=0&hl=id&entry=ttu","110.3606701","-7.8735406","Telepon","(0274) 7134430"
"Gerai Tiki Yogyakarta 30",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/data=!4m7!3m6!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s!19sChIJnxVc7wNWei4RAtypOgkOoUU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Yogyakarta+30/@-7.8735406,110.3606701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5603ef5c159f:0x45a10e093aa9dc02!8m2!3d-7.8735406!4d110.3606701!16s%2Fg%2F1yfh_kj8s?authuser=0&hl=id&entry=ttu","110.3606701","-7.8735406","Plus Codes","49G6+H7 Timbulharjo, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Tiki SiCepat & cargo kilat",4.8,13,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Tiki+SiCepat+%26+cargo+kilat/data=!4m7!3m6!1s0x2e7af9c317401cc5:0xb86d77e120b6a8fc!8m2!3d-7.8129502!4d110.2648475!16s%2Fg%2F11cs46qqx2!19sChIJxRxAF8P5ei4R_Ki2IOF3bbg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+SiCepat+%26+cargo+kilat/@-7.8129502,110.2648475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7af9c317401cc5:0xb86d77e120b6a8fc!8m2!3d-7.8129502!4d110.2648475!16s%2Fg%2F11cs46qqx2?authuser=0&hl=id&entry=ttu","110.2648475","-7.8129502","Alamat","11, Jl. Wates No.KM, RW.5, Pedusan, Argosari, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55752"
