"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor TIKI Berau",3.9,69,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+TIKI+Berau/data=!4m7!3m6!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_!19sChIJ47T8iKr1DTIR9X_0n0t9YHo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+TIKI+Berau/@2.1496702,117.5017961,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_?authuser=0&hl=id&entry=ttu","117.5017961","2.1496702","Alamat","Jl. Cemp. II, Karang Ambun, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77315"
"Kantor TIKI Berau",3.9,69,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+TIKI+Berau/data=!4m7!3m6!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_!19sChIJ47T8iKr1DTIR9X_0n0t9YHo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+TIKI+Berau/@2.1496702,117.5017961,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_?authuser=0&hl=id&entry=ttu","117.5017961","2.1496702","Situs Web","tiki.id"
"Kantor TIKI Berau",3.9,69,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+TIKI+Berau/data=!4m7!3m6!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_!19sChIJ47T8iKr1DTIR9X_0n0t9YHo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+TIKI+Berau/@2.1496702,117.5017961,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_?authuser=0&hl=id&entry=ttu","117.5017961","2.1496702","Telepon","0852-5145-7737"
"Kantor TIKI Berau",3.9,69,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Kantor+TIKI+Berau/data=!4m7!3m6!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_!19sChIJ47T8iKr1DTIR9X_0n0t9YHo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+TIKI+Berau/@2.1496702,117.5017961,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5aa88fcb4e3:0x7a607d4b9ff47ff5!8m2!3d2.1496702!4d117.5017961!16s%2Fg%2F11hck8mrt_?authuser=0&hl=id&entry=ttu","117.5017961","2.1496702","Plus Codes","4GX2+VP Karang Ambun, Kabupaten Berau, Kalimantan Timur"
"TIKI",4.3,14,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI/data=!4m7!3m6!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8!19sChIJ9XbHHq_1DTIRpZmocH2FfnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI/@2.1542946,117.4952379,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8?authuser=0&hl=id&entry=ttu","117.4952379","2.1542946","Alamat","Jl. R.A. Kartini No.Rt. 02, Tj. Redeb, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77311"
"TIKI",4.3,14,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI/data=!4m7!3m6!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8!19sChIJ9XbHHq_1DTIRpZmocH2FfnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI/@2.1542946,117.4952379,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8?authuser=0&hl=id&entry=ttu","117.4952379","2.1542946","Situs Web","tiki.id"
"TIKI",4.3,14,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI/data=!4m7!3m6!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8!19sChIJ9XbHHq_1DTIRpZmocH2FfnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI/@2.1542946,117.4952379,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8?authuser=0&hl=id&entry=ttu","117.4952379","2.1542946","Telepon","0852-4606-0530"
"TIKI",4.3,14,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI/data=!4m7!3m6!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8!19sChIJ9XbHHq_1DTIRpZmocH2FfnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI/@2.1542946,117.4952379,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5af1ec776f5:0x747e857d70a899a5!8m2!3d2.1542946!4d117.4952379!16s%2Fg%2F11c5hkdml8?authuser=0&hl=id&entry=ttu","117.4952379","2.1542946","Plus Codes","5F3W+P3 Tj. Redeb, Kabupaten Berau, Kalimantan Timur"
"Gerai Tiki Berau S001",1.3,6,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Berau+S001/data=!4m7!3m6!1s0x320df4a455555555:0xdf357b696c461ea0!8m2!3d2.1184524!4d117.5349086!16s%2Fg%2F1ptyk0yqq!19sChIJVVVVVaT0DTIRoB5GbGl7Nd8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Berau+S001/@2.1184524,117.5349086,14z/data=!3m1!4b1!4m6!3m5!1s0x320df4a455555555:0xdf357b696c461ea0!8m2!3d2.1184524!4d117.5349086!16s%2Fg%2F1ptyk0yqq?authuser=0&hl=id&entry=ttu","117.5349086","2.1184524","Alamat","Jl. H Isa Ii No.218 [ Samping Losmen Srikandi ] Tanjung Redeb, Berau, Tanjung Redeb, Sambaliung, Kec. Sambaliung, Kabupaten Berau, Kalimantan Timur 77312"
"Gerai Tiki Berau S001",1.3,6,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Berau+S001/data=!4m7!3m6!1s0x320df4a455555555:0xdf357b696c461ea0!8m2!3d2.1184524!4d117.5349086!16s%2Fg%2F1ptyk0yqq!19sChIJVVVVVaT0DTIRoB5GbGl7Nd8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Berau+S001/@2.1184524,117.5349086,14z/data=!3m1!4b1!4m6!3m5!1s0x320df4a455555555:0xdf357b696c461ea0!8m2!3d2.1184524!4d117.5349086!16s%2Fg%2F1ptyk0yqq?authuser=0&hl=id&entry=ttu","117.5349086","2.1184524","Telepon","(0554) 22047"
