"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI CIANJUR PASIR HAYAM NO. 42",2.6,236,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/data=!4m7!3m6!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3!19sChIJFXamXxVSaC4RrLnAieLIjYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/@-6.8444277,107.1246025,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3?authuser=0&hl=id&entry=ttu","107.1246025","-6.8444277","Alamat","544F+6RH, Jl. Raya Sukabumi, Rancagoong, Kec. Cilaku, Kabupaten Cianjur, Jawa Barat 43285"
"TIKI CIANJUR PASIR HAYAM NO. 42",2.6,236,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/data=!4m7!3m6!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3!19sChIJFXamXxVSaC4RrLnAieLIjYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/@-6.8444277,107.1246025,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3?authuser=0&hl=id&entry=ttu","107.1246025","-6.8444277","Situs Web","tiki.id"
"TIKI CIANJUR PASIR HAYAM NO. 42",2.6,236,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/data=!4m7!3m6!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3!19sChIJFXamXxVSaC4RrLnAieLIjYs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+CIANJUR+PASIR+HAYAM+NO.+42/@-6.8444277,107.1246025,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6852155fa67615:0x8b8dc8e289c0b9ac!8m2!3d-6.8444277!4d107.1246025!16s%2Fg%2F11g6xpplr3?authuser=0&hl=id&entry=ttu","107.1246025","-6.8444277","Telepon","(0263) 282178"
""" TIKI CIanjur 1 """,5,1,"unknown","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/data=!4m7!3m6!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq!19sChIJoYeUSrVTaC4R_Pce02g8T4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/@-6.818455,107.1387676,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq?authuser=0&hl=id&entry=ttu","107.1387676","-6.818455","Alamat","Jl. Taifur Yusuf No.52, Bojongherang, Kec. Cianjur, Kabupaten Cianjur, Jawa Barat 43211"
""" TIKI CIanjur 1 """,5,1,"unknown","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/data=!4m7!3m6!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq!19sChIJoYeUSrVTaC4R_Pce02g8T4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/@-6.818455,107.1387676,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq?authuser=0&hl=id&entry=ttu","107.1387676","-6.818455","Telepon","(0263) 2910092"
""" TIKI CIanjur 1 """,5,1,"unknown","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/data=!4m7!3m6!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq!19sChIJoYeUSrVTaC4R_Pce02g8T4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/%22+TIKI+CIanjur+1+%22/@-6.818455,107.1387676,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6853b54a9487a1:0x894f3c68d31ef7fc!8m2!3d-6.818455!4d107.1387676!16s%2Fg%2F11g1y4yhyq?authuser=0&hl=id&entry=ttu","107.1387676","-6.818455","Plus Codes","54JQ+JG Bojongherang, Kabupaten Cianjur, Jawa Barat"
"Gerai Tiki Cianjur 37",2.5,4,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Cianjur+37/data=!4m7!3m6!1s0x2e6854eef9dddb8d:0x6aaf258e311f84c5!8m2!3d-6.8057691!4d107.2275087!16s%2Fg%2F1ptvrqmyj!19sChIJjdvd-e5UaC4RxYQfMY4lr2o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Cianjur+37/@-6.8057691,107.2275087,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6854eef9dddb8d:0x6aaf258e311f84c5!8m2!3d-6.8057691!4d107.2275087!16s%2Fg%2F1ptvrqmyj?authuser=0&hl=id&entry=ttu","107.2275087","-6.8057691","Alamat","Jl. Ry Bandung No 82, Ciranjang, Cianjur, Jawa Barat 43282"
"Gerai Tiki Cianjur 37",2.5,4,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Cianjur+37/data=!4m7!3m6!1s0x2e6854eef9dddb8d:0x6aaf258e311f84c5!8m2!3d-6.8057691!4d107.2275087!16s%2Fg%2F1ptvrqmyj!19sChIJjdvd-e5UaC4RxYQfMY4lr2o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Cianjur+37/@-6.8057691,107.2275087,12z/data=!3m1!4b1!4m6!3m5!1s0x2e6854eef9dddb8d:0x6aaf258e311f84c5!8m2!3d-6.8057691!4d107.2275087!16s%2Fg%2F1ptvrqmyj?authuser=0&hl=id&entry=ttu","107.2275087","-6.8057691","Telepon","(0263) 5299970"
"tiki siliwangi 44 cianjur",4.6,11,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/tiki+siliwangi+44+cianjur/data=!4m7!3m6!1s0x2e6852577b8a8d47:0x2d4e83fd1de4c00d!8m2!3d-6.8251633!4d107.1370112!16s%2Fg%2F11dyn8jf2b!19sChIJR42Ke1dSaC4RDcDkHf2DTi0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/tiki+siliwangi+44+cianjur/@-6.8251633,107.1370112,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6852577b8a8d47:0x2d4e83fd1de4c00d!8m2!3d-6.8251633!4d107.1370112!16s%2Fg%2F11dyn8jf2b?authuser=0&hl=id&entry=ttu","107.1370112","-6.8251633","Alamat","54FP+WRJ, Gang Apel I, Sawah Gede, Cianjur, Cianjur Regency, West Java 43212"
"tiki siliwangi 44 cianjur",4.6,11,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/tiki+siliwangi+44+cianjur/data=!4m7!3m6!1s0x2e6852577b8a8d47:0x2d4e83fd1de4c00d!8m2!3d-6.8251633!4d107.1370112!16s%2Fg%2F11dyn8jf2b!19sChIJR42Ke1dSaC4RDcDkHf2DTi0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/tiki+siliwangi+44+cianjur/@-6.8251633,107.1370112,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6852577b8a8d47:0x2d4e83fd1de4c00d!8m2!3d-6.8251633!4d107.1370112!16s%2Fg%2F11dyn8jf2b?authuser=0&hl=id&entry=ttu","107.1370112","-6.8251633","Situs Web","tiki.id"
