"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki Cabang Cirebon",3.7,542,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/data=!4m7!3m6!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx!19sChIJCbtg6PMdby4RACcvLev4NvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/@-6.7304786,108.5403034,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx?authuser=0&hl=id&entry=ttu","108.5403034","-6.7304786","Alamat","Komplek Ruko Permata Hijau, Jl. Brigjen Darsono No.10, Sunyaragi, Kec. Kesambi, Kota Cirebon, Jawa Barat 45132"
"Tiki Cabang Cirebon",3.7,542,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/data=!4m7!3m6!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx!19sChIJCbtg6PMdby4RACcvLev4NvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/@-6.7304786,108.5403034,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx?authuser=0&hl=id&entry=ttu","108.5403034","-6.7304786","Telepon","(0231) 246166"
"Tiki Cabang Cirebon",3.7,542,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/data=!4m7!3m6!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx!19sChIJCbtg6PMdby4RACcvLev4NvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Cirebon/@-6.7304786,108.5403034,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1df3e860bb09:0xf636f8eb2d2f2700!8m2!3d-6.7304786!4d108.5403034!16s%2Fg%2F1tgslhrx?authuser=0&hl=id&entry=ttu","108.5403034","-6.7304786","Plus Codes","7G9R+R4 Sunyaragi, Kota Cirebon, Jawa Barat"
"Tiki Cirebon",2.4,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Tiki+Cirebon/data=!4m7!3m6!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr!19sChIJ5fLttH3ibi4RB2kp_QYmAEU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cirebon/@-6.7205629,108.5673009,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr?authuser=0&hl=id&entry=ttu","108.5673009","-6.7205629","Alamat","Jl. Kanoman No.54, Pekalipan, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45117"
"Tiki Cirebon",2.4,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Tiki+Cirebon/data=!4m7!3m6!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr!19sChIJ5fLttH3ibi4RB2kp_QYmAEU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cirebon/@-6.7205629,108.5673009,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr?authuser=0&hl=id&entry=ttu","108.5673009","-6.7205629","Situs Web","tiki.id"
"Tiki Cirebon",2.4,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Tiki+Cirebon/data=!4m7!3m6!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr!19sChIJ5fLttH3ibi4RB2kp_QYmAEU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cirebon/@-6.7205629,108.5673009,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr?authuser=0&hl=id&entry=ttu","108.5673009","-6.7205629","Telepon","(0231) 246116"
"Tiki Cirebon",2.4,5,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Tiki+Cirebon/data=!4m7!3m6!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr!19sChIJ5fLttH3ibi4RB2kp_QYmAEU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cirebon/@-6.7205629,108.5673009,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6ee27db4edf2e5:0x45002606fd296907!8m2!3d-6.7205629!4d108.5673009!16s%2Fg%2F11gdrg9tpr?authuser=0&hl=id&entry=ttu","108.5673009","-6.7205629","Plus Codes","7HH8+QW Pekalipan, Kota Cirebon, Jawa Barat"
"Tiki",3.5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p!19sChIJ050mUHEdby4RYMbPTZ8a6jI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-6.7486931,108.5413848,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p?authuser=0&hl=id&entry=ttu","108.5413848","-6.7486931","Alamat","Jl. Jendral Ahmad Yani No.14, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143"
"Tiki",3.5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p!19sChIJ050mUHEdby4RYMbPTZ8a6jI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-6.7486931,108.5413848,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p?authuser=0&hl=id&entry=ttu","108.5413848","-6.7486931","Telepon","(0231) 3371165"
"Tiki",3.5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p!19sChIJ050mUHEdby4RYMbPTZ8a6jI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-6.7486931,108.5413848,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f1d7150269dd3:0x32ea1a9f4dcfc660!8m2!3d-6.7486931!4d108.5413848!16s%2Fg%2F12vqlrw6p?authuser=0&hl=id&entry=ttu","108.5413848","-6.7486931","Plus Codes","7G2R+GH Harjamukti, Kota Cirebon, Jawa Barat"
