"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Agen Tanjung Morawa Deli Serdang",2.3,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/data=!4m7!3m6!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t!19sChIJR-fUJPA5MTARoECqZBj-13s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/@3.5232239,98.7909748,17z/data=!3m1!4b1!4m6!3m5!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t?authuser=0&hl=id&entry=ttu","98.7909748","3.5232239","Alamat","Jl. Raya Medan No.KM 17,5, Bandar Labuhan, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20362"
"TIKI Agen Tanjung Morawa Deli Serdang",2.3,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/data=!4m7!3m6!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t!19sChIJR-fUJPA5MTARoECqZBj-13s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/@3.5232239,98.7909748,17z/data=!3m1!4b1!4m6!3m5!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t?authuser=0&hl=id&entry=ttu","98.7909748","3.5232239","Telepon","0852-9729-1079"
"TIKI Agen Tanjung Morawa Deli Serdang",2.3,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/data=!4m7!3m6!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t!19sChIJR-fUJPA5MTARoECqZBj-13s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Tanjung+Morawa+Deli+Serdang/@3.5232239,98.7909748,17z/data=!3m1!4b1!4m6!3m5!1s0x303139f024d4e747:0x7bd7fe1864aa40a0!8m2!3d3.5232239!4d98.7909748!16s%2Fg%2F12vszbk9t?authuser=0&hl=id&entry=ttu","98.7909748","3.5232239","Plus Codes","GQFR+79 Bandar Labuhan, Kabupaten Deli Serdang, Sumatera Utara"
"Tiki",5,1,"Tutup sementara","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x30313adce3a0fab9:0x3d31dc48a9491781!8m2!3d3.5063767!4d98.6788197!16s%2Fg%2F11bt_jy9cx!19sChIJufqg49w6MTARgRdJqUjcMT0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@3.5063767,98.6788197,17z/data=!3m1!4b1!4m6!3m5!1s0x30313adce3a0fab9:0x3d31dc48a9491781!8m2!3d3.5063767!4d98.6788197!16s%2Fg%2F11bt_jy9cx?authuser=0&hl=id&entry=ttu","98.6788197","3.5063767","Alamat","GM4H+HG4, Jalan, Deli Tua, Deli Serdang Regency, North Sumatra 20355"
"Tiki",2.6,25,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x303148619dcdf4f9:0xba44c6b153fcc6fd!8m2!3d3.5542201!4d98.8769699!16s%2Fg%2F1hm4sxlpx!19sChIJ-fTNnWFIMTAR_cb8U7HGRLo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@3.5542201,98.8769699,17z/data=!3m1!4b1!4m6!3m5!1s0x303148619dcdf4f9:0xba44c6b153fcc6fd!8m2!3d3.5542201!4d98.8769699!16s%2Fg%2F1hm4sxlpx?authuser=0&hl=id&entry=ttu","98.8769699","3.5542201","Alamat","Jl. Medan - Lubuk Pakam No.31, Tj. Garbus Satu, Kec. Lubuk Pakam, Kabupaten Deli Serdang, Sumatera Utara 20518"
"Tiki",2.6,25,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x303148619dcdf4f9:0xba44c6b153fcc6fd!8m2!3d3.5542201!4d98.8769699!16s%2Fg%2F1hm4sxlpx!19sChIJ-fTNnWFIMTAR_cb8U7HGRLo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@3.5542201,98.8769699,17z/data=!3m1!4b1!4m6!3m5!1s0x303148619dcdf4f9:0xba44c6b153fcc6fd!8m2!3d3.5542201!4d98.8769699!16s%2Fg%2F1hm4sxlpx?authuser=0&hl=id&entry=ttu","98.8769699","3.5542201","Plus Codes","HV3G+MQ Tj. Garbus Satu, Kabupaten Deli Serdang, Sumatera Utara"
"Tiki Kualanamu deliserdang",5,1,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Kualanamu+deliserdang/data=!4m7!3m6!1s0x303137f11697215d:0x6dbf2561b1a25c43!8m2!3d3.5837031!4d98.8034002!16s%2Fg%2F11rs2_j6q1!19sChIJXSGXFvE3MTARQ1yisWElv20?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Kualanamu+deliserdang/@3.5837031,98.8034002,17z/data=!3m1!4b1!4m6!3m5!1s0x303137f11697215d:0x6dbf2561b1a25c43!8m2!3d3.5837031!4d98.8034002!16s%2Fg%2F11rs2_j6q1?authuser=0&hl=id&entry=ttu","98.8034002","3.5837031","Alamat","Jl. Sultan Serdang No.17, Bangun Sari Baru, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20372"
"Tiki Kualanamu deliserdang",5,1,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Kualanamu+deliserdang/data=!4m7!3m6!1s0x303137f11697215d:0x6dbf2561b1a25c43!8m2!3d3.5837031!4d98.8034002!16s%2Fg%2F11rs2_j6q1!19sChIJXSGXFvE3MTARQ1yisWElv20?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Kualanamu+deliserdang/@3.5837031,98.8034002,17z/data=!3m1!4b1!4m6!3m5!1s0x303137f11697215d:0x6dbf2561b1a25c43!8m2!3d3.5837031!4d98.8034002!16s%2Fg%2F11rs2_j6q1?authuser=0&hl=id&entry=ttu","98.8034002","3.5837031","Plus Codes","HRM3+F9 Bangun Sari Baru, Kabupaten Deli Serdang, Sumatera Utara"
"Tiki",4.2,5,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x3031313704f1cdc1:0x7aaef06b45196e91!8m2!3d3.5970829!4d98.7385956!16s%2Fg%2F11bzrp_8c1!19sChIJwc3xBDcxMTARkW4ZRWvwrno?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@3.5970829,98.7385956,17z/data=!3m1!4b1!4m6!3m5!1s0x3031313704f1cdc1:0x7aaef06b45196e91!8m2!3d3.5970829!4d98.7385956!16s%2Fg%2F11bzrp_8c1?authuser=0&hl=id&entry=ttu","98.7385956","3.5970829","Alamat","Jl. Letda Sujono No.445, Bandar Khalipah, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371"
"Tiki",4.2,5,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x3031313704f1cdc1:0x7aaef06b45196e91!8m2!3d3.5970829!4d98.7385956!16s%2Fg%2F11bzrp_8c1!19sChIJwc3xBDcxMTARkW4ZRWvwrno?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@3.5970829,98.7385956,17z/data=!3m1!4b1!4m6!3m5!1s0x3031313704f1cdc1:0x7aaef06b45196e91!8m2!3d3.5970829!4d98.7385956!16s%2Fg%2F11bzrp_8c1?authuser=0&hl=id&entry=ttu","98.7385956","3.5970829","Plus Codes","HPWQ+RC Tembung, Kota Medan, Sumatera Utara"
"Tiki cabang bantu",5,1,"Tutup sementara","https://www.google.com/maps/place/Tiki+cabang+bantu/data=!4m7!3m6!1s0x30313d4c481c1ac3:0x61d841bf1ffa330!8m2!3d3.4415078!4d98.710791!16s%2Fg%2F11j34lf674!19sChIJwxocSEw9MTARMKP_8RuEHQY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+cabang+bantu/@3.4415078,98.710791,17z/data=!3m1!4b1!4m6!3m5!1s0x30313d4c481c1ac3:0x61d841bf1ffa330!8m2!3d3.4415078!4d98.710791!16s%2Fg%2F11j34lf674?authuser=0&hl=id&entry=ttu","98.710791","3.4415078","Alamat","Jl. Patumbak Deli Tua No.5, Namo Suro Baru, Kec. Sibiru-biru, Kabupaten Deli Serdang, Sumatera Utara 20361"
