"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Gunung Mas",4.6,7,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/TIKI+Gunung+Mas/data=!4m7!3m6!1s0x2dfea7bc7a4bf16b:0x4b2ae89acecd9e17!8m2!3d-1.1060743!4d113.8680755!16s%2Fg%2F11gmfyff5m!19sChIJa_FLeryn_i0RF57NzproKks?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gunung+Mas/@-1.1060743,113.8680755,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea7bc7a4bf16b:0x4b2ae89acecd9e17!8m2!3d-1.1060743!4d113.8680755!16s%2Fg%2F11gmfyff5m?authuser=0&hl=id&entry=ttu","113.8680755","-1.1060743","Alamat","VVV9+H6G, Jl. Dambung Tahunjung, Kuala Kurun, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah 74571"
"TIKI Gunung Mas",4.6,7,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/TIKI+Gunung+Mas/data=!4m7!3m6!1s0x2dfea7bc7a4bf16b:0x4b2ae89acecd9e17!8m2!3d-1.1060743!4d113.8680755!16s%2Fg%2F11gmfyff5m!19sChIJa_FLeryn_i0RF57NzproKks?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gunung+Mas/@-1.1060743,113.8680755,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfea7bc7a4bf16b:0x4b2ae89acecd9e17!8m2!3d-1.1060743!4d113.8680755!16s%2Fg%2F11gmfyff5m?authuser=0&hl=id&entry=ttu","113.8680755","-1.1060743","Telepon","0812-5899-4242"
"TIKI Agen Komp Pantai Mas Permai",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/data=!4m7!3m6!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2!19sChIJVVVVVQJH8S0RqMKBfemfjRE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/@-1.2686138,116.8410029,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2?authuser=0&hl=id&entry=ttu","116.8410029","-1.2686138","Alamat","Jl. Jend Sudirman Komp Pantai Mas Permai Blok A No., Gunungsari Ilir, Balikpapan Tengah, Balikpapan City, East Kalimantan 76113"
"TIKI Agen Komp Pantai Mas Permai",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/data=!4m7!3m6!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2!19sChIJVVVVVQJH8S0RqMKBfemfjRE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/@-1.2686138,116.8410029,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2?authuser=0&hl=id&entry=ttu","116.8410029","-1.2686138","Telepon","(0542) 7041886"
"TIKI Agen Komp Pantai Mas Permai",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/data=!4m7!3m6!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2!19sChIJVVVVVQJH8S0RqMKBfemfjRE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Komp+Pantai+Mas+Permai/@-1.2686138,116.8410029,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470255555555:0x118d9fe97d81c2a8!8m2!3d-1.2686138!4d116.8410029!16s%2Fg%2F1pp2tx7v2?authuser=0&hl=id&entry=ttu","116.8410029","-1.2686138","Plus Codes","PRJR+HC Gunungsari Ilir, Kota Balikpapan, Kalimantan Timur"
"TIKI Agen Bola Mas-pandan Sari",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/data=!4m7!3m6!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j!19sChIJD4rN3_xG8S0Rf5xNqNgt0_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/@-1.261024,116.8470445,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j?authuser=0&hl=id&entry=ttu","116.8470445","-1.261024","Alamat","Jl. Pandan Sari, Gunungsari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76131"
"TIKI Agen Bola Mas-pandan Sari",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/data=!4m7!3m6!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j!19sChIJD4rN3_xG8S0Rf5xNqNgt0_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/@-1.261024,116.8470445,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j?authuser=0&hl=id&entry=ttu","116.8470445","-1.261024","Telepon","(0542) 7117110"
"TIKI Agen Bola Mas-pandan Sari",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/data=!4m7!3m6!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j!19sChIJD4rN3_xG8S0Rf5xNqNgt0_E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+Bola+Mas-pandan+Sari/@-1.261024,116.8470445,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146fcdfcd8a0f:0xf1d32dd8a84d9c7f!8m2!3d-1.261024!4d116.8470445!16s%2Fg%2F1pp2tx83j?authuser=0&hl=id&entry=ttu","116.8470445","-1.261024","Plus Codes","PRQW+HR Gunungsari Ulu, Kota Balikpapan, Kalimantan Timur"
"TIKI Agen 90 Gianyar PURIMAS",4.7,12,"Segera tutup ⋅ 15.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Agen+90+Gianyar+PURIMAS/data=!4m7!3m6!1s0x2dd7fab7a318669d:0x750004aa1bbb3c31!8m2!3d-7.3364018!4d112.7890493!16s%2Fg%2F11f3wcmggr!19sChIJnWYYo7f61y0RMTy7G6oEAHU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+90+Gianyar+PURIMAS/@-7.3364018,112.7890493,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fab7a318669d:0x750004aa1bbb3c31!8m2!3d-7.3364018!4d112.7890493!16s%2Fg%2F11f3wcmggr?authuser=0&hl=id&entry=ttu","112.7890493","-7.3364018","Alamat","Perum PURI MAS , Jl. Tanah Lot C1 - 34 ,Gn, Gn. Anyar, Anyar, Surabaya, Jawa Timur 60294"
"TIKI Agen 90 Gianyar PURIMAS",4.7,12,"Segera tutup ⋅ 15.00 ⋅ Buka Sel pukul 08.30","https://www.google.com/maps/place/TIKI+Agen+90+Gianyar+PURIMAS/data=!4m7!3m6!1s0x2dd7fab7a318669d:0x750004aa1bbb3c31!8m2!3d-7.3364018!4d112.7890493!16s%2Fg%2F11f3wcmggr!19sChIJnWYYo7f61y0RMTy7G6oEAHU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Agen+90+Gianyar+PURIMAS/@-7.3364018,112.7890493,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fab7a318669d:0x750004aa1bbb3c31!8m2!3d-7.3364018!4d112.7890493!16s%2Fg%2F11f3wcmggr?authuser=0&hl=id&entry=ttu","112.7890493","-7.3364018","Telepon","0812-3521-616"
