"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki",4.3,8,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg!19sChIJk6Ii38pBKC4Rjc8b68IMa9E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-0.329572,103.1550129,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg?authuser=0&hl=id&entry=ttu","103.1550129","-0.329572","Alamat","Jl. H. Hasan No.12, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29214"
"Tiki",4.3,8,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg!19sChIJk6Ii38pBKC4Rjc8b68IMa9E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-0.329572,103.1550129,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg?authuser=0&hl=id&entry=ttu","103.1550129","-0.329572","Telepon","(0768) 23817"
"Tiki",4.3,8,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg!19sChIJk6Ii38pBKC4Rjc8b68IMa9E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-0.329572,103.1550129,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841cadf22a293:0xd16b0cc2eb1bcf8d!8m2!3d-0.329572!4d103.1550129!16s%2Fg%2F11bc7lw5vg?authuser=0&hl=id&entry=ttu","103.1550129","-0.329572","Plus Codes","M5C4+52 Tembilahan Kota, Kabupaten Indragiri Hilir, Riau"
"GERAI TIKI TRIMAS TEMBILAHAN RIAU",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/data=!4m7!3m6!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y!19sChIJSQDvTd1BKC4RbkzBFsQbnZA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/@-0.3169363,103.1532967,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y?authuser=0&hl=id&entry=ttu","103.1532967","-0.3169363","Alamat","Jl. Trimas Jl. Mataram 1 No.102, RT.002/RW.016, Tembilahan Kota, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29121"
"GERAI TIKI TRIMAS TEMBILAHAN RIAU",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/data=!4m7!3m6!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y!19sChIJSQDvTd1BKC4RbkzBFsQbnZA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/@-0.3169363,103.1532967,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y?authuser=0&hl=id&entry=ttu","103.1532967","-0.3169363","Telepon","0853-7626-8546"
"GERAI TIKI TRIMAS TEMBILAHAN RIAU",5,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/data=!4m7!3m6!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y!19sChIJSQDvTd1BKC4RbkzBFsQbnZA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/GERAI+TIKI+TRIMAS+TEMBILAHAN+RIAU/@-0.3169363,103.1532967,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2841dd4def0049:0x909d1bc416c14c6e!8m2!3d-0.3169363!4d103.1532967!16s%2Fg%2F11h_8t6f6y?authuser=0&hl=id&entry=ttu","103.1532967","-0.3169363","Plus Codes","M5M3+68 Tembilahan Kota, Kabupaten Indragiri Hilir, Riau"
"Tiki Cyber Nugraha Tembilahan",3.2,6,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/data=!4m7!3m6!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj!19sChIJdYxj2xlAKC4RoKOnW-5kQr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/@-0.3061889,103.1618768,17z/data=!3m1!4b1!4m6!3m5!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj?authuser=0&hl=id&entry=ttu","103.1618768","-0.3061889","Alamat","M5V6+GQC, Sungai Beringin, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29281"
"Tiki Cyber Nugraha Tembilahan",3.2,6,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/data=!4m7!3m6!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj!19sChIJdYxj2xlAKC4RoKOnW-5kQr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/@-0.3061889,103.1618768,17z/data=!3m1!4b1!4m6!3m5!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj?authuser=0&hl=id&entry=ttu","103.1618768","-0.3061889","Situs Web","tiki.id"
"Tiki Cyber Nugraha Tembilahan",3.2,6,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/data=!4m7!3m6!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj!19sChIJdYxj2xlAKC4RoKOnW-5kQr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cyber+Nugraha+Tembilahan/@-0.3061889,103.1618768,17z/data=!3m1!4b1!4m6!3m5!1s0x2e284019db638c75:0xbe4264ee5ba7a3a0!8m2!3d-0.3061889!4d103.1618768!16s%2Fg%2F11f_c0bynj?authuser=0&hl=id&entry=ttu","103.1618768","-0.3061889","Telepon","0813-7129-2881"
"Tiki Cyber Nugraha",NA,NA,"unknown","https://www.google.com/maps/place/Tiki+Cyber+Nugraha/data=!4m7!3m6!1s0x2e283fff1210644b:0xf68c2933c3f3d6a4!8m2!3d-0.2902745!4d103.1703094!16s%2Fg%2F11gdv147_9!19sChIJS2QQEv8_KC4RpNbzwzMpjPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cyber+Nugraha/@-0.2902745,103.1703094,17z/data=!3m1!4b1!4m6!3m5!1s0x2e283fff1210644b:0xf68c2933c3f3d6a4!8m2!3d-0.2902745!4d103.1703094!16s%2Fg%2F11gdv147_9?authuser=0&hl=id&entry=ttu","103.1703094","-0.2902745","Alamat","P55C+V4V, Jl. Sungai Beringin, Sungai Beringin, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29281"
