"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Airmolek",3.1,15,"Buka 24 jam","https://www.google.com/maps/place/TIKI+Airmolek/data=!4m7!3m6!1s0x2e299185392eabfd:0x1699e75da9a1075e!8m2!3d-0.3746381!4d102.2907376!16s%2Fg%2F11c1wymbkj!19sChIJ_asuOYWRKS4RXgehqV3nmRY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Airmolek/@-0.3746381,102.2907376,17z/data=!3m1!4b1!4m6!3m5!1s0x2e299185392eabfd:0x1699e75da9a1075e!8m2!3d-0.3746381!4d102.2907376!16s%2Fg%2F11c1wymbkj?authuser=0&hl=id&entry=ttu","102.2907376","-0.3746381","Alamat","J7GR+47X, Air Molek II, Kec. Pasir Penyu, Kabupaten Indragiri Hulu, Riau 29353"
"Jasa Pengiriman TIKI",3,8,"unknown","https://www.google.com/maps/place/Jasa+Pengiriman+TIKI/data=!4m7!3m6!1s0x2e299627cec8514b:0x36ade2eae0577fec!8m2!3d-0.3928143!4d102.4356151!16s%2Fg%2F11d_803tkw!19sChIJS1HIzieWKS4R7H9X4OrirTY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jasa+Pengiriman+TIKI/@-0.3928143,102.4356151,17z/data=!3m1!4b1!4m6!3m5!1s0x2e299627cec8514b:0x36ade2eae0577fec!8m2!3d-0.3928143!4d102.4356151!16s%2Fg%2F11d_803tkw?authuser=0&hl=id&entry=ttu","102.4356151","-0.3928143","Alamat","JC4P+V6H, Jl. Lintas Sumatra, Pematang Reba, Kec. Rengat Bar., Kabupaten Indragiri Hulu, Riau 29351"
"Jasa Pengiriman TIKI",3,8,"unknown","https://www.google.com/maps/place/Jasa+Pengiriman+TIKI/data=!4m7!3m6!1s0x2e299627cec8514b:0x36ade2eae0577fec!8m2!3d-0.3928143!4d102.4356151!16s%2Fg%2F11d_803tkw!19sChIJS1HIzieWKS4R7H9X4OrirTY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jasa+Pengiriman+TIKI/@-0.3928143,102.4356151,17z/data=!3m1!4b1!4m6!3m5!1s0x2e299627cec8514b:0x36ade2eae0577fec!8m2!3d-0.3928143!4d102.4356151!16s%2Fg%2F11d_803tkw?authuser=0&hl=id&entry=ttu","102.4356151","-0.3928143","Telepon","0852-7200-3380"
"Gerai Tiki Rengat",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Rengat/data=!4m7!3m6!1s0x2e29a6b400000001:0x376232ae567bfccd!8m2!3d-0.527092!4d102.5355393!16s%2Fg%2F1pty0flsn!19sChIJAQAAALSmKS4Rzfx7Vq4yYjc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Rengat/@-0.527092,102.5355393,12z/data=!3m1!4b1!4m6!3m5!1s0x2e29a6b400000001:0x376232ae567bfccd!8m2!3d-0.527092!4d102.5355393!16s%2Fg%2F1pty0flsn?authuser=0&hl=id&entry=ttu","102.5355393","-0.527092","Alamat","Jl. Hangtuah 32 Simpang Lima, Paya Rumbai, Kec. Rengat, Kabupaten Indragiri Hulu, Riau 29318"
"Gerai Tiki Rengat",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Rengat/data=!4m7!3m6!1s0x2e29a6b400000001:0x376232ae567bfccd!8m2!3d-0.527092!4d102.5355393!16s%2Fg%2F1pty0flsn!19sChIJAQAAALSmKS4Rzfx7Vq4yYjc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Rengat/@-0.527092,102.5355393,12z/data=!3m1!4b1!4m6!3m5!1s0x2e29a6b400000001:0x376232ae567bfccd!8m2!3d-0.527092!4d102.5355393!16s%2Fg%2F1pty0flsn?authuser=0&hl=id&entry=ttu","102.5355393","-0.527092","Telepon","(021) 4704979"
"TIKI RENGAT",4.8,5,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+RENGAT/data=!4m7!3m6!1s0x2e29bbe44fa5f021:0x43a635a4ba70a8f8!8m2!3d-0.3722168!4d102.5450541!16s%2Fg%2F11c31r0ky1!19sChIJIfClT-S7KS4R-KhwuqQ1pkM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+RENGAT/@-0.3722168,102.5450541,17z/data=!3m1!4b1!4m6!3m5!1s0x2e29bbe44fa5f021:0x43a635a4ba70a8f8!8m2!3d-0.3722168!4d102.5450541!16s%2Fg%2F11c31r0ky1?authuser=0&hl=id&entry=ttu","102.5450541","-0.3722168","Alamat","JGHW+427, Jl. Bupati Tulus, Sekip Hulu, Kec. Rengat, Kabupaten Indragiri Hulu, Riau 29319"
"TIKI RENGAT",4.8,5,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+RENGAT/data=!4m7!3m6!1s0x2e29bbe44fa5f021:0x43a635a4ba70a8f8!8m2!3d-0.3722168!4d102.5450541!16s%2Fg%2F11c31r0ky1!19sChIJIfClT-S7KS4R-KhwuqQ1pkM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+RENGAT/@-0.3722168,102.5450541,17z/data=!3m1!4b1!4m6!3m5!1s0x2e29bbe44fa5f021:0x43a635a4ba70a8f8!8m2!3d-0.3722168!4d102.5450541!16s%2Fg%2F11c31r0ky1?authuser=0&hl=id&entry=ttu","102.5450541","-0.3722168","Situs Web","lacako.com"
"TIKI PEMATANG REBA SUB CABANG INDRAGIRI",NA,NA,"unknown","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/data=!4m7!3m6!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2!19sChIJNc4JYueXKS4RDC9ZAoTsUZ0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/@-0.3928017,102.4356139,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2?authuser=0&hl=id&entry=ttu","102.4356139","-0.3928017","Alamat","samping bank BRI, Jl. Lintas Sumatra, Pematang Reba, Kec. Rengat Bar., Kabupaten Indragiri Hulu, Riau 29351"
"TIKI PEMATANG REBA SUB CABANG INDRAGIRI",NA,NA,"unknown","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/data=!4m7!3m6!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2!19sChIJNc4JYueXKS4RDC9ZAoTsUZ0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/@-0.3928017,102.4356139,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2?authuser=0&hl=id&entry=ttu","102.4356139","-0.3928017","Telepon","0812-6112-2600"
"TIKI PEMATANG REBA SUB CABANG INDRAGIRI",NA,NA,"unknown","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/data=!4m7!3m6!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2!19sChIJNc4JYueXKS4RDC9ZAoTsUZ0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+PEMATANG+REBA+SUB+CABANG+INDRAGIRI/@-0.3928017,102.4356139,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2997e76209ce35:0x9d51ec8402592f0c!8m2!3d-0.3928017!4d102.4356139!16s%2Fg%2F11p3hlpbs2?authuser=0&hl=id&entry=ttu","102.4356139","-0.3928017","Plus Codes","JC4P+V6 Pematang Reba, Kabupaten Indragiri Hulu, Riau"
