"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki",2.6,28,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg!19sChIJm7EieyCJJS4RcH-z8Tj8sBo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.5907096,103.6155159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg?authuser=0&hl=id&entry=ttu","103.6155159","-1.5907096","Alamat","JL. MR. Roem No.39, Ps. Jambi, Kec. Ps. Jambi, Kota Jambi, Jambi 36123"
"Tiki",2.6,28,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg!19sChIJm7EieyCJJS4RcH-z8Tj8sBo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.5907096,103.6155159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg?authuser=0&hl=id&entry=ttu","103.6155159","-1.5907096","Telepon","(0741) 35013"
"Tiki",2.6,28,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg!19sChIJm7EieyCJJS4RcH-z8Tj8sBo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.5907096,103.6155159,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2589207b22b19b:0x1ab0fc38f1b37f70!8m2!3d-1.5907096!4d103.6155159!16s%2Fg%2F1pzpp1nvg?authuser=0&hl=id&entry=ttu","103.6155159","-1.5907096","Plus Codes","CJ58+P6 Ps. Jambi, Kota Jambi, Jambi"
"TIKI Jelutung",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Jelutung/data=!4m7!3m6!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k!19sChIJLSWZAlqJJS4R6odB2ksh-rk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jelutung/@-1.6111384,103.6156407,17z/data=!3m1!4b1!4m6!3m5!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k?authuser=0&hl=id&entry=ttu","103.6156407","-1.6111384","Alamat","Jl. Hayam Wuruk No.231, Jelutung, Kec. Jelutung, Kota Jambi, Jambi 36136"
"TIKI Jelutung",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Jelutung/data=!4m7!3m6!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k!19sChIJLSWZAlqJJS4R6odB2ksh-rk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jelutung/@-1.6111384,103.6156407,17z/data=!3m1!4b1!4m6!3m5!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k?authuser=0&hl=id&entry=ttu","103.6156407","-1.6111384","Telepon","0851-0615-7888"
"TIKI Jelutung",5,2,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/TIKI+Jelutung/data=!4m7!3m6!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k!19sChIJLSWZAlqJJS4R6odB2ksh-rk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Jelutung/@-1.6111384,103.6156407,17z/data=!3m1!4b1!4m6!3m5!1s0x2e25895a0299252d:0xb9fa214bda4187ea!8m2!3d-1.6111384!4d103.6156407!16s%2Fg%2F11gmcxlb7k?authuser=0&hl=id&entry=ttu","103.6156407","-1.6111384","Plus Codes","9JQ8+G7 Jelutung, Kota Jambi, Jambi"
"Gerai TIKI Jambi 050",4.5,4,"Buka 24 jam","https://www.google.com/maps/place/Gerai+TIKI+Jambi+050/data=!4m7!3m6!1s0x2e2587b78254e7a9:0x2aa364e10e053986!8m2!3d-1.6390587!4d103.5802714!16s%2Fg%2F11f2ds07l9!19sChIJqedUgreHJS4RhjkFDuFkoyo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Jambi+050/@-1.6390587,103.5802714,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2587b78254e7a9:0x2aa364e10e053986!8m2!3d-1.6390587!4d103.5802714!16s%2Fg%2F11f2ds07l9?authuser=0&hl=id&entry=ttu","103.5802714","-1.6390587","Alamat","9H6J+94C, Jl. Sk. Rd. Syahbudin, Mayang Mangurai, Kec. Kota Baru, Kota Jambi, Jambi 36129"
"Gerai TIKI Jambi 050",4.5,4,"Buka 24 jam","https://www.google.com/maps/place/Gerai+TIKI+Jambi+050/data=!4m7!3m6!1s0x2e2587b78254e7a9:0x2aa364e10e053986!8m2!3d-1.6390587!4d103.5802714!16s%2Fg%2F11f2ds07l9!19sChIJqedUgreHJS4RhjkFDuFkoyo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Jambi+050/@-1.6390587,103.5802714,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2587b78254e7a9:0x2aa364e10e053986!8m2!3d-1.6390587!4d103.5802714!16s%2Fg%2F11f2ds07l9?authuser=0&hl=id&entry=ttu","103.5802714","-1.6390587","Telepon","0812-7679-045"
"Gerai Tiki 06 Jambi",NA,NA,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/Gerai+Tiki+06+Jambi/data=!4m7!3m6!1s0x2e258945c3af1c29:0x22516533bf0b3112!8m2!3d-1.6057561!4d103.6048757!16s%2Fg%2F11r36d8dws!19sChIJKRyvw0WJJS4REjELvzNlUSI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+06+Jambi/@-1.6057561,103.6048757,17z/data=!3m1!4b1!4m6!3m5!1s0x2e258945c3af1c29:0x22516533bf0b3112!8m2!3d-1.6057561!4d103.6048757!16s%2Fg%2F11r36d8dws?authuser=0&hl=id&entry=ttu","103.6048757","-1.6057561","Alamat","Jl. Prof. DR. Moh. Yamin No.15 Rt 13/04, Payo Lebar, Kec. Jelutung, Kota Jambi, Jambi 36135"
"Gerai Tiki 06 Jambi",NA,NA,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/Gerai+Tiki+06+Jambi/data=!4m7!3m6!1s0x2e258945c3af1c29:0x22516533bf0b3112!8m2!3d-1.6057561!4d103.6048757!16s%2Fg%2F11r36d8dws!19sChIJKRyvw0WJJS4REjELvzNlUSI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+06+Jambi/@-1.6057561,103.6048757,17z/data=!3m1!4b1!4m6!3m5!1s0x2e258945c3af1c29:0x22516533bf0b3112!8m2!3d-1.6057561!4d103.6048757!16s%2Fg%2F11r36d8dws?authuser=0&hl=id&entry=ttu","103.6048757","-1.6057561","Telepon","0813-6600-2121"
