"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Gerai Tiki Bali 024",2.1,30,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/data=!4m7!3m6!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt!19sChIJ8SQkOgNi0S0RLQv21CsU6Zo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/@-8.357265,114.623347,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt?authuser=0&hl=id&entry=ttu","114.623347","-8.357265","Alamat","Jl. Sudirman, Baler Bale Agung, Kec. Negara, Kabupaten Jembrana, Bali 80113"
"Gerai Tiki Bali 024",2.1,30,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/data=!4m7!3m6!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt!19sChIJ8SQkOgNi0S0RLQv21CsU6Zo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/@-8.357265,114.623347,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt?authuser=0&hl=id&entry=ttu","114.623347","-8.357265","Telepon","(0361) 43395"
"Gerai Tiki Bali 024",2.1,30,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/data=!4m7!3m6!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt!19sChIJ8SQkOgNi0S0RLQv21CsU6Zo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+024/@-8.357265,114.623347,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd162033a2424f1:0x9ae9142bd4f60b2d!8m2!3d-8.357265!4d114.623347!16s%2Fg%2F1yfh_k2pt?authuser=0&hl=id&entry=ttu","114.623347","-8.357265","Plus Codes","JJVF+38 Baler Bale Agung, Kabupaten Jembrana, Bali"
"Tiki",NA,NA,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2dd3d41091281de9:0xc1df47cc074c8b82!8m2!3d-8.4207606!4d114.8220671!16s%2Fg%2F11c2pt0qfm!19sChIJ6R0okRDU0y0RgotMB8xH38E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-8.4207606,114.8220671,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d41091281de9:0xc1df47cc074c8b82!8m2!3d-8.4207606!4d114.8220671!16s%2Fg%2F11c2pt0qfm?authuser=0&hl=id&entry=ttu","114.8220671","-8.4207606","Alamat","HRHC+MRW, Pekutatan, Kec. Pekutatan, Kabupaten Jembrana, Bali 82262"
"Gerai Tiki Bali 032",1,1,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/data=!4m7!3m6!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y!19sChIJq6qqqurU0y0RAssLy6_fspI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/@-8.4101126,114.8805135,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y?authuser=0&hl=id&entry=ttu","114.8805135","-8.4101126","Alamat","Jl. Denpasar-Gilimanuk, Pekutatan, Pangyangan, Negara, Kabupaten Jembrana, Bali 82262"
"Gerai Tiki Bali 032",1,1,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/data=!4m7!3m6!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y!19sChIJq6qqqurU0y0RAssLy6_fspI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/@-8.4101126,114.8805135,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y?authuser=0&hl=id&entry=ttu","114.8805135","-8.4101126","Telepon","(021) 4704979"
"Gerai Tiki Bali 032",1,1,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/data=!4m7!3m6!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y!19sChIJq6qqqurU0y0RAssLy6_fspI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+032/@-8.4101126,114.8805135,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd3d4eaaaaaaaab:0x92b2dfafcb0bcb02!8m2!3d-8.4101126!4d114.8805135!16s%2Fg%2F11bbwz3r6y?authuser=0&hl=id&entry=ttu","114.8805135","-8.4101126","Plus Codes","HVQJ+X6 Pangyangan, Kabupaten Jembrana, Bali"
"Tiki Gilimanuk",2,1,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 09.00","https://www.google.com/maps/place/Tiki+Gilimanuk/data=!4m7!3m6!1s0x2dd143b2d8f64367:0x2fc553b9542a3224!8m2!3d-8.1679779!4d114.4363989!16s%2Fg%2F11g_zf4cj4!19sChIJZ0P22LJD0S0RJDIqVLlTxS8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Gilimanuk/@-8.1679779,114.4363989,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd143b2d8f64367:0x2fc553b9542a3224!8m2!3d-8.1679779!4d114.4363989!16s%2Fg%2F11g_zf4cj4?authuser=0&hl=id&entry=ttu","114.4363989","-8.1679779","Alamat","Jl. Gagak No.142, Gilimanuk, Negara, Kabupaten Jembrana, Bali 82252"
"Tiki Gilimanuk",2,1,"Segera tutup ⋅ 17.00 ⋅ Buka Sel pukul 09.00","https://www.google.com/maps/place/Tiki+Gilimanuk/data=!4m7!3m6!1s0x2dd143b2d8f64367:0x2fc553b9542a3224!8m2!3d-8.1679779!4d114.4363989!16s%2Fg%2F11g_zf4cj4!19sChIJZ0P22LJD0S0RJDIqVLlTxS8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Gilimanuk/@-8.1679779,114.4363989,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd143b2d8f64367:0x2fc553b9542a3224!8m2!3d-8.1679779!4d114.4363989!16s%2Fg%2F11g_zf4cj4?authuser=0&hl=id&entry=ttu","114.4363989","-8.1679779","Plus Codes","RCJP+RH Gilimanuk, Kabupaten Jembrana, Bali"
"Tiki Cabang Negara",2,4,"Tutup permanen","https://www.google.com/maps/place/Tiki+Cabang+Negara/data=!4m7!3m6!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4!19sChIJUfbfSENh0S0Rs7CA_QmfgLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Negara/@-8.3560049,114.617313,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4?authuser=0&hl=id&entry=ttu","114.617313","-8.3560049","Alamat","Jl. Udayana No.32-34, Baler Bale Agung, Kec. Negara, Kabupaten Jembrana, Bali 82218"
"Tiki Cabang Negara",2,4,"Tutup permanen","https://www.google.com/maps/place/Tiki+Cabang+Negara/data=!4m7!3m6!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4!19sChIJUfbfSENh0S0Rs7CA_QmfgLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Negara/@-8.3560049,114.617313,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4?authuser=0&hl=id&entry=ttu","114.617313","-8.3560049","Telepon","0878-6124-9601"
"Tiki Cabang Negara",2,4,"Tutup permanen","https://www.google.com/maps/place/Tiki+Cabang+Negara/data=!4m7!3m6!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4!19sChIJUfbfSENh0S0Rs7CA_QmfgLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Cabang+Negara/@-8.3560049,114.617313,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1614348dff651:0xb3809f09fd80b0b3!8m2!3d-8.3560049!4d114.617313!16s%2Fg%2F11g303pyg4?authuser=0&hl=id&entry=ttu","114.617313","-8.3560049","Plus Codes","JJV8+HW Baler Bale Agung, Kabupaten Jembrana, Bali"
