"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI Gerai Taman Sungai Raya (TITIPAN KILAT)",5,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+%28TITIPAN+KILAT%29/data=!4m7!3m6!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373!19sChIJKUwjERZbHS4RehorXCU1M9w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+(TITIPAN+KILAT)/@-0.07993,109.3580511,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373?authuser=0&hl=id&entry=ttu","109.3580511","-0.07993","Alamat","Komp. Taman Sungai Raya No.a18, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat"
"TIKI Gerai Taman Sungai Raya (TITIPAN KILAT)",5,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+%28TITIPAN+KILAT%29/data=!4m7!3m6!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373!19sChIJKUwjERZbHS4RehorXCU1M9w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+(TITIPAN+KILAT)/@-0.07993,109.3580511,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373?authuser=0&hl=id&entry=ttu","109.3580511","-0.07993","Telepon","0852-5200-1117"
"TIKI Gerai Taman Sungai Raya (TITIPAN KILAT)",5,11,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+%28TITIPAN+KILAT%29/data=!4m7!3m6!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373!19sChIJKUwjERZbHS4RehorXCU1M9w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gerai+Taman+Sungai+Raya+(TITIPAN+KILAT)/@-0.07993,109.3580511,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5b1611234c29:0xdc3335255c2b1a7a!8m2!3d-0.07993!4d109.3580511!16s%2Fg%2F11n138l373?authuser=0&hl=id&entry=ttu","109.3580511","-0.07993","Plus Codes","W9C5+26 Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat"
"Gerai Tiki Serdam",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Serdam/data=!4m7!3m6!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l!19sChIJAQAAAFBFHS4RJuxwH6u9r3Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Serdam/@-0.149873,109.3664238,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l?authuser=0&hl=id&entry=ttu","109.3664238","-0.149873","Alamat","Komp.Nilam Permai Jl. Sei Raya Dalam No.B7, Arang Limbung, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78124"
"Gerai Tiki Serdam",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Serdam/data=!4m7!3m6!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l!19sChIJAQAAAFBFHS4RJuxwH6u9r3Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Serdam/@-0.149873,109.3664238,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l?authuser=0&hl=id&entry=ttu","109.3664238","-0.149873","Telepon","(021) 4704979"
"Gerai Tiki Serdam",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Serdam/data=!4m7!3m6!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l!19sChIJAQAAAFBFHS4RJuxwH6u9r3Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Serdam/@-0.149873,109.3664238,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d455000000001:0x76afbdab1f70ec26!8m2!3d-0.149873!4d109.3664238!16s%2Fg%2F1yfh_k33l?authuser=0&hl=id&entry=ttu","109.3664238","-0.149873","Plus Codes","V928+3H Arang Limbung, Kabupaten Kubu Raya, Kalimantan Barat"
"TIKI Gerai Ayani 2",NA,NA,"Tutup sementara","https://www.google.com/maps/place/TIKI+Gerai+Ayani+2/data=!4m7!3m6!1s0x2e1d5b6a39dd9e75:0xbe1f4aacaddbb706!8m2!3d-0.0886135!4d109.3704481!16s%2Fg%2F11n6qb3kfq!19sChIJdZ7dOWpbHS4RBrfbraxKH74?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gerai+Ayani+2/@-0.0886135,109.3704481,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5b6a39dd9e75:0xbe1f4aacaddbb706!8m2!3d-0.0886135!4d109.3704481!16s%2Fg%2F11n6qb3kfq?authuser=0&hl=id&entry=ttu","109.3704481","-0.0886135","Alamat","Jl. Arteri Supadio No.A7, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78117"
"TIKI Gerai Ayani 2",NA,NA,"Tutup sementara","https://www.google.com/maps/place/TIKI+Gerai+Ayani+2/data=!4m7!3m6!1s0x2e1d5b6a39dd9e75:0xbe1f4aacaddbb706!8m2!3d-0.0886135!4d109.3704481!16s%2Fg%2F11n6qb3kfq!19sChIJdZ7dOWpbHS4RBrfbraxKH74?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Gerai+Ayani+2/@-0.0886135,109.3704481,17z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5b6a39dd9e75:0xbe1f4aacaddbb706!8m2!3d-0.0886135!4d109.3704481!16s%2Fg%2F11n6qb3kfq?authuser=0&hl=id&entry=ttu","109.3704481","-0.0886135","Plus Codes","W96C+H5 Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat"
"Gerai Tiki Bali Agung",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+Agung/data=!4m7!3m6!1s0x2e1d5af6aaaaaaab:0x2ff049d81c4658bc!8m2!3d-0.1101525!4d109.3485787!16s%2Fg%2F1pv610v2d!19sChIJq6qqqvZaHS4RvFhGHNhJ8C8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+Agung/@-0.1101525,109.3485787,13z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5af6aaaaaaab:0x2ff049d81c4658bc!8m2!3d-0.1101525!4d109.3485787!16s%2Fg%2F1pv610v2d?authuser=0&hl=id&entry=ttu","109.3485787","-0.1101525","Alamat","Jl. Karya Baru, Komp.Bali Agung 1 Blok B 22, Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat 78121"
"Gerai Tiki Bali Agung",NA,NA,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Bali+Agung/data=!4m7!3m6!1s0x2e1d5af6aaaaaaab:0x2ff049d81c4658bc!8m2!3d-0.1101525!4d109.3485787!16s%2Fg%2F1pv610v2d!19sChIJq6qqqvZaHS4RvFhGHNhJ8C8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Bali+Agung/@-0.1101525,109.3485787,13z/data=!3m1!4b1!4m6!3m5!1s0x2e1d5af6aaaaaaab:0x2ff049d81c4658bc!8m2!3d-0.1101525!4d109.3485787!16s%2Fg%2F1pv610v2d?authuser=0&hl=id&entry=ttu","109.3485787","-0.1101525","Telepon","(0561) 764395"
