"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki Agen S007 Way Urang",2.5,11,"unknown","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/data=!4m7!3m6!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3!19sChIJlXBl8BgQQS4RGI2fEfjzoOI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/@-5.6987815,105.5767493,17z/data=!3m1!4b1!4m6!3m5!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3?authuser=0&hl=id&entry=ttu","105.5767493","-5.6987815","Alamat","Jl. Lintas Sumatra, Kel. Way Urang - Kec. Kalianda, Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35513"
"Tiki Agen S007 Way Urang",2.5,11,"unknown","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/data=!4m7!3m6!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3!19sChIJlXBl8BgQQS4RGI2fEfjzoOI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/@-5.6987815,105.5767493,17z/data=!3m1!4b1!4m6!3m5!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3?authuser=0&hl=id&entry=ttu","105.5767493","-5.6987815","Telepon","(021) 4704979"
"Tiki Agen S007 Way Urang",2.5,11,"unknown","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/data=!4m7!3m6!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3!19sChIJlXBl8BgQQS4RGI2fEfjzoOI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S007+Way+Urang/@-5.6987815,105.5767493,17z/data=!3m1!4b1!4m6!3m5!1s0x2e411018f0657095:0xe2a0f3f8119f8d18!8m2!3d-5.6987815!4d105.5767493!16s%2Fg%2F1yfh_kpr3?authuser=0&hl=id&entry=ttu","105.5767493","-5.6987815","Plus Codes","8H2G+FM Way Urang, Kabupaten Lampung Selatan, Lampung"
"Agen Tiki Kalianda",2.6,54,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Agen+Tiki+Kalianda/data=!4m7!3m6!1s0x2e4110294b07f035:0xed4de701064c61ed!8m2!3d-5.7240009!4d105.5873701!16s%2Fg%2F11g87dsjq7!19sChIJNfAHSykQQS4R7WFMBgHnTe0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+Tiki+Kalianda/@-5.7240009,105.5873701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4110294b07f035:0xed4de701064c61ed!8m2!3d-5.7240009!4d105.5873701!16s%2Fg%2F11g87dsjq7?authuser=0&hl=id&entry=ttu","105.5873701","-5.7240009","Alamat","Way Urang, Kec. Kalianda, Kabupaten Lampung Selatan, Lampung 35551"
"Agen Tiki Kalianda",2.6,54,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Agen+Tiki+Kalianda/data=!4m7!3m6!1s0x2e4110294b07f035:0xed4de701064c61ed!8m2!3d-5.7240009!4d105.5873701!16s%2Fg%2F11g87dsjq7!19sChIJNfAHSykQQS4R7WFMBgHnTe0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+Tiki+Kalianda/@-5.7240009,105.5873701,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4110294b07f035:0xed4de701064c61ed!8m2!3d-5.7240009!4d105.5873701!16s%2Fg%2F11g87dsjq7?authuser=0&hl=id&entry=ttu","105.5873701","-5.7240009","Plus Codes","7HGP+9W Way Urang, Kabupaten Lampung Selatan, Lampung"
"Tiki Agen S001 Ir. Sutami",1,2,"unknown","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/data=!4m7!3m6!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl!19sChIJVVVVVQLdQC4REkwj6f7_l9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/@-5.3970293,105.3628491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl?authuser=0&hl=id&entry=ttu","105.3628491","-5.3970293","Alamat","Jl. Ir.Sutami Km.13,5, Kel.Sukanegara - Kec.Tanjung Bintang, Sukanegara, Kec. Tj. Bintang, Kabupaten Lampung Selatan, Lampung 35361"
"Tiki Agen S001 Ir. Sutami",1,2,"unknown","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/data=!4m7!3m6!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl!19sChIJVVVVVQLdQC4REkwj6f7_l9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/@-5.3970293,105.3628491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl?authuser=0&hl=id&entry=ttu","105.3628491","-5.3970293","Telepon","(021) 4704979"
"Tiki Agen S001 Ir. Sutami",1,2,"unknown","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/data=!4m7!3m6!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl!19sChIJVVVVVQLdQC4REkwj6f7_l9Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+S001+Ir.+Sutami/@-5.3970293,105.3628491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40dd0255555555:0xd497fffee9234c12!8m2!3d-5.3970293!4d105.3628491!16s%2Fg%2F1pv18rgtl?authuser=0&hl=id&entry=ttu","105.3628491","-5.3970293","Plus Codes","J937+54 Sukanegara, Kabupaten Lampung Selatan, Lampung"
"TIKI JATIMULYO",5,1,"Tutup sementara","https://www.google.com/maps/place/TIKI+JATIMULYO/data=!4m7!3m6!1s0x2e40c52eff9945e3:0x2a1f099b43691000!8m2!3d-5.3326385!4d105.2931421!16s%2Fg%2F11qm3f4cv3!19sChIJ40WZ_y7FQC4RABBpQ5sJHyo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+JATIMULYO/@-5.3326385,105.2931421,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40c52eff9945e3:0x2a1f099b43691000!8m2!3d-5.3326385!4d105.2931421!16s%2Fg%2F11qm3f4cv3?authuser=0&hl=id&entry=ttu","105.2931421","-5.3326385","Alamat","Dekat Pasar, Jl. P. Senopati No.RT.07, Jatimulyo, Kec. Jati Agung, Kabupaten Lampung Selatan, Lampung 35365"
"TIKI JATIMULYO",5,1,"Tutup sementara","https://www.google.com/maps/place/TIKI+JATIMULYO/data=!4m7!3m6!1s0x2e40c52eff9945e3:0x2a1f099b43691000!8m2!3d-5.3326385!4d105.2931421!16s%2Fg%2F11qm3f4cv3!19sChIJ40WZ_y7FQC4RABBpQ5sJHyo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+JATIMULYO/@-5.3326385,105.2931421,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40c52eff9945e3:0x2a1f099b43691000!8m2!3d-5.3326385!4d105.2931421!16s%2Fg%2F11qm3f4cv3?authuser=0&hl=id&entry=ttu","105.2931421","-5.3326385","Telepon","0812-7881-1975"
