"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki Tamalanrea",4.3,40,"Buka ⋅ Tutup pukul 19.30","https://www.google.com/maps/place/Tiki+Tamalanrea/data=!4m7!3m6!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c!19sChIJc3Zygmv9vi0RpQJtVX8gWAw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamalanrea/@-5.1298492,119.4995034,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c?authuser=0&hl=id&entry=ttu","119.4995034","-5.1298492","Alamat","Jl.Perintis Kemerdekaan km 12, Ruko Budi Daya Permai Blok A1 No 1, Tamalanrea, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 92000"
"Tiki Tamalanrea",4.3,40,"Buka ⋅ Tutup pukul 19.30","https://www.google.com/maps/place/Tiki+Tamalanrea/data=!4m7!3m6!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c!19sChIJc3Zygmv9vi0RpQJtVX8gWAw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamalanrea/@-5.1298492,119.4995034,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c?authuser=0&hl=id&entry=ttu","119.4995034","-5.1298492","Telepon","0813-5474-1971"
"Tiki Tamalanrea",4.3,40,"Buka ⋅ Tutup pukul 19.30","https://www.google.com/maps/place/Tiki+Tamalanrea/data=!4m7!3m6!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c!19sChIJc3Zygmv9vi0RpQJtVX8gWAw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamalanrea/@-5.1298492,119.4995034,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd6b82727673:0xc58207f556d02a5!8m2!3d-5.1298492!4d119.4995034!16s%2Fg%2F11ghsbqw7c?authuser=0&hl=id&entry=ttu","119.4995034","-5.1298492","Plus Codes","VFCX+3R Tamalanrea, Kota Makassar, Sulawesi Selatan"
"Tiki Tamangapa Raya",4.9,22,"Tutup ⋅ Buka Sel pukul 08.00","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/data=!4m7!3m6!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr!19sChIJI8kL0A7jvi0R1M13ERPqrt0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/@-5.1711967,119.4796072,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr?authuser=0&hl=id&entry=ttu","119.4796072","-5.1711967","Alamat","Jl. Tamangapa Raya No.42, Bangkala, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90235"
"Tiki Tamangapa Raya",4.9,22,"Tutup ⋅ Buka Sel pukul 08.00","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/data=!4m7!3m6!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr!19sChIJI8kL0A7jvi0R1M13ERPqrt0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/@-5.1711967,119.4796072,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr?authuser=0&hl=id&entry=ttu","119.4796072","-5.1711967","Situs Web","business.site"
"Tiki Tamangapa Raya",4.9,22,"Tutup ⋅ Buka Sel pukul 08.00","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/data=!4m7!3m6!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr!19sChIJI8kL0A7jvi0R1M13ERPqrt0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/@-5.1711967,119.4796072,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr?authuser=0&hl=id&entry=ttu","119.4796072","-5.1711967","Telepon","0853-9972-9595"
"Tiki Tamangapa Raya",4.9,22,"Tutup ⋅ Buka Sel pukul 08.00","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/data=!4m7!3m6!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr!19sChIJI8kL0A7jvi0R1M13ERPqrt0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Tamangapa+Raya/@-5.1711967,119.4796072,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee30ed00bc923:0xddaeea131177cdd4!8m2!3d-5.1711967!4d119.4796072!16s%2Fg%2F11b7ckp6fr?authuser=0&hl=id&entry=ttu","119.4796072","-5.1711967","Plus Codes","RFHH+GR Bangkala, Kota Makassar, Sulawesi Selatan"
"TIKI Tamalate",4.3,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Tamalate/data=!4m7!3m6!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q!19sChIJ2fpbPfLivi0Rpwdr7bUNKLk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Tamalate/@-5.16993,119.44616,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q?authuser=0&hl=id&entry=ttu","119.44616","-5.16993","Alamat","Jl. Tamalate 1 No.11, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222"
"TIKI Tamalate",4.3,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Tamalate/data=!4m7!3m6!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q!19sChIJ2fpbPfLivi0Rpwdr7bUNKLk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Tamalate/@-5.16993,119.44616,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q?authuser=0&hl=id&entry=ttu","119.44616","-5.16993","Telepon","(0411) 4674807"
"TIKI Tamalate",4.3,16,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/TIKI+Tamalate/data=!4m7!3m6!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q!19sChIJ2fpbPfLivi0Rpwdr7bUNKLk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Tamalate/@-5.16993,119.44616,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2f23d5bfad9:0xb9280db5ed6b07a7!8m2!3d-5.16993!4d119.44616!16s%2Fg%2F1hm367g8q?authuser=0&hl=id&entry=ttu","119.44616","-5.16993","Plus Codes","RCJW+2F Bonto Makkio, Kota Makassar, Sulawesi Selatan"
