"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"TIKI TANJUNG",4.8,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+TANJUNG/data=!4m7!3m6!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd!19sChIJp3ta2H0dvy0RRag0YdthRNM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+TANJUNG/@-5.190106,119.3871351,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd?authuser=0&hl=id&entry=ttu","119.3871351","-5.190106","Alamat","Jl. Amaryllis Calesta No.53, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225"
"TIKI TANJUNG",4.8,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+TANJUNG/data=!4m7!3m6!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd!19sChIJp3ta2H0dvy0RRag0YdthRNM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+TANJUNG/@-5.190106,119.3871351,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd?authuser=0&hl=id&entry=ttu","119.3871351","-5.190106","Situs Web","tiki.id"
"TIKI TANJUNG",4.8,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+TANJUNG/data=!4m7!3m6!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd!19sChIJp3ta2H0dvy0RRag0YdthRNM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+TANJUNG/@-5.190106,119.3871351,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd?authuser=0&hl=id&entry=ttu","119.3871351","-5.190106","Telepon","0821-8708-0811"
"TIKI TANJUNG",4.8,5,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+TANJUNG/data=!4m7!3m6!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd!19sChIJp3ta2H0dvy0RRag0YdthRNM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+TANJUNG/@-5.190106,119.3871351,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d7dd85a7ba7:0xd34461db6134a845!8m2!3d-5.190106!4d119.3871351!16s%2Fg%2F11mk7s3vbd?authuser=0&hl=id&entry=ttu","119.3871351","-5.190106","Plus Codes","R95P+XV Tj. Merdeka, Kota Makassar, Sulawesi Selatan"
"Tiki Metro",3,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Metro/data=!4m7!3m6!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663!19sChIJ_____wO8QC4RN2I3ZZYZ7vk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Metro/@-5.1179662,105.313231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663?authuser=0&hl=id&entry=ttu","105.313231","-5.1179662","Alamat","Jl. Jend Ahmad Yani No. 55, Kel. Iring Mulyo, Metro Timur, Yosorejo, Kec. Metro Tim., Kota Metro, Lampung 34124"
"Tiki Metro",3,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Metro/data=!4m7!3m6!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663!19sChIJ_____wO8QC4RN2I3ZZYZ7vk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Metro/@-5.1179662,105.313231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663?authuser=0&hl=id&entry=ttu","105.313231","-5.1179662","Telepon","(0725) 42049"
"Tiki Metro",3,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Metro/data=!4m7!3m6!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663!19sChIJ_____wO8QC4RN2I3ZZYZ7vk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Metro/@-5.1179662,105.313231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc03ffffffff:0xf9ee199665376237!8m2!3d-5.1179662!4d105.313231!16s%2Fg%2F1ptzy_663?authuser=0&hl=id&entry=ttu","105.313231","-5.1179662","Plus Codes","V8J7+R7 Yosorejo, Kota Metro, Lampung"
"Gerai Tiki (Titipan Kilat)",1,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Gerai+Tiki+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7!19sChIJs-4xvgi7QC4RQ2b206mwLPw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+(Titipan+Kilat)/@-5.1005049,105.3014714,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7?authuser=0&hl=id&entry=ttu","105.3014714","-5.1005049","Alamat","Jl. Dr. Sutomo No.49, Hadimulyo Tim., Kec. Metro Pusat, Kota Metro, Lampung 34113"
"Gerai Tiki (Titipan Kilat)",1,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Gerai+Tiki+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7!19sChIJs-4xvgi7QC4RQ2b206mwLPw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+(Titipan+Kilat)/@-5.1005049,105.3014714,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7?authuser=0&hl=id&entry=ttu","105.3014714","-5.1005049","Situs Web","tiki.id"
"Gerai Tiki (Titipan Kilat)",1,1,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/Gerai+Tiki+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7!19sChIJs-4xvgi7QC4RQ2b206mwLPw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+(Titipan+Kilat)/@-5.1005049,105.3014714,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bb08be31eeb3:0xfc2cb0a9d3f66643!8m2!3d-5.1005049!4d105.3014714!16s%2Fg%2F11p10g0kk7?authuser=0&hl=id&entry=ttu","105.3014714","-5.1005049","Plus Codes","V8X2+QH Hadimulyo Tim., Kota Metro, Lampung"
