"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki",3.9,21,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7!19sChIJCzZy6qdiLy4RT_ht4ih1npU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.6190273,103.5422021,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7?authuser=0&hl=id&entry=ttu","103.5422021","-1.6190273","Alamat","Jl. Lintas Jambi - Muaro Bulian KM. 12, Mendalo Darat, Kec. Jambi Luar Kota, Kabupaten Muaro Jambi, Jambi 36361"
"Tiki",3.9,21,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7!19sChIJCzZy6qdiLy4RT_ht4ih1npU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.6190273,103.5422021,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7?authuser=0&hl=id&entry=ttu","103.5422021","-1.6190273","Situs Web","tiki.id"
"Tiki",3.9,21,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7!19sChIJCzZy6qdiLy4RT_ht4ih1npU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.6190273,103.5422021,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7?authuser=0&hl=id&entry=ttu","103.5422021","-1.6190273","Telepon","(0741) 582575"
"Tiki",3.9,21,"unknown","https://www.google.com/maps/place/Tiki/data=!4m7!3m6!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7!19sChIJCzZy6qdiLy4RT_ht4ih1npU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki/@-1.6190273,103.5422021,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f62a7ea72360b:0x959e7528e26df84f!8m2!3d-1.6190273!4d103.5422021!16s%2Fg%2F11bc7rxfr7?authuser=0&hl=id&entry=ttu","103.5422021","-1.6190273","Plus Codes","9GJR+9V Mendalo Darat, Kabupaten Muaro Jambi, Jambi"
"Tiki Agen Tempino",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Tiki+Agen+Tempino/data=!4m7!3m6!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg!19sChIJv1-bQRiBLy4RCimq3Lg8UGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+Tempino/@-1.7899502,103.5219915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg?authuser=0&hl=id&entry=ttu","103.5219915","-1.7899502","Alamat","Jl. Raya Palembang - Jambi No.KM. 28, Tempino, Kec. Mestong, Kabupaten Muaro Jambi, Jambi 36364"
"Tiki Agen Tempino",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Tiki+Agen+Tempino/data=!4m7!3m6!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg!19sChIJv1-bQRiBLy4RCimq3Lg8UGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+Tempino/@-1.7899502,103.5219915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg?authuser=0&hl=id&entry=ttu","103.5219915","-1.7899502","Telepon","0856-5860-7505"
"Tiki Agen Tempino",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Tiki+Agen+Tempino/data=!4m7!3m6!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg!19sChIJv1-bQRiBLy4RCimq3Lg8UGA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Agen+Tempino/@-1.7899502,103.5219915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2f8118419b5fbf:0x60503cb8dcaa290a!8m2!3d-1.7899502!4d103.5219915!16s%2Fg%2F11rmp_z0wg?authuser=0&hl=id&entry=ttu","103.5219915","-1.7899502","Plus Codes","6G6C+2Q Tempino, Kabupaten Muaro Jambi, Jambi"
"Gerai Tiki Jambi 011",1.9,8,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/data=!4m7!3m6!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d!19sChIJ____vz2PJS4R2Mc2-Oh5I8E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/@-1.6039945,103.6579799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d?authuser=0&hl=id&entry=ttu","103.6579799","-1.6039945","Alamat","Jl. Mr. M. Roem No.39, Kasang Kumpeh, Kec. Kumpeh Ulu, Kabupaten Muaro Jambi, Jambi 36111"
"Gerai Tiki Jambi 011",1.9,8,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/data=!4m7!3m6!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d!19sChIJ____vz2PJS4R2Mc2-Oh5I8E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/@-1.6039945,103.6579799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d?authuser=0&hl=id&entry=ttu","103.6579799","-1.6039945","Telepon","(0741) 33713"
"Gerai Tiki Jambi 011",1.9,8,"unknown","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/data=!4m7!3m6!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d!19sChIJ____vz2PJS4R2Mc2-Oh5I8E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+Tiki+Jambi+011/@-1.6039945,103.6579799,17z/data=!3m1!4b1!4m6!3m5!1s0x2e258f3dbfffffff:0xc12379e8f836c7d8!8m2!3d-1.6039945!4d103.6579799!16s%2Fg%2F1ptxchr7d?authuser=0&hl=id&entry=ttu","103.6579799","-1.6039945","Plus Codes","9MW5+C5 Kasang Kumpeh, Kabupaten Muaro Jambi, Jambi"
